alpha,legalShrinkage,mae,sdProjectedKs,pctAtLeast7,pctAtLeast8,maxProjectedKs,highLineSignedError,directionalHitRate
0.55,true,1.7987,0.9129,0.73,0,7.6012,-1.1257,54.34
0.7,true,1.7973,1.0072,1.77,0.1,8.136,-0.8481,53.92
0.85,true,1.8032,1.1111,2.51,0.73,8.6708,-0.5705,53.61
1,true,1.818,1.2225,3.97,1.15,9.2055,-0.2929,52.14
1.1,false,1.8299,1.2994,5.22,1.67,9.5621,-0.1078,51.52
1.25,false,1.8504,1.4154,6.37,1.98,10.0968,0.1518,51.93
1.5,false,1.8898,1.5982,9.71,3.34,10.7688,0.5132,50.89
2,false,1.9872,1.9212,15.76,6.99,10.7688,1.0899,50.05
