rank,teamId,team,conference,jkbPower,jkbOffense,jkbDefense,sosPlayedRating,sosPlayedRank,sosRemainingRating,sosRemainingRank,apRank,rawPower,rawOffense,rawDefense,games,priorPerformanceSource,sourceClassification,transitionShrinkageApplied,transitionPriorPerformanceWeight,rawYppOffense,rawYppDefenseAllowed,adjustedYppOffense,adjustedYppDefenseAllowed,rawPointsPerPlayOffense,rawPointsPerPlayDefenseAllowed,adjustedPointsPerPlayOffense,adjustedPointsPerPlayDefenseAllowed,standardizedYppOffense,standardizedYppDefense,standardizedPointsPerPlayOffense,standardizedPointsPerPlayDefense,returningProduction,standardizedReturningProduction,sosProvenance,modelVersion,provenance
56,tulane,Tulane,american,75.06,80.62,78.05,,,61.8,87,,0.17231964,0.38200728,0.43669916,14,prior-fbs-opponent-adjusted,fbs,false,,6.20371474,5.54425638,6.1939698,5.50280456,0.41920824,0.34285518,0.41904154,0.33521408,0.77253679,0.21576574,0.26942029,0.65763258,21,-0.86873404,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
57,wisc,Wisconsin,big-ten,74.63,42.57,81.04,,,73.78,59,,0.16314466,-1.50085215,0.53106309,12,prior-fbs-opponent-adjusted,fbs,false,,4.39928955,5.37880588,4.53405462,5.309425,0.21974505,0.35712448,0.2380349,0.34397081,-1.57461372,0.50285707,-1.65303982,0.55926912,31,-0.48408057,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
58,uk,Kentucky,sec,74.2,48.98,67.79,,,98.14,2,,0.16246197,-0.83325671,-0.06720164,11,prior-fbs-opponent-adjusted,fbs,false,,4.88450856,5.7142911,4.97637755,5.61650046,0.31421675,0.42233571,0.32824376,0.40990617,-0.94916098,0.04697278,-0.69493723,-0.18137607,19.3,-0.93412513,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
59,nw,Northwestern,big-ten,73.78,60.52,73.35,,,85.75,31,,0.15376872,-0.29566803,0.16803878,12,prior-fbs-opponent-adjusted,fbs,false,,5.22484877,5.77293923,5.25945675,5.72476166,0.34405025,0.35852594,0.3473429,0.3537136,-0.5488818,-0.1137518,-0.49208647,0.44982936,88.5,1.7276769,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
60,msst,Mississippi State,sec,73.35,61.38,54.54,,,97.29,4,,0.15060586,-0.27010474,-0.70855446,12,prior-fbs-opponent-adjusted,fbs,false,,5.29327348,6.18302287,5.37533893,6.1003145,0.37160984,0.46990382,0.38120626,0.46015457,-0.38502227,-0.67129762,-0.1324258,-0.7458113,33.9,-0.37253106,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
61,md,Maryland,big-ten,72.92,58.81,68.64,,,80.62,43,,0.12998475,-0.41444795,-0.00396181,11,prior-fbs-opponent-adjusted,fbs,false,,5.42681406,5.74924816,5.43727666,5.73393284,0.32521184,0.3862966,0.32658249,0.38312592,-0.29744119,-0.12736734,-0.71258146,0.11944372,54,0.40062242,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
62,ucf,UCF,big-12,72.49,54.54,77.2,,,72.92,61,,0.11643812,-0.59730884,0.38127657,11,prior-fbs-opponent-adjusted,fbs,false,,5.41694351,5.28713289,5.45343035,5.27191784,0.3057557,0.37830024,0.30967232,0.37559721,-0.27459958,0.5585402,-0.89218324,0.20401294,24.8,-0.72256572,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
63,unm,New Mexico,mountain-west,72.07,76.77,81.9,,,55.39,102,,0.11440937,0.24072489,0.56955485,12,prior-fbs-opponent-adjusted,fbs,false,,5.70703704,5.29399817,5.6790347,5.28907786,0.43021792,0.33889108,0.42809786,0.3398066,0.04440911,0.53306443,0.36560689,0.60604527,58.2,0.56217688,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
64,fres,Fresno State,pac-12,71.64,57.53,89.59,,,62.23,86,,0.11211748,-0.42986781,1.01651737,12,prior-fbs-opponent-adjusted,fbs,false,,5.25337396,4.78535128,5.23406688,4.80020293,0.3634212,0.31981407,0.36304606,0.32483796,-0.58478354,1.25884822,-0.32530414,0.77418652,38.3,-0.20328353,provisional-pac-12-week-13-flex-unassigned,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
65,ucla,UCLA,big-ten,71.21,51.97,49.83,,,75.91,54,,0.09715177,-0.69522449,-0.8852768,12,prior-fbs-opponent-adjusted,fbs,false,,5.14034231,6.11802911,5.20685314,6.0021108,0.28247218,0.52296771,0.29609851,0.50459883,-0.62326426,-0.52550439,-1.03634983,-1.24504922,57,0.51601846,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
66,cal,California,acc,70.78,59.67,60.95,,,80.19,44,,0.07212471,-0.38841804,-0.39529617,12,prior-fbs-opponent-adjusted,fbs,false,,5.12761192,5.72857385,5.14420291,5.75565917,0.36437859,0.44822205,0.36758642,0.44993092,-0.71185285,-0.15962225,-0.27708132,-0.63097008,58.3,0.56602341,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
67,mem,Memphis,american,70.36,79.33,75.91,,,66.08,77,,0.0667387,0.36080955,0.29359907,12,prior-fbs-opponent-adjusted,fbs,false,,6.00150621,5.51812016,5.95644338,5.48335271,0.46507587,0.36453789,0.45862351,0.36326369,0.43667008,0.24464396,0.68981789,0.34255418,5.6,-1.46110039,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
68,ndsu,North Dakota State,mountain-west,69.93,94.72,90.88,,,44.7,127,,0.05981068,1.29765561,1.09763955,13,prior-fcs-fallback,fcs,true,0.5,7.2781346,4.16943991,,,0.66531326,,,,1.15278284,1.09763955,1.44252837,,,,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
69,unc,North Carolina,acc,69.5,45.13,78.91,,,90.45,20,,0.05538925,-1.03419218,0.47774773,11,prior-fbs-opponent-adjusted,fbs,false,,4.85477823,5.05517477,4.85061278,5.0967682,0.29647461,0.37771761,0.29610475,0.38156939,-1.12699466,0.81856738,-1.03628358,0.13692808,27.8,-0.60716968,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
70,odu,Old Dominion,sun-belt,69.07,86.6,94.72,,,55.82,101,,0.05067541,0.68597337,1.42602284,12,prior-fbs-opponent-adjusted,fbs,false,,6.59251847,4.75084093,6.5714362,4.73064438,0.4443812,0.26426405,0.44188326,0.26111939,1.30628119,1.36211487,0.51202077,1.48993081,9.2,-1.32262514,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
71,ecu,East Carolina,american,68.64,68.22,84.89,,,57.96,96,,0.02065396,-0.044877,0.67326495,12,prior-fbs-opponent-adjusted,fbs,false,,5.75767691,5.35461996,5.74497727,5.37063125,0.39696476,0.31288198,0.39545662,0.31056265,0.13765311,0.41199025,0.01892636,0.93453965,13.6,-1.15337761,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
72,utsa,UTSA,american,68.22,90.88,57.53,,,65.65,78,,0.00046242,0.9347722,-0.51832484,12,prior-fbs-opponent-adjusted,fbs,false,,6.14413524,5.85491366,6.12614533,5.81182917,0.50685712,0.47111319,0.50678568,0.46441225,0.67663174,-0.24301225,1.20134529,-0.79363744,66.9,0.8968254,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
73,tolu,Toledo,mac,67.79,87.46,97.29,,,42.14,133,,-0.00803308,0.71907053,1.84093309,12,prior-fbs-opponent-adjusted,fbs,false,,6.22286409,4.24320488,6.24913321,4.33061529,0.44231378,0.23181243,0.44576324,0.24011526,0.85053887,1.95599811,0.55322982,1.72586807,66.3,0.87374619,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
74,isu,Iowa State,big-12,67.36,60.09,74.2,,,78.91,47,,-0.02867634,-0.31490226,0.20176757,11,prior-fbs-opponent-adjusted,fbs,false,,5.57472841,5.8320145,5.60372698,5.81670867,0.36085242,0.34009638,0.36734176,0.33555603,-0.06207739,-0.25025635,-0.27967981,0.65379149,1.7,-1.61111524,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
75,northtx,North Texas,american,66.93,98.14,71.21,,,63.09,84,,-0.03693119,2.20911467,0.11847864,13,prior-fbs-opponent-adjusted,fbs,false,,7.43812872,5.55595867,7.44516681,5.56699226,0.64964019,0.38392237,0.64963875,0.38338935,2.5417523,0.12047266,2.71857874,0.11648461,2.5,-1.58034296,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
76,txst,Texas State,pac-12,66.51,95.58,61.8,,,68.22,72,,-0.09470642,1.50912245,-0.35788578,12,prior-fbs-opponent-adjusted,fbs,false,,6.86348419,5.70957683,6.84769133,5.73422989,0.52835583,0.44468213,0.52357037,0.44610227,1.69691102,-0.12780835,1.37961441,-0.5879632,76,1.24686006,provisional-pac-12-week-13-flex-unassigned,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
77,wvu,West Virginia,big-12,66.08,43.85,58.38,,,84.04,35,,-0.09546494,-1.27507846,-0.50439287,11,prior-fbs-opponent-adjusted,fbs,false,,4.60220676,5.96942067,4.67728815,5.91378154,0.26808616,0.45668124,0.27988601,0.44845712,-1.37207888,-0.39437075,-1.20854182,-0.61441499,14,-1.13799147,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
78,colo,Colorado,big-12,65.65,52.4,56.67,,,89.17,23,,-0.12884984,-0.66913094,-0.60664023,12,prior-fbs-opponent-adjusted,fbs,false,,5.14977347,6.18467767,5.18771913,6.14744727,0.32989017,0.44051405,0.33895383,0.43577958,-0.6503201,-0.74127094,-0.58118619,-0.47200952,13.7,-1.14953107,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
79,msu,Michigan State,big-ten,65.22,57.96,54.11,,,84.89,33,,-0.14390961,-0.42239131,-0.75112898,11,prior-fbs-opponent-adjusted,fbs,false,,5.2543184,6.05731322,5.30425623,6.01953789,0.35989427,0.48712959,0.36926944,0.47841077,-0.48553452,-0.55137664,-0.25920604,-0.95088132,20.9,-0.87258057,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
80,army,Army,american,64.8,55.82,77.62,,,62.66,85,,-0.16811051,-0.49373634,0.41234485,12,prior-fbs-opponent-adjusted,fbs,false,,4.99753339,5.62655588,4.94568831,5.56245486,0.35905514,0.33998772,0.35435449,0.33166663,-0.99255613,0.12720889,-0.41761674,0.6974808,80.2,1.40841452,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
81,wmu,Western Michigan,mac,64.37,63.51,91.3,,,51.12,112,,-0.18619441,-0.25313436,1.09936602,13,prior-fbs-opponent-adjusted,fbs,false,,5.21808356,4.94652577,5.23195563,4.96679529,0.34902495,0.28559866,0.3508897,0.28806915,-0.58776888,1.01152518,-0.4544161,1.18720686,99.7,2.15848879,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
82,okst,Oklahoma State,big-12,63.94,41.28,44.28,,,78.48,48,,-0.19693753,-1.72588769,-1.32516065,11,prior-fbs-opponent-adjusted,fbs,false,,4.45037575,6.49282255,4.53354867,6.41706837,0.20610063,0.53743793,0.21596716,0.52807644,-1.57532913,-1.14155046,-1.88741987,-1.50877084,0,-1.67650633,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
83,wsu,Washington State,pac-12,63.51,64.8,81.47,,,71.21,65,,-0.21774517,-0.17201617,0.56768508,12,prior-fbs-opponent-adjusted,fbs,false,,5.27432344,5.21325508,5.34242241,5.14680786,0.35025509,0.36749175,0.35991551,0.35894268,-0.43156683,0.74427849,-0.35855351,0.39109168,91.3,1.83537987,provisional-pac-12-week-13-flex-unassigned,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
84,haw,Hawaii,mountain-west,63.09,76.34,59.67,,,47.27,121,,-0.25654409,0.23845756,-0.45628855,12,prior-fbs-opponent-adjusted,fbs,false,,5.73976151,6.02306894,5.70624404,6.03471303,0.42033834,0.42165427,0.41893063,0.42390926,0.08288362,-0.57390566,0.26824239,-0.33867144,64.5,0.80450857,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
85,usu,Utah State,pac-12,62.66,86.17,60.52,,,69.93,68,,-0.29632846,0.66679158,-0.39903001,12,prior-fbs-opponent-adjusted,fbs,false,,6.0845472,6.13461127,6.08356637,6.08080849,0.4581906,0.4139924,0.45775293,0.40762225,0.61642431,-0.64233899,0.68057157,-0.15572104,65.2,0.83143431,provisional-pac-12-week-13-flex-unassigned,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
86,miami-oh,Miami (OH),mac,62.23,58.38,84.04,,,46.84,122,,-0.32283139,-0.42220624,0.6152991,13,prior-fbs-opponent-adjusted,fbs,false,,5.39813612,5.11671386,5.40887031,5.16072043,0.35610001,0.34211919,0.36101405,0.34862632,-0.33760828,0.72362389,-0.34688602,0.50697431,13.9,-1.141838,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
87,wku,Western Kentucky,conference-usa,61.8,72.92,70.36,,,54.11,105,,-0.32923261,0.09560307,0.09814178,12,prior-fbs-opponent-adjusted,fbs,false,,5.60625553,5.83095296,5.59834092,5.84398055,0.38908547,0.34763825,0.38795443,0.35040204,-0.06969337,-0.29074419,-0.06075387,0.48702775,83.7,1.54304323,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
88,rut,Rutgers,big-ten,61.38,68.64,40,,,76.34,53,,-0.3841457,0.02385496,-2.7275695,11,prior-fbs-opponent-adjusted,fbs,false,,5.63682936,7.96426966,5.73660873,7.91908274,0.37182133,0.58838084,0.38616337,0.57925886,0.12581986,-3.37144123,-0.07977664,-2.08369778,44.4,0.03135509,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
89,stan,Stanford,acc,60.95,44.7,62.23,,,91.73,17,,-0.40026378,-1.06325384,-0.33843424,12,prior-fbs-opponent-adjusted,fbs,false,,4.72689509,5.95706338,4.7976556,5.89523968,0.29305907,0.43030091,0.3023059,0.42135904,-1.20187709,-0.36684351,-0.97042157,-0.31002498,21.3,-0.85719443,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
90,lib,Liberty,conference-usa,60.52,67.79,66.51,,,40,138,,-0.4817136,-0.04831111,-0.14747865,11,prior-fbs-opponent-adjusted,fbs,false,,5.72360931,5.68563876,5.73906709,5.67192573,0.37459561,0.41882262,0.3756461,0.41687406,0.12929602,-0.03531157,-0.19147993,-0.25964572,38.3,-0.20328353,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
91,jvst,Jacksonville State,conference-usa,60.09,72.49,67.36,,,40.43,137,,-0.48638778,0.09341295,-0.08983781,13,prior-fbs-opponent-adjusted,fbs,false,,5.82849031,5.72429493,5.78160882,5.74339337,0.39448258,0.39389417,0.39062139,0.39716565,0.1894508,-0.14141245,-0.03242832,-0.03826316,49.5,0.22752836,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
92,troy,Troy,sun-belt,59.67,45.56,75.06,,,49.41,116,,-0.49250689,-1.03141986,0.26699192,13,prior-fbs-opponent-adjusted,fbs,false,,4.47331195,5.58578907,4.4932252,5.55953352,0.33745168,0.35917508,0.33822951,0.35793259,-1.63234726,0.13154592,-0.58887919,0.40243792,35.3,-0.31867957,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
93,uconn,UConn,independents,59.24,89.59,64.37,,,57.1,98,,-0.50230733,0.81556605,-0.20870031,12,prior-fbs-opponent-adjusted,fbs,false,,6.54963561,5.88276621,6.43338596,5.94482455,0.50889711,0.38460351,0.49293049,0.39170671,1.11107563,-0.44045721,1.05419026,0.02305659,2.3,-1.58803603,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
94,lt,Louisiana Tech,sun-belt,58.81,69.5,75.49,,,57.53,97,,-0.50897738,0.03392359,0.2851505,12,prior-fbs-opponent-adjusted,fbs,false,,5.49063633,5.63496877,5.46969139,5.67342999,0.41092171,0.33557006,0.40811224,0.33964631,-0.25160616,-0.0375448,0.15334095,0.6078458,63.9,0.78142936,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
95,pur,Purdue,big-ten,58.38,52.83,43.42,,,95.15,9,,-0.51898783,-0.65282991,-1.46383404,11,prior-fbs-opponent-adjusted,fbs,false,,5.32657092,6.83759747,5.39209242,6.7443068,0.274409,0.52561739,0.28795263,0.50951744,-0.36133253,-1.62736869,-1.12286676,-1.30029939,47.5,0.15059766,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
96,mrsh,Marshall,sun-belt,57.96,83.61,50.26,,,45.99,124,,-0.56060162,0.52395479,-0.84593121,11,prior-fbs-opponent-adjusted,fbs,false,,5.93101771,6.28228884,5.9116592,6.24392876,0.42638348,0.46896432,0.42371233,0.46563345,0.37334443,-0.88450737,0.31902845,-0.80735506,98.8,2.12386998,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
97,syr,Syracuse,acc,57.53,41.71,41.28,,,87.03,28,,-0.56536468,-1.54446907,-2.01979984,11,prior-fbs-opponent-adjusted,fbs,false,,4.44854077,6.89776536,4.48474523,6.7872276,0.22296663,0.61984582,0.23225447,0.60283363,-1.64433809,-1.69108892,-1.71443336,-2.34851076,35,-0.33021918,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
98,ohio,Ohio,mac,57.1,75.49,72.92,,,42.57,132,,-0.58578613,0.21735168,0.16387966,12,prior-fbs-opponent-adjusted,fbs,false,,5.95687084,5.66895684,5.93597598,5.73446002,0.38685066,0.34547365,0.38553891,0.35317234,0.40772879,-0.12815,-0.08640904,0.45590932,62.5,0.72757787,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
99,bc,Boston College,acc,56.67,54.96,42.99,,,89.59,22,,-0.59345836,-0.51166338,-1.65311398,11,prior-fbs-opponent-adjusted,fbs,false,,5.46754673,6.99321708,5.49323359,6.9436096,0.32574155,0.52632458,0.32969702,0.51687751,-0.21831707,-1.92325365,-0.67950223,-1.3829743,15.6,-1.07644691,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
100,af,Air Force,mountain-west,56.25,78.91,40.43,,,56.25,100,,-0.60632596,0.32486342,-2.29061678,11,prior-fbs-opponent-adjusted,fbs,false,,5.96806898,7.6044195,5.93936104,7.55966542,0.41022775,0.55293084,0.41168749,0.54896264,0.41251534,-2.83785021,0.19131347,-1.74338335,57.4,0.5314046,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
101,kennesaw,Kennesaw State,conference-usa,55.82,70.36,63.94,,,42.99,131,,-0.63648165,0.042717,-0.21677008,13,prior-fbs-opponent-adjusted,fbs,false,,5.89321238,5.97797594,5.91234764,5.97481663,0.39375165,0.39050185,0.39753718,0.38917961,0.37431789,-0.48498346,0.04102383,0.0514433,6.1,-1.44186771,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
102,temple,Temple,american,55.39,64.37,45.56,,,64.8,80,,-0.68431931,-0.22558137,-1.09145639,11,prior-fbs-opponent-adjusted,fbs,false,,5.2127169,6.42703092,5.22002536,6.41128368,0.40671831,0.48934037,0.40870465,0.4872303,-0.60463851,-1.13296251,0.15963291,-1.04995027,37,-0.25328848,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
103,fau,Florida Atlantic,american,54.96,69.07,46.41,,,63.94,82,,-0.68878059,0.02834089,-1.07074576,11,prior-fbs-opponent-adjusted,fbs,false,,5.72404592,6.13197731,5.71201365,6.08176921,0.37152832,0.53117936,0.37106095,0.52709321,0.09104195,-0.64376528,-0.24017851,-1.49772625,68.4,0.95452342,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
104,gaso,Georgia Southern,sun-belt,54.54,65.65,45.13,,,63.51,83,,-0.716576,-0.16660135,-1.30461906,12,prior-fbs-opponent-adjusted,fbs,false,,5.67587385,6.83622582,5.6836419,6.80931545,0.38325722,0.47522125,0.38443161,0.47257757,0.05092379,-1.72388054,-0.09816961,-0.88535759,5.8,-1.45340732,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
105,arst,Arkansas State,sun-belt,54.11,50.69,57.1,,,45.56,125,,-0.72336198,-0.78914183,-0.55413843,12,prior-fbs-opponent-adjusted,fbs,false,,5.07525009,6.25925671,5.02410289,6.238403,0.32839562,0.41527109,0.32250853,0.41441052,-0.88167648,-0.87630383,-0.75585072,-0.23197303,30,-0.52254591,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
106,tulsa,Tulsa,american,53.68,51.12,63.09,,,58.81,94,,-0.73945995,-0.75326546,-0.25563838,11,prior-fbs-opponent-adjusted,fbs,false,,5.26551998,5.66251917,5.22795363,5.6848965,0.29920015,0.43078234,0.29378091,0.43441745,-0.59342779,-0.05456799,-1.0609649,-0.45670878,41.3,-0.08788749,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
107,ul,Louisiana,sun-belt,53.25,60.95,56.25,,,41.28,135,,-0.7456974,-0.27274551,-0.61433875,12,prior-fbs-opponent-adjusted,fbs,false,,5.09193716,6.11529592,5.08777876,6.11957884,0.37694611,0.44073547,0.37225897,0.44083353,-0.79163763,-0.69989746,-0.22745442,-0.52878004,91.9,1.85845908,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
108,cmu,Central Michigan,mac,52.83,56.67,69.07,,,49.83,115,,-0.78295135,-0.47872808,-0.00060437,12,prior-fbs-opponent-adjusted,fbs,false,,5.21142614,5.71304197,5.24366318,5.75671077,0.33825952,0.37309034,0.33890986,0.37951768,-0.5712142,-0.16118347,-0.58165318,0.15997472,54,0.40062242,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
109,del,Delaware,conference-usa,52.4,71.64,48.98,,,52.83,108,,-0.81398339,0.08138175,-0.89311908,12,prior-fbs-opponent-adjusted,fbs,false,,5.62297009,6.14580728,5.59077924,6.15688421,0.38740939,0.4850464,0.38501985,0.48553945,-0.08038572,-0.75528102,-0.09192188,-1.03095714,84.9,1.58920165,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
110,csu,Colorado State,pac-12,51.97,53.25,47.27,,,67.79,73,,-0.83122676,-0.6518127,-0.97956771,11,prior-fbs-opponent-adjusted,fbs,false,,5.20788322,6.50643701,5.24129618,6.47032882,0.3084414,0.46639739,0.31459973,0.45950498,-0.57456118,-1.22062092,-0.83984959,-0.7385145,39.6,-0.15327858,provisional-pac-12-week-13-flex-unassigned,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
111,wyo,Wyoming,mountain-west,51.54,42.99,79.33,,,50.69,113,,-0.8561648,-1.47503791,0.49208034,11,prior-fbs-opponent-adjusted,fbs,false,,4.75421765,5.48004236,4.71422039,5.46527251,0.22703105,0.33087329,0.22588815,0.33031399,-1.31985601,0.27148583,-1.78204972,0.71267485,23,-0.79180334,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
112,buff,Buffalo,mac,51.12,51.54,80.62,,,46.41,123,,-0.87218776,-0.69877536,0.52448146,11,prior-fbs-opponent-adjusted,fbs,false,,5.16145247,5.08470534,5.13440573,5.16509053,0.33366228,0.35664395,0.33041802,0.36421868,-0.72570624,0.71713604,-0.67184447,0.33182687,,,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
