rank,teamId,team,conference,jkbPower,jkbOffense,jkbDefense,sosPlayedRating,sosPlayedRank,sosRemainingRating,sosRemainingRank,apRank,rawPower,rawOffense,rawDefense,games,priorPerformanceSource,sourceClassification,transitionShrinkageApplied,transitionPriorPerformanceWeight,rawYppOffense,rawYppDefenseAllowed,adjustedYppOffense,adjustedYppDefenseAllowed,rawPointsPerPlayOffense,rawPointsPerPlayDefenseAllowed,adjustedPointsPerPlayOffense,adjustedPointsPerPlayDefenseAllowed,standardizedYppOffense,standardizedYppDefense,standardizedPointsPerPlayOffense,standardizedPointsPerPlayDefense,returningProduction,standardizedReturningProduction,sosProvenance,modelVersion,provenance
13,ala,Alabama,sec,93.44,73.78,87.03,,,96.01,7,,1.30689634,0.15688782,0.85060238,14,prior-fbs-opponent-adjusted,fbs,false,,5.48800227,5.08549817,5.62369777,5.04487618,0.42653461,0.32971683,0.44351689,0.32204153,-0.03383832,0.89560629,0.52937152,0.80559848,26.4,-0.66102116,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
14,mich,Michigan,big-ten,93.01,84.46,90.45,,,87.46,27,,1.27278108,0.61005316,1.0975126,13,prior-fbs-opponent-adjusted,fbs,false,,6.12370547,4.90009901,6.1999117,4.87397341,0.4156443,0.30478284,0.42717265,0.30066698,0.78093874,1.14932856,0.35578034,1.04569664,69.2,0.9852957,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
15,uw,Washington,big-ten,92.59,91.3,92.59,,,88.31,25,,1.2155067,1.01847908,1.19354548,12,prior-fbs-opponent-adjusted,fbs,false,,6.32002906,4.8005647,6.34402865,4.77773095,0.50118009,0.29598995,0.50535195,0.2962884,0.98472276,1.29221013,1.18611773,1.09488084,54.4,0.41600856,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
16,lsu,LSU,sec,92.16,55.39,88.74,,,94.3,11,,1.19256318,-0.50154216,1.00552,12,prior-fbs-opponent-adjusted,fbs,false,,5.25965983,5.08377712,5.31230629,4.99515635,0.34035489,0.31183694,0.35139549,0.30102994,-0.47415158,0.96942035,-0.44904411,1.04161964,21.2,-0.86104097,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
17,byu,BYU,big-12,91.73,83.18,86.6,,,85.32,32,,1.11657846,0.48958328,0.83712799,13,prior-fbs-opponent-adjusted,fbs,false,,5.78202574,5.28078887,5.85132485,5.23676477,0.42719925,0.30537901,0.44089105,0.2990796,0.28803055,0.61072846,0.50148264,1.06352752,78.5,1.34302343,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
18,utah,Utah,big-12,91.3,96.01,86.17,,,76.77,52,,1.1149705,1.55480271,0.78570015,12,prior-fbs-opponent-adjusted,fbs,false,,6.67051607,5.41288825,6.70476204,5.39663199,0.55427842,0.28853833,0.55867593,0.28710734,1.49480638,0.37338955,1.75246836,1.19801076,67.9,0.93529075,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
19,smu,SMU,acc,90.88,90.45,87.88,,,71.64,64,,1.09717618,0.89046675,0.96371776,12,prior-fbs-opponent-adjusted,fbs,false,,6.31347063,5.27838328,6.34048249,5.27345145,0.47609533,0.27255144,0.47702798,0.27169179,0.97970841,0.5562634,0.88529061,1.37117211,56.9,0.51217193,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
20,tenn,Tennessee,sec,90.45,93.44,64.8,,,94.72,10,,1.08823708,1.25660436,-0.18826651,12,prior-fbs-opponent-adjusted,fbs,false,,6.50949662,5.76823305,6.51901957,5.75641375,0.54824241,0.416305,0.54724947,0.41296989,1.23216312,-0.16074251,1.63110869,-0.2157905,35.3,-0.31867957,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
21,psu,Penn State,big-ten,90.02,81.9,79.76,,,70.36,67,,1.07069491,0.43090649,0.4953387,12,prior-fbs-opponent-adjusted,fbs,false,,5.79389269,5.42694428,5.83235303,5.38755396,0.4810693,0.34850186,0.48820106,0.34000554,0.26120405,0.3868668,1.0039592,0.6038106,7.6,-1.38416969,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
22,iowa,Iowa,big-ten,89.59,75.06,94.3,,,77.2,51,,1.06568769,0.20401248,1.42219363,12,prior-fbs-opponent-adjusted,fbs,false,,5.31292056,4.79089288,5.31445825,4.74050031,0.48508424,0.2700705,0.48826987,0.26049856,-0.47110867,1.34748274,1.00469005,1.49690451,34.2,-0.36099146,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
