gsis_id,pfr_id,espn_id,display_name,position,position_group,status
00-0020447,CodyTa20,3998303,Tay Cody,CB,DB,CUT
00-0027665,CodyTe99,13267,Terrence Cody,NT,DL,ACT
00-0025560,CoexMi99,10616,Michael Coe,CB,DB,ACT
00-0036089,CoexNi01,4047458,Nick Coe,OLB,LB,DEV
00-0032703,CoexRo00,3039922,Rodney Coe,DT,DL,ACT
00-0003179,cofermik01,6442,Mike Cofer,K,SPEC,CUT
COF127782,CofeJo20,,Joe Cofer,DB,DB,ACT
00-0003178,CofeMi00,12173,Mike Cofer,DE,DL,PUP
00-0027048,CoffGl00,12491,Glen Coffee,RB,RB,ACT
COF511128,CoffKe20,,Ken Coffey,DB,DB,ACT
COF575019,CoffWa20,,Wayne Coffey,WR,WR,ACT
COF638910,CoffRa20,,Randy Coffield,LB,LB,ACT
00-0027069,CoffCh00,12536,Chase Coffman,TE,TE,CUT
COF702801,CoffPa00,,Paul Coffman,TE,TE,ACT
00-0024339,CofiBa20,9710,Barry Cofield,NT,DL,ACT
00-0031877,CofiTa00,2512456,Takoby Cofield,OT,OL,NWT
COF766692,CofiTi20,,Tim Cofield,LB,LB,ACT
00-0003187,CoghGe20,1706,George Coghill,DB,DB,ACT
00-0019351,CoheDu20,2533,Dustin Cohen,LB,LB,ACT
00-0039512,CoheJa00,4692037,Javion Cohen,G,OL,DEV
00-0025522,CoheJo00,10578,Joe Cohen,DT,DL,CUT
00-0026356,CoheLa99,11450,Landon Cohen,DE,DL,ACT
00-0033556,CoheTa00,3066158,Tarik Cohen,RB,RB,DEV
COK415291,CokeWi20,,Will Cokeley,ILB,LB,ACT
00-0039535,CokeAn00,4429430,Andrew Coker,OT,OL,ACT
00-0039491,CokeJa01,4695883,Jalen Coker,WR,WR,ACT
COL020508,ColaSt20,,Steve Colavito,LB,LB,ACT
00-0033302,ColbAd00,2971699,Adrian Colbert,FS,DB,ACT
COL030762,ColbDa20,,Danny Colbert,CB,DB,ACT
COL041016,ColbDa21,,Darrell Colbert,WR,WR,ACT
00-0039480,ColbJo00,4367504,Jordan Colbert,SAF,DB,RES
COL051270,ColbLe20,,Lewis Colbert,P,SPEC,ACT
00-0022726,ColbKe00,5586,Keary Colbert,WR,WR,CUT
COL061524,ColbRo20,,Rondy Colbert,DB,DB,ACT
00-0040245,ColbCo00,4431523,Connor Colby,G,OL,ACT
00-0022713,ColcRi20,5563,Ricardo Colclough,DB,DB,CUT
00-0038803,ColdCJ00,4240333,C.J. Coldon,CB,DB,CUT
00-0035190,ColeAJ01,3686689,AJ Cole,P,SPEC,ACT
00-0029578,ColeAu00,15023,Audie Cole,MLB,LB,ACT
00-0036353,ColeBr01,3672884,Brian Cole,SAF,DB,DEV
00-0019661,ColeCh00,2201,Chris Cole,WR,WR,RES
00-0021684,ColeCo20,4870,Colin Cole,DT,DL,CUT
00-0033765,ColeDy00,2986109,Dylan Cole,LB,LB,ACT
COL092286,ColeEd20,,Eddie Cole,LB,LB,ACT
00-0027270,ColeJu00,13501,Justin Cole,LB,LB,ACT
00-0033681,ColeKe00,3071572,Keelan Cole,WR,WR,DEV
COL133302,ColeLa20,,Larry Cole,DT,DL,ACT
00-0003202,ColeLe20,8114,Lee Cole,CB,DB,ACT
00-0024588,ColeMa01,11211,Marquice Cole,DB,DB,ACT
00-0034785,ColeMa02,3115972,Mason Cole,C,OL,ACT
00-0035838,ColeMa03,4041703,Matt Cole,WR,WR,DEV
00-0039425,ColeMy00,4365303,Myles Cole,DE,DL,ACT
00-0024156,ColeNi20,9905,Nick Cole,G,OL,ACT
COL174318,ColeRo01,,Robin Cole,OLB,LB,ACT
00-0023579,ColeTr20,8560,Trent Cole,OLB,LB,ACT
00-0025702,ColeAl21,10945,Alonzo Coleman,RB,RB,ACT
00-0034636,ColeAm00,3125790,Amari Coleman,CB,DB,CUT
00-0003209,ColeAn00,7645,Andre Coleman,WR,WR,CUT
00-0024739,ColeAn21,10858,Andre Coleman,DE,DL,DEV
COL215334,ColeAn20,,Anthony Coleman,DB,DB,ACT
00-0027209,ColeAn01,13548,Antonio Coleman,DE,DL,CUT
00-0003212,ColeBe20,424,Ben Coleman,G,OL,ACT
00-0030801,ColeBr00,17127,Brandon Coleman,WR,WR,ACT
00-0039913,ColeBr02,4685030,Brandon Coleman,G,OL,ACT
00-0029219,ColeB.00,15018,B.J. Coleman,QB,QB,DEV
COL225588,ColeCh20,,Charles Coleman,TE,TE,ACT
00-0019038,ColeCh01,2491,Chris Coleman,WR,WR,ACT
00-0021028,ColeCl00,4872,Clarence Coleman,WR,WR,ACT
00-0032966,ColeCo00,2978929,Corey Coleman,WR,WR,CUT
00-0019704,ColeCo21,2182,Cosey Coleman,G,OL,RES
00-0038666,ColeDJ00,4368812,DJ Coleman,DE,DL,CUT
00-0030954,ColeDa00,17334,Davon Coleman,DT,DL,DEV
00-0031103,ColeDe01,17128,Deandre Coleman,DT,DL,CUT
00-0029068,ColeDe00,15351,Derrick Coleman,FB,RB,ACT
COL256350,ColeDo20,,Don Coleman,OLB,LB,ACT
00-0035863,ColeDo00,4043132,Douglas Coleman III,DB,DB,RES
00-0024403,ColeDr20,9775,Drew Coleman,DB,DB,ACT
COL266604,ColeEr20,,Eric Coleman,DB,DB,ACT
00-0022218,ColeEr21,5668,Erik Coleman,S,DB,CUT
COL276858,ColeFr21,,Fred Coleman,TE,TE,ACT
00-0003220,ColeFr00,1550,Fred Coleman,WR,WR,ACT
COL287112,ColeGr20,,Greg Coleman,P,SPEC,ACT
00-0041496,ColeJo00,4702555,Jonah Coleman,RB,RB,ACT
00-0031796,ColeJu01,2577707,Justin Coleman,CB,DB,ACT
00-0019382,ColeKa00,2484,KaRon Coleman,RB,RB,ACT
00-0021262,ColeKe20,3675,Kenyon Coleman,DE,DL,RES
00-0003226,ColeKe21,7379,Keo Coleman,LB,LB,RES
00-0039901,ColeKe02,4635008,Keon Coleman,WR,WR,ACT
00-0041529,ColeKe03,4685307,Kevin Coleman Jr.,WR,WR,ACT
00-0027835,ColeKu99,13340,Kurt Coleman,S,DB,ACT
00-0030335,ColeLa01,16485,Lanier Coleman,DT,DL,DEV
00-0036575,ColeLa03,4044519,Larnel Coleman,OT,OL,ACT
00-0034624,ColeLa02,3052163,Lavon Coleman,RB,RB,ACT
COL297366,ColeLe21,,Leonard Coleman,DB,DB,ACT
00-0003229,ColeLi00,7565,Lincoln Coleman,FB,RB,CUT
00-0003230,ColeMa00,357,Marco Coleman,DE,DL,ACT
00-0003231,ColeMa20,1032,Marcus Coleman,DB,DB,CUT
00-0003233,ColeMo20,6591,Monte Coleman,LB,LB,ACT
00-0003234,ColePa00,6695,Pat Coleman,WR,WR,ACT
00-0003239,ColeRo99,1906,Rod Coleman,DT,DL,RES
COL337878,ColeRo00,,Ronnie Coleman,RB,RB,ACT
00-0040054,ColeSe00,4429436,Seth Coleman,DE,DL,ACT
00-0033097,ColeSh00,2574573,Shon Coleman,OT,OL,DEV
00-0003243,ColeSi20,,Sidney Coleman,LB,LB,CUT
COL358890,ColeSt20,,Steve Coleman,DE,DL,ACT
00-0032058,ColeTe01,2979477,Tevin Coleman,RB,RB,DEV
00-0020992,ColeTr21,4393,Travis Coleman,DB,DB,ACT
00-0033453,ColeXa00,3045642,Xavier Coleman,CB,DB,DEV
00-0018958,ColeLa00,2209,Laveranues Coles,WR,WR,CUT
00-0003246,ColeJa20,,James Coley,TE,TE,CUT
00-0024027,ColeKe22,,Kevis Coley,LB,LB,ACT
00-0033968,ColeSt00,3051923,Stacy Coley,WR,WR,CUT
00-0032566,ColeTr01,2982880,Trevon Coley,DT,DL,DEV
00-0003248,ColiSt20,1248,Stalin Colinet,DE,DL,CUT
00-0039721,CollRy01,4573473,Ryan Coll,C,OL,RES
00-0024262,CollDa20,9633,Daryn Colledge,G,OL,ACT
COL389652,CollEl00,,Elmer Collett,G,OL,ACT
00-0038875,CollJa04,4360705,Jack Colletto,FB,RB,CUT
00-0027092,CollAu00,12561,Austin Collie,WR,WR,ACT
00-0003252,CollBr20,,Bruce Collie,OT,OL,CUT
00-0039244,CollCh01,4698191,Chris Collier,RB,RB,CUT
00-0035636,CollLJ00,3116449,L.J. Collier,DE,DL,ACT
COL420414,CollMi00,,Mike Collier,RB,RB,ACT
COL430668,CollRe20,,Reggie Collier,QB,QB,ACT
00-0024096,CollRi20,9906,Richard Collier,OT,OL,RSN
COL451176,CollSt20,,Steve Collier,OT,OL,ACT
COL461430,CollTi20,,Tim Collier,CB,DB,ACT
00-0032426,CollAl00,3046409,Alex Collins,RB,RB,RES
00-0040721,CollAl01,4430835,Alfred Collins,DT,DL,ACT
COL481938,CollSo00,,Sonny Collins,RB,RB,ACT
00-0003264,CollAn20,154,Andre Collins,LB,LB,CUT
00-0026252,CollAn21,11346,Anthony Collins,OT,OL,ACT
COL512700,CollTo01,,Tony Collins,RB,RB,ACT
00-0033326,CollAv00,2971556,Aviante Collins,OT,OL,DEV
00-0003266,CollBo00,1875,Bobby Collins,TE,TE,CUT
00-0029465,CollBr00,15588,Brandon Collins,WR,WR,CUT
00-0003268,CollBr21,7300,Brett Collins,LB,LB,ACT
00-0040432,CollBe00,4431210,Beaux Collins,WR,WR,ACT
00-0003269,CollCa20,1336,Calvin Collins,G,OL,ACT
