gsis_id,pfr_id,espn_id,display_name,position,position_group,status
00-0028830,AaitIs00,14856,Isaako Aaitui,NT,DL,DEV
00-0038389,AbanIs00,4429202,Israel Abanikanda,RB,RB,ACT
ABB498348,abbotvin01,,Vince Abbott,K,SPEC,ACT
00-0031021,AbbrJa00,16836,Jared Abbrederis,WR,WR,CUT
00-0032860,AbdeMe00,2576467,Mehdi Abdesmad,DE,DL,RES
00-0028564,AbduIs00,14466,Isa Abdul-Quddus,S,DB,RES
00-0032104,AbduAm00,2576336,Ameer Abdullah,RB,RB,ACT
00-0023663,AbduHa20,8645,Hamza Abdullah,DB,DB,ACT
00-0025940,AbduHu99,11910,Husain Abdullah,FS,DB,ACT
00-0021957,AbduKh20,4594,Khalid Abdullah,LB,LB,RES
00-0000007,AbduRa00,1703,Rabih Abdullah,RB,RB,ACT
00-0000008,AbduRa20,3998258,Rahim Abdullah,OLB,LB,ACT
00-0038580,AbduYa00,4360807,Yasir Abdullah,LB,LB,ACT
ABE498348,AberWa00,,Walter Abercrombie,RB,RB,ACT
00-0035098,AberMi00,3915373,Micah Abernathy,DB,DB,RES
00-0025444,AbiaVi99,10501,Victor Abiamiri,DE,DL,RES
00-0041445,AbneKe00,5093004,Keith Abney II,CB,DB,ACT
00-0030083,AbouOd00,15972,Oday Aboushi,G,OL,ACT
00-0000016,AbraCl20,7903,Clifton Abraham,DB,DB,ACT
00-0019546,AbraJo00,2144,John Abraham,OLB,LB,RES
00-0039403,AbraMi00,4427563,Micah Abraham,DB,DB,DEV
00-0000017,AbraDo00,1027,Donnie Abraham,CB,DB,ACT
ABR083058,AbraRo20,,Robert Abraham,LB,LB,ACT
00-0035693,AbraJo01,3728305,Johnathan Abram,DB,DB,CUT
ABR166116,AbraDa00,,Danny Abramowicz,WR,WR,ACT
ABR249174,AbraSi20,,Sid Abramowitz,OT,OL,ACT
00-0035774,AbraDe00,4360643,Delrick Abrams,DB,DB,DEV
00-0000025,AbraKe20,1201,Kevin Abrams,CB,DB,RES
ABR426540,AbraBo20,7177,Bobby Abrams,LB,LB,CUT
00-0039371,AbraKr00,4429193,Kris Abrams-Draine,CB,DB,ACT
00-0039040,AchaDe00,4429160,De'Von Achane,RB,RB,ACT
ACH207645,AcheSt20,,Steve Ache,LB,LB,ACT
ACH415290,AchiGe20,,George Achica,DT,DL,ACT
00-0029428,AchoEm00,15045,Emmanuel Acho,LB,LB,CUT
00-0028041,AchoSa00,14152,Sam Acho,LB,LB,ACT
00-0031186,AckeKe00,16914,Kenneth Acker,CB,DB,ACT
ACK207645,AckeBi20,,Bill Acker,NT,DL,ACT
ACK415290,AckeRi20,,Rick Ackerman,DT,DL,ACT
00-0000032,AckeTo20,1028,Tom Ackerman,C,OL,ACT
ACK622935,AcksRo20,,Ron Acks,MLB,LB,ACT
ACO415291,AcorFr20,,Fred Acorn,CB,DB,ACT
00-0035801,AcyxDe00,4035103,DeMarkus Acy,CB,DB,RES
ADA083058,AdamMi01,,Mike Adamle,RB,RB,ACT
00-0029831,AdamAa00,16296,Aaron Adams,OT,OL,RES
00-0029271,AdamJo01,14917,Joe Adams,WR,WR,ACT
ADA102090,AdamTh20,,Theo Adams,G,OL,CUT
00-0032637,AdamAn00,2576599,Andrew Adams,DB,DB,DEV
00-0033521,AdamKe02,3042773,Keion Adams,LB,LB,CUT
00-0022085,AdamAn20,4515,Anthony Adams,DT,DL,ACT
ADA110744,AdamTo00,,Tony Adams,QB,QB,ACT
00-0021006,AdamCh00,4447,Charlie Adams,WR,WR,ACT
ADA166116,AdamCu00,,Curtis Adams,RB,RB,ACT
00-0031115,AdamD.00,16961,D.J. Adams,RB,RB,RSN
00-0022031,AdamBl20,4678,Blue Adams,DB,DB,ACT
00-0028746,AdamDa00,14759,Darvin Adams,WR,WR,ACT
00-0031381,AdamDa01,16800,Davante Adams,WR,WR,ACT
ADA222240,AdamBr20,,Brent Adams,OT,OL,ACT
ADA229740,AdamDa20,,David Adams,RB,RB,ACT
ADA249174,AdamDo20,,Doug Adams,MLB,LB,ACT
ADA276860,AdamEa20,,Earnest Adams,LB,LB,ACT
00-0000045,AdamFl00,1469,Flozell Adams,OT,OL,ACT
00-0025391,AdamGa99,10449,Gaines Adams,DE,DL,NWT
00-0000047,AdamGe00,,George Adams,RB,RB,CUT
00-0039808,AdamIs01,5084939,Isaiah Adams,G,OL,ACT
00-0033872,AdamJa00,3115373,Jamal Adams,LB,LB,ACT
00-0025889,AdamJa20,11911,Jamar Adams,DB,DB,ACT
00-0028998,AdamJe00,15368,Jeff Adams,OT,OL,DEV
00-0032429,AdamJe01,2978727,Jerell Adams,TE,TE,DEV
00-0030226,AdamJo02,16489,Johnny Adams,CB,DB,DEV
00-0034457,AdamJo03,3932420,Josh Adams,RB,RB,CUT
ADA470662,AdamJu00,,Julius Adams,DE,DL,ACT
00-0020488,AdamKe20,2781,Keith Adams,LB,LB,ACT
00-0029047,AdamKe01,15394,Kendrick Adams,DE,DL,DEV
00-0028338,AdamKr00,14319,Kris Adams,WR,WR,RES
00-0028337,AdamKy00,14217,Kyle Adams,TE,TE,ACT
00-0034424,AdamMa00,3126179,Matthew Adams,OLB,LB,ACT
00-0022247,AdamMi21,5893,Mike Adams,FS,DB,ACT
00-0025668,AdamMi98,10847,Michael Adams,DB,DB,RES
00-0029202,AdamMi02,8133,Mike Adams,OT,OL,RES
ADA504348,AdamMi00,,Mike Adams,WR,WR,RES
ADA510348,AdamMi20,,Michael Adams,DB,DB,ACT
00-0033929,AdamMo00,3051894,Montravius Adams,DT,DL,ACT
00-0035946,AdamMy00,4039164,Myles Adams,DT,DL,ACT
00-0035007,AdamPa01,3122099,Paul Adams,OT,OL,CUT
ADA526034,AdamPe20,,Pete Adams,G,OL,ACT
00-0027610,AdamPh00,13308,Phillip Adams,DB,DB,ACT
ADA553720,AdamBo00,,Bob Adams,TE,TE,ACT
00-0033957,AdamRo01,3059918,Rodney Adams,WR,WR,RSN
00-0028829,AdamRo00,14863,Royce Adams,WR,WR,RES
00-0000065,AdamSa00,601,Sam Adams,DT,DL,CUT
ADA581406,AdamSa20,,Sam Adams,G,OL,ACT
00-0000066,AdamSc20,7353,Scott Adams,OT,OL,ACT
ADA609092,AdamSt20,,Stan Adams,OLB,LB,ACT
ADA636778,AdamSt21,,Stefon Adams,DB,DB,ACT
00-0024434,AdamTi00,9806,Titus Adams,DT,DL,RES
00-0037155,AdamTo03,4240532,Tony Adams,SAF,DB,ACT
00-0036185,AdamTr01,3886808,Trey Adams,OT,OL,DEV
00-0032094,AdamTy00,3895228,Tyrell Adams,LB,LB,CUT
00-0000072,AdamVa20,916,Vashone Adams,DB,DB,ACT
ADA719836,AdamBi20,,Bill Adams,G,OL,ACT
ADA775208,AdamWi00,,Willis Adams,WR,WR,ACT
00-0028999,AdcoLe00,15382,Levy Adcock,OT,OL,DEV
00-0030312,AddaJa00,16039,Jahleel Addae,S,DB,ACT
00-0024245,AddaJo00,9616,Joseph Addai,RB,RB,ACT
00-0035677,AddeNa00,3912028,Nasir Adderley,FS,DB,ACT
00-0037686,AddiTu00,4034729,Tucker Addington,LS,SPEC,ACT
00-0032482,AddiBr01,2971271,Bralon Addison,WR,WR,ACT
00-0038994,AddiJo00,4429205,Jordan Addison,WR,WR,ACT
00-0028339,AddiMa00,14320,Mario Addison,DL,DL,ACT
00-0039031,AdebAd00,4427635,Adetomiwa Adebawore,DT,DL,ACT
00-0036937,AdebPa00,4242547,Paulson Adebo,CB,DB,ACT
00-0033366,AdebQu00,3051869,Quincy Adeboyejo,WR,WR,RES
00-0036310,AdenHa00,4046557,Hakeem Adeniji,G,OL,ACT
00-0027462,AdenDa00,,Damola Adeniji,WR,WR,DEV
00-0034204,AdenOl00,3126081,Ola Adeniyi,OLB,LB,CUT
00-0035136,AdeoAa00,3910148,Aaron Adeoye,LB,LB,CUT
00-0024328,AdeyVi20,9699,Victor Adeyanju,DE,DL,ACT
00-0026258,AdibXa99,11352,Xavier Adibi,LB,LB,ACT
ADI276861,AdicJo20,,John Adickes,C,OL,ACT
00-0000083,AdicMa20,,Mark Adickes,G,OL,RES
00-0032273,AdjeJu00,2515836,Jude Adjei-Barimah,CB,DB,RES
ADK138430,AdkiKe20,,Kevin Adkins,DB,DB,ACT
00-0038783,AdkiNa00,4383440,Nate Adkins,TE,TE,ACT
ADK692150,AdkiSa00,,Sam Adkins,QB,QB,ACT
00-0027123,AdkiSp99,12628,Spencer Adkins,OLB,LB,ACT
00-0021629,AdkiJa00,6091,James Adkisson,WR,WR,CUT
00-0037412,AdomCa00,4240719,Cal Adomitis,LS,SPEC,ACT
00-0030583,AdonDa00,16632,Daniel Adongo,LB,LB,CUT
00-0026936,AfalAl99,12629,Al Afalava,S,DB,ACT
00-0000090,AffhEr00,,Erik Affholter,WR,WR,CUT
00-0034702,AfriPa00,3119152,Pat Afriyie,DE,DL,DEV
00-0000091,AgexLo20,,Louis Age,OT,OL,ACT
00-0000094,AgeeMe20,7006,Mel Agee,DT,DL,ACT
00-0000096,AgeeTo00,6503,Tommie Agee,RB,RB,ACT
00-0031549,AghoNe00,2971618,Nelson Agholor,WR,WR,ACT
00-0036420,AgimMc00,4035566,McTelvin Agim,DT,DL,DEV
00-0033572,AgneJa00,3061612,Jamal Agnew,WR,WR,CUT
00-0000097,AgneRa20,227,Ray Agnew,DT,DL,ACT
00-0030653,AgneRa00,17101,Ray Agnew,RB,RB,CUT
00-0028450,AgneVi00,14558,Vince Agnew,CB,DB,DEV
00-0039177,AgohDa00,5144941,David Agoha,DE,DL,ACT
00-0033102,AguaRo00,2978887,Roberto Aguayo,K,SPEC,DEV
00-0038682,AgudMi01,4591235,Mitchell Agude,LB,LB,ACT
00-0033599,AgudCa00,2982809,Carlton Agudosi,WR,WR,NWT
00-0000098,aguialou01,228,Louie Aguiar,P,SPEC,ACT
00-0025626,AhYoC.00,10682,C.J. Ah You,DT,DL,ACT
00-0000100,AhanCh20,426,Chidi Ahanotu,DT,DL,ACT
00-0038749,AhleHo00,4360131,Holton Ahlers,QB,QB,CUT
00-0035761,AhmeRa00,4266790,Ramiz Ahmed,K,SPEC,DEV
00-0036020,AhmeSa01,4243315,Salvon Ahmed,RB,RB,ACT
00-0039175,AhoxJu00,4689551,Junior Aho,DT,DL,DEV
AHR415291,AhreDa20,,Dave Ahrens,OLB,LB,ACT
00-0028496,AikeDa00,14581,Danny Aiken,LS,SPEC,RES
00-0028497,AikeKa00,14583,Kamar Aiken,WR,WR,CUT
00-0021915,AikeSa00,4585,Sam Aiken,WR,WR,CUT
AIK276861,AikeCa20,,Carl Aikens,WR,WR,ACT
00-0031307,AikeWa00,16819,Walt Aikens,DB,DB,ACT
00-0000104,AikmTr00,53,Troy Aikman,QB,QB,ACT
00-0026302,AingEr00,,Erik Ainge,QB,QB,RSN
AIU415291,AiuxCh20,,Charles Aiu,G,OL,ACT
00-0028679,AiyeVi00,14672,Victor Aiyewa,LB,LB,ACT
00-0036261,AiyuBr00,4360438,Brandon Aiyuk,WR,WR,RLS
00-0031590,AjayJa00,2573300,Jay Ajayi,RB,RB,CUT
00-0039178,AjiaAu00,4374171,Austin Ajiake,LB,LB,ACT
00-0027581,AjirSe00,13524,Seyi Ajirotutu,WR,WR,ACT
00-0020330,AkbaHa20,2712,Hakim Akbar,DB,DB,RES
00-0036414,AkerCa00,4240021,Cam Akers,RB,RB,ACT
00-0000108,akersdav01,1716,David Akers,K,SPEC,ACT
00-0036598,AkerLa00,4035554,Landen Akers,WR,WR,DEV
00-0040022,AkinTo00,4683450,Tommy Akingbesote,DT,DL,ACT
00-0038073,AkinAl00,4035835,Alex Akingbulu,OT,OL,ACT
00-0035600,AkinFr01,3116082,Freedom Akinmoladun,DE,DL,DEV
00-0000112,AkinCh20,1965,Chris Akins,DB,DB,RES
00-0035392,AkinCu00,3139626,Curtis Akins,LB,LB,CUT
00-0034364,AkinJo00,3128452,Jordan Akins,TE,TE,DEV
AKI664464,AkiuMi20,,Mike Akiu,WR,WR,ACT
00-0035166,AlShAz00,3919117,Azeez Al-Shaair,LB,LB,ACT
00-0023595,AlabAn20,,Anthony Alabi,OT,OL,ACT
00-0035103,AlakOt01,3122141,Otaro Alaka,LB,LB,RES
00-0025445,AlamIk99,10502,Ikaika Alama-Francis,LB,LB,ACT
00-0036448,AlarIs00,4686629,Isaac Alarcon,OT,OL,ACT
00-0026155,AlbeBr20,3938599,Branden Albert,OT,OL,ACT
ALB415290,AlbeSe20,,Sergio Albert,K,SPEC,ACT
00-0000119,AlbeTr20,7604,Trev Alberts,OLB,LB,ACT
ALB553720,AlbrTe20,,Ted Albrecht,OT,OL,ACT
00-0028614,AlbrAl00,14628,Alex Albright,OLB,LB,CUT
00-0032491,AlbrBr00,2978064,Bryson Albright,LB,LB,ACT
ALB622935,AlbrIr20,,Ira Albright,RB,RB,ACT
00-0000121,AlbrEt20,869,Ethan Albright,LS,SPEC,CUT
00-0000123,AlbrVi20,,Vince Albritton,DB,DB,RES
00-0023911,AlcoZa20,10140,Zac Alcorn,TE,TE,DEV
ALD103822,AldeGr00,,Grady Alderman,OT,OL,ACT
00-0000129,AldrAl21,582,Allen Aldridge,OLB,LB,ACT
ALD415288,AldrAl20,,Allen Aldridge,DE,DL,ACT
ALD622932,AldrJe20,,Jerry Aldridge,RB,RB,ACT
00-0020665,AldrKe20,4345,Kevin Aldridge,DE,DL,CUT
00-0000130,AldrMe20,7592,Melvin Aldridge,S,DB,CUT
00-0000133,AlexAr20,7709,Arnold Ale,LB,LB,ACT
00-0000134,AleaIn20,1406,Ink Aleaga,LB,LB,RES
00-0029099,AlecCh00,15353,Chas Alecxih,DT,DL,RES
00-0000135,AlexKe20,,Keith Alex,G,OL,ACT
00-0034840,AlexAd00,3871875,Adonis Alexander,DB,DB,DEV
00-0029331,AlexAl00,15552,Alvester Alexander,RB,RB,DEV
00-0000136,AlexBr20,717,Brent Alexander,FS,DB,ACT
00-0000137,AlexBr21,6852,Bruce Alexander,DB,DB,ACT
ALE131142,AlexCh00,,Charles Alexander,RB,RB,ACT
00-0020487,AlexDa21,,Dan Alexander,RB,RB,CUT
00-0027912,AlexDa00,13935,Danario Alexander,WR,WR,RES
ALE174856,AlexDa20,,Dan Alexander,G,OL,ACT
00-0040694,AlexDa01,4426542,Darius Alexander,DT,DL,ACT
00-0000144,AlexDa22,6833,David Alexander,C,OL,RES
00-0034715,AlexDe01,4055563,Deontez Alexander,WR,WR,DEV
00-0000145,AlexDe00,567,Derrick Alexander,WR,WR,RES
00-0000146,AlexDe20,759,Derrick L. Alexander,DE,DL,CUT
00-0032983,AlexDo01,3052651,Dominique Alexander,ILB,LB,RES
00-0031950,AlexD.00,3001171,D.J. Alexander,LB,LB,RES
00-0000147,AlexEl20,346,Elijah Alexander,OLB,LB,ACT
00-0022342,AlexEr20,6156,Eric Alexander,LB,LB,ACT
00-0029270,AlexFr00,15010,Frank Alexander,DE,DL,SUS
00-0025448,AlexGe99,10505,Gerald Alexander,DB,DB,ACT
00-0000149,AlexHa20,7452,Harold Alexander,P,SPEC,ACT
00-0034728,AlexJa00,3895429,Jaire Alexander,CB,DB,CUT
00-0000151,AlexJe00,,Jeff Alexander,RB,RB,ACT
ALE393426,AlexJo21,,John Alexander,DE,DL,ACT
00-0000154,AlexKe00,8104,Kevin Alexander,WR,WR,ACT
00-0027276,AlexKe02,13798,Kevin Alexander,LB,LB,CUT
ALE502523,AlexPa20,8074,Patrise Alexander,LB,LB,CUT
00-0023259,AlexLo99,9424,Lorenzo Alexander,OLB,LB,ACT
00-0032389,AlexMa01,3045120,Mackensie Alexander,CB,DB,DEV
00-0031393,AlexMa00,16937,Maurice Alexander,LB,LB,RES
00-0037708,AlexMa02,3914307,Maurice Alexander,WR,WR,ACT
ALE516693,AlexMi00,,Mike Alexander,WR,WR,ACT
00-0028533,AlexMi01,14534,Mister Alexander,LB,LB,DEV
00-0022569,AlexRo21,5846,Roc Alexander,DB,DB,RES
00-0020728,AlexP.20,,P.J. Alexander,OT,OL,ACT
ALE568282,AlexRo20,,Robert Alexander,RB,RB,ACT
ALE611996,AlexRo22,,Rogers Alexander,LB,LB,ACT
00-0025563,AlexRu20,,Rufus Alexander,LB,LB,DEV
00-0032109,AlexKw00,2976541,Kwon Alexander,MLB,LB,DEV
00-0019647,AlexSh00,2150,Shaun Alexander,RB,RB,CUT
00-0000166,AlexSt00,1478,Stephen Alexander,TE,TE,RES
00-0032899,AlexVa00,2976556,Vadal Alexander,OT,OL,ACT
ALE655710,AlexRa00,,Ray Alexander,WR,WR,ACT
ALE699424,AlexVi20,,Vincent Alexander,RB,RB,ACT
ALE743138,AlexWi20,,Willie Alexander,DB,DB,ACT
00-0038491,AlexDe02,4240728,Deslin Alexandre,DL,DL,CUT
ALE786852,AlexAl20,,Alton Alexis,WR,WR,ACT
00-0022228,AlexRi00,6300,Rich Alexis,RB,RB,ACT
00-0035381,AlfiJo01,3117242,Joey Alfieri,LB,LB,DEV
00-0000172,AlfoBr00,1625,Brian Alford,WR,WR,ACT
00-0019677,AlfoDa20,,Darnell Alford,OT,OL,ACT
00-0037034,AlfoDe00,4401823,Dee Alford,CB,DB,ACT
00-0028705,AlfoDo00,14734,Dominic Alford,OL,OL,DEV
00-0025468,AlfoJa99,10525,Jay Alford,NT,DL,CUT
ALF553722,AlfoLy20,,Lynwood Alford,LB,LB,ACT
00-0031962,AlfoMa00,3052686,Mario Alford,WR,WR,CUT
00-0030528,AlfoRo00,15817,Robert Alford,CB,DB,RES
00-0024763,AlixCh00,10967,Charles Ali,RB,RB,CUT
00-0038149,AlixJo00,4259976,Josh Ali,WR,WR,RES
00-0039796,AlixRa00,4690013,Rasheen Ali,RB,RB,ACT
00-0033513,AliiRi00,2469470,Ricky Ali'ifua,DE,DL,RES
00-0033217,AlieMo00,2998565,Mo Alie-Cox,TE,TE,ACT
00-0000178,AlipTu20,7752,Tuineau Alipate,LB,LB,ACT
00-0039814,AllxEr00,4427834,Erick All,TE,TE,ACT
00-0041565,AllaDr00,4714771,Drew Allar,QB,QB,ACT
00-0000179,allegrau01,,Raul Allegre,K,SPEC,ACT
00-0035149,AlleNi00,3115922,Nick Allegretti,G,OL,ACT
00-0025475,AlleAn20,10532,Andy Alleman,G,OL,ACT
00-0028163,AlleAn01,14212,Anthony Allen,RB,RB,ACT
ALL057945,AlleAn00,,Anthony Allen,WR,WR,ACT
00-0029553,AlleAn02,15061,Antonio Allen,DB,DB,RES
00-0028565,AlleAr00,14358,Armando Allen,RB,RB,ACT
00-0027058,AlleAs99,12630,Asher Allen,CB,DB,ACT
00-0037369,AlleAu00,4240787,Austin Allen,TE,TE,CUT
00-0031089,AlleBe00,16912,Beau Allen,DT,DL,RSR
00-0039794,AlleBr05,4685247,Braelon Allen,RB,RB,ACT
00-0032434,AlleBr00,2574511,Brandon Allen,QB,QB,ACT
00-0038856,AlleBr04,4365380,Brevin Allen,LB,LB,DEV
00-0020295,AlleBr21,2631,Brian Allen,OLB,LB,ACT
00-0021311,AlleBr20,3781,Brian Allen,RB,RB,CUT
00-0033467,AlleBr01,2971632,Brian Allen,CB,DB,DEV
00-0034804,AlleBr02,3134666,Brian Allen,C,OL,ACT
00-0033399,AlleCh02,2975680,Chase Allen,OLB,LB,RES
00-0037100,AlleCh03,4035526,Chase Allen,TE,TE,DEV
00-0041039,AlleCJ00,4870598,CJ Allen,LB,LB,ACT
00-0037379,AlleCh04,4241446,Christopher Allen,LB,LB,RES
00-0028066,AlleCo00,14109,Cortez Allen,DB,DB,RES
00-0040890,AlleCy00,4912218,Cyrus Allen,WR,WR,ACT
00-0035670,AlleDa01,3139453,Dakota Allen,LB,LB,RES
00-0020058,AlleDa00,4760,David Allen,RB,RB,CUT
00-0039074,AlleDa02,4426553,Davis Allen,TE,TE,ACT
00-0034585,AlleDe01,3046392,Dejon Allen,OT,OL,DEV
00-0031117,AlleDe00,17370,Denicos Allen,OLB,LB,DEV
00-0000196,AlleDe20,,Derek Allen,G,OL,ACT
00-0037039,AlleDe02,3052083,Devon Allen,WR,WR,DEV
ALL135205,AlleDo20,,Doug Allen,OLB,LB,ACT
00-0029689,AlleDw00,14901,Dwayne Allen,TE,TE,ACT
ALL173835,AlleEa20,,Earl Allen,DB,DB,ACT
ALL231780,AlleEg20,,Egypt Allen,DB,DB,ACT
00-0000204,AlleEr00,107,Eric Allen,CB,DB,ACT
ALL309040,AlleGa20,,Gary Allen,RB,RB,ACT
ALL386300,AlleGr21,,Greg Allen,RB,RB,ACT
ALL405615,AlleHa20,,Harvey Allen,DB,DB,ACT
00-0020201,AlleIa20,4368,Ian Allen,G,OL,RES
00-0026022,AlleJa24,11734,Jake Allen,WR,WR,ACT
00-0032872,AlleJa03,2576254,Jack Allen,C,OL,RES
00-0000210,AlleJa00,1420,James Allen,RB,RB,ACT
00-0021207,AlleJa21,3610,James Allen,LB,LB,RES
ALL444245,AlleJi20,,Jimmy Allen,FS,DB,ACT
00-0022740,AlleJa22,5651,Jared Allen,DE,DL,ACT
00-0024231,AlleJa23,9602,Jason Allen,DB,DB,ACT
00-0031577,AlleJa01,2577253,Javorius Allen,RB,RB,ACT
00-0029524,AlleJe01,14990,Jeff Allen,G,OL,CUT
00-0033523,AlleJo01,3054840,Jonathan Allen,DE,DL,ACT
ALL521505,AlleCa21,,Carl Allen,CB,DB,ACT
00-0030833,AlleJo00,17102,Josh Allen,C,OL,DEV
00-0034857,AlleJo02,3918298,Josh Allen,QB,QB,ACT
00-0041096,AlleKa01,4685246,Kaytron Allen,RB,RB,ACT
00-0038830,AlleKa00,4367180,Kazmeir Allen,WR,WR,DEV
00-0030279,AlleKe00,15818,Keenan Allen,WR,WR,ACT
00-0021709,AlleKe20,4761,Kenderick Allen,DT,DL,RES
ALL540820,AlleKe21,,Kevin Allen,OT,OL,ACT
00-0034577,AlleKy00,3115293,Kyle Allen,QB,QB,ACT
00-0000217,AlleLa00,609,Larry Allen,G,OL,ACT
00-0040238,AlleLe01,4911851,LeQuint Allen Jr.,RB,RB,ACT
ALL560135,AllePa20,,Patrick Allen,DB,DB,ACT
00-0000220,AlleMa00,6465,Marcus Allen,RB,RB,ACT
00-0034335,AlleMa03,3116149,Marcus Allen,LB,LB,RES
00-0041340,AlleMa05,5081412,Marcus Allen,DB,DB,ACT
00-0000226,AlleMa01,,Marvin Allen,RB,RB,ACT
00-0020214,AlleMa20,4300,Matt Allen,P,SPEC,ACT
00-0027652,AlleNa99,13257,Nate Allen,S,DB,RES
ALL637395,AlleNa20,,Nate Allen,CB,DB,ACT
00-0028433,AllePi00,14219,Pierre Allen,DE,DL,DEV
00-0031213,AlleRa00,17423,RaShaun Allen,TE,TE,DEV
00-0031181,AlleRi00,16882,Ricardo Allen,FS,DB,ACT
00-0026592,AlleRo20,12754,Roger Allen,G,OL,ACT
00-0026605,AlleRu00,12755,Russell Allen,OLB,LB,RES
00-0029984,AlleRy01,16382,Ryan Allen,P,SPEC,CUT
00-0000231,AlleTa20,1345,Taje Allen,DB,DB,ACT
00-0000232,AlleTe00,77,Terry Allen,RB,RB,ACT
00-0030914,AlleTo00,16962,Torrence Allen,WR,WR,CUT
00-0000234,AlleTr00,8178,Tremayne Allen,TE,TE,ACT
00-0022900,AlleWi21,5636,Will Allen,S,DB,ACT
00-0020467,AlleWi20,2570,Will Allen,DB,DB,RES
ALL656106,AlleZa00,16674,Zach Allen,G,OL,DEV
00-0035248,AlleZa01,3915282,Zach Allen,DE,DL,ACT
ALL656710,AlleKu20,,Kurt Allerman,ILB,LB,ACT
ALL676025,AlleTy20,,Ty Allert,LB,LB,ACT
00-0037263,AllgTy00,4373626,Tyler Allgeier,RB,RB,ACT
00-0025533,AlliAu00,10589,Aundrae Allison,WR,WR,RES
00-0032626,AlliGe01,3115913,Geronimo Allison,WR,WR,DEV
ALL714655,AlliHe20,,Hank Allison,G,OL,ACT
00-0000241,AllrBr20,7554,Brian Allred,DB,DB,CUT
00-0023812,AllrCo99,9847,Colin Allred,OLB,LB,RES
00-0000242,AllrJo00,1194,John Allred,TE,TE,ACT
00-0000243,AlmxJe20,6895,Jeff Alm,DT,DL,NWT
ALM553722,AlmoBe20,,Beau Almodobar,WR,WR,ACT
00-0030401,AlonKi00,15819,Kiko Alonso,OLB,LB,CUT
00-0000245,AlphGe20,,Gerald Alphin,WR,WR,CUT
00-0024292,AlstJo20,9663,Jon Alston,LB,LB,RES
ALS207645,AlstLy20,,Lyneal Alston,WR,WR,ACT
ALS415290,AlstMa00,,Mack Alston,TE,TE,ACT
ALS622935,AlstOB20,,O'Brien Alston,OLB,LB,ACT
00-0021890,AlstRi20,5345,Richard Alston,WR,WR,ACT
00-0000251,AlstMi00,925,Mike Alstott,FB,RB,RES
00-0039897,AltxJo01,4683487,Joe Alt,OT,OL,ACT
00-0000252,AltxJo00,6925,John Alt,OT,OL,ACT
ALT553722,AlthJi20,,Jim Althoff,DT,DL,ACT
00-0041453,AltmLu00,4597679,Luke Altmyer,QB,QB,ACT
00-0027862,AluaTy99,13233,Tyson Alualu,DE,DL,ACT
00-0036065,AlufAu00,3911982,Auzoyah Alufohai,DT,DL,DEV
ALV207645,alvarwil01,,Wilson Alvarez,K,SPEC,ACT
ALV415290,AlveSt20,,Steve Alvers,TE,TE,ACT
ALV622935,AlvoSt20,,Steve Alvord,DT,DL,ACT
ALW276861,AlwaTo20,,Tom Alward,G,OL,ACT
ALZ415291,AlzaLy00,,Lyle Alzado,DE,DL,ACT
00-0035142,AmadUg00,3886834,Ugo Amadi,CB,DB,ACT
00-0022771,AmanEu20,5764,Eugene Amano,C,OL,RES
00-0031042,AmarJa00,16792,Jace Amaro,TE,TE,ACT
00-0021126,AmatKe20,5348,Ken Amato,LS,SPEC,ACT
00-0027355,AmayJo00,13527,Jonathon Amaya,DB,DB,ACT
00-0000261,AmbrAs00,299,Ashley Ambrose,CB,DB,RES
AMB553720,AmbrDi20,,Dick Ambrose,ILB,LB,ACT
00-0039822,AmegKi00,4883090,Kiran Amegadjie,OT,OL,ACT
00-0026035,AmenDa00,11674,Danny Amendola,WR,WR,ACT
00-0030420,AmerDa00,15820,David Amerson,DB,DB,ACT
00-0023042,AmeyFr00,9275,Otis Amey,WR,WR,ACT
00-0000267,AmeyVi20,8246,Vince Amey,DE,DL,ACT
00-0033301,AmicKo00,2980036,Kofi Amichia,G,OL,DEV
00-0036469,AmmeMa00,3919602,Matt Ammendola,K,SPEC,CUT
00-0031584,AmosAd00,2582132,Adrian Amos,S,DB,CUT
00-0040731,AmosTr00,4574689,Trey Amos,CB,DB,ACT
00-0027957,AmukPr00,13975,Prince Amukamara,CB,DB,DEV
AMU553722,AmunGe00,,George Amundson,RB,RB,ACT
00-0036379,AnaeBr00,4035660,Bradlee Anae,DE,DL,DEV
00-0034012,AnauPe00,3119465,Peli Anau,DE,DL,DEV
00-0036437,AnchTr00,4035478,Tremayne Anchrum,G,OL,DEV
00-0000279,AndeKi00,116,Kimble Anders,RB,RB,ACT
00-0000281,AndeJa20,,Jason Andersen,C,OL,ACT
00-0000282,andermor01,11,Morten Andersen,K,SPEC,ACT
00-0037810,AndeTr00,4247807,Troy Andersen,LB,LB,ACT
00-0041491,AndeAa00,4691138,Aaron Anderson,WR,WR,ACT
00-0034587,AndeAb00,3119119,Abdullah Anderson,DT,DL,DEV
00-0000284,AndeAl00,,Alfred Anderson,RB,RB,ACT
00-0027906,AndeAn23,13930,Andre' Anderson,RB,RB,DEV
AND050645,AndeAn20,,Anthony Anderson,RB,RB,ACT
AND060774,AndeAn21,,Anthony Anderson,DB,DB,ACT
00-0000287,AndeAn22,8136,Antonio Anderson,DE,DL,ACT
AND070903,AndeAr20,,Aric Anderson,LB,LB,ACT
