series,n,mean,median,sd,p10,p25,p50,p75,p90,p95,min,max
projectedBF,944,21.8979,22.3615,2.794,19.263,21.166,22.362,23.457,24.319,24.9,4.55,26.922
actualBF,944,22.3644,23,4.0165,18,21,23,25,27,27.85,1,34
