series,n,mean,median,sd,p10,p25,p50,p75,p90,p95,min,max
projectedIP,944,5.221,5.335,0.8058,4.369,4.846,5.335,5.712,6.078,6.26,0.969,7.045
actualIP,944,5.3171,5.3333,1.2697,3.767,4.667,5.333,6,7,7,0.333,9
