bucket,n,projBfMean,projBfSd,actualBfMean,actualBfSd,bfSdRatio,bfSignedError,bfMae,projIpMean,projIpSd,actualIpMean,actualIpSd,ipSdRatio,ipSignedError,ipMae
<=3.5,251,20.488,4.0206,21.1036,4.9036,0.8199,-0.6155,3.0057,4.8216,1.0503,4.9774,1.3869,0.7573,-0.1559,0.9336
4.5,336,21.9897,2.1776,22.7173,3.6854,0.5909,-0.7275,2.8777,5.2105,0.6685,5.3006,1.1532,0.5796,-0.0901,0.9148
5.5,213,22.5395,1.6905,22.7887,3.4171,0.4947,-0.2492,2.6917,5.4149,0.577,5.4914,1.2973,0.4448,-0.0765,1.0256
6.5,92,23.1679,1.3619,22.9891,2.9742,0.4579,0.1788,2.2885,5.6029,0.5342,5.6051,1.0163,0.5257,-0.0022,0.758
7.5,41,23.3188,1.6492,23.122,4.2379,0.3892,0.1968,3.0329,5.7402,0.575,5.6992,1.3921,0.413,0.041,1.0253
8.5+,11,22.9185,1.2637,24.0909,2.8445,0.4443,-1.1725,2.4055,5.7754,0.3334,6.3636,0.6575,0.507,-0.5883,0.6932
