team,season,week,game_id,pregame_prior8,pregame_percentile,pregame_prior4,pregame_prior16,pregame_season_to_date,pregame_ewma,prior4_at_game,next4_from_game,prior8_at_game,next8_from_game
ari,2022,1,2022_01_KC_ARI,,,,,,,,0.136363636364,,0.138138138138
ari,2022,2,2022_02_ARI_LV,,,,,,,,0.139072847682,,0.145454545455
ari,2022,3,2022_03_LA_ARI,,,,,,,,0.141891891892,,0.162079510703
ari,2022,4,2022_04_ARI_CAR,,,,,,,,0.109195402299,,0.157575757576
ari,2022,5,2022_05_PHI_ARI,0.136363636364,0.515625,0.136363636364,,0.136363636364,0.132139204017,0.136363636364,0.139664804469,,0.179710144928
ari,2022,6,2022_06_ARI_SEA,0.138461538462,0.546875,0.139072847682,,0.138461538462,0.13626749266,0.139072847682,0.150837988827,,0.166180758017
ari,2022,7,2022_07_NO_ARI,0.14406779661,0.609375,0.141891891892,,0.14406779661,0.145120641495,0.141891891892,0.178770949721,,0.176119402985
ari,2022,8,2022_08_ARI_MIN,0.128027681661,0.421875,0.109195402299,,0.128027681661,0.120061615398,0.109195402299,0.211538461538,,0.18018018018
ari,2022,9,2022_09_SEA_ARI,0.138138138138,0.484375,0.139664804469,0.138138138138,0.138138138138,0.138516351974,0.139664804469,0.222891566265,0.138138138138,0.169278996865
ari,2022,10,2022_10_ARI_LA,0.145454545455,0.609375,0.150837988827,0.144385026738,0.144385026738,0.149547983125,0.150837988827,0.182926829268,0.145454545455,0.171052631579
ari,2022,11,2022_11_SF_ARI,0.162079510703,0.796875,0.178770949721,0.159036144578,0.159036144578,0.17647929659,0.178770949721,0.173076923077,0.162079510703,
ari,2022,12,2022_12_LAC_ARI,0.157575757576,0.734375,0.211538461538,0.157303370787,0.157303370787,0.170409170333,0.211538461538,0.152542372881,0.157575757576,
ari,2022,14,2022_14_NE_ARI,0.179710144928,0.921875,0.222891566265,0.166332665331,0.166332665331,0.186687484347,0.222891566265,0.111111111111,0.179710144928,
ari,2022,15,2022_15_ARI_DEN,0.166180758017,0.859375,0.182926829268,0.156133828996,0.156133828996,0.159982231433,0.182926829268,0.157142857143,0.166180758017,
ari,2022,16,2022_16_TB_ARI,0.176119402985,0.890625,0.173076923077,0.162872154116,0.162872154116,0.176104681097,0.173076923077,,0.176119402985,
ari,2022,17,2022_17_ARI_ATL,0.18018018018,0.890625,0.152542372881,0.155948553055,0.155948553055,0.15577717632,0.152542372881,,0.18018018018,
ari,2022,18,2022_18_ARI_SF,0.169278996865,0.703125,0.111111111111,0.153374233129,0.153374233129,0.148688813462,0.111111111111,,0.169278996865,
ari,2023,1,2023_01_ARI_WAS,0.171052631579,0.796875,0.157142857143,0.157728706625,,0.158465243207,,0.0969696969697,,0.102893890675
ari,2023,2,2023_02_NYG_ARI,0.149350649351,0.578125,0.125,0.155905511811,,0.153513178467,,0.0809248554913,,0.102990033223
ari,2023,3,2023_03_DAL_ARI,0.145061728395,0.359375,0.136054421769,0.151376146789,,0.144575546886,,0.0779220779221,,0.108391608392
ari,2023,4,2023_04_ARI_SF,0.11875,0.171875,0.125748502994,0.15037593985,,0.132148913518,,0.0827067669173,,0.115107913669
ari,2023,5,2023_05_CIN_ARI,0.124590163934,0.171875,0.0969696969697,0.146604938272,0.0969696969697,0.122497401315,0.0969696969697,0.109589041096,,0.118055555556
ari,2023,6,2023_06_ARI_LA,0.101538461538,0.015625,0.0809248554913,0.139393939394,0.0917431192661,0.111723539215,0.0809248554913,0.1328125,,0.131578947368
ari,2023,7,2023_07_ARI_SEA,0.106312292359,0.109375,0.0779220779221,0.145110410095,0.0938775510204,0.112452262202,0.0779220779221,0.143939393939,,0.123595505618
ari,2023,8,2023_08_BAL_ARI,0.106666666667,0.109375,0.0827067669173,0.138933764136,0.0948905109489,0.110091228748,0.0827067669173,0.144827586207,,0.113138686131
ari,2023,9,2023_09_ARI_CLE,0.102893890675,0.109375,0.109589041096,0.136585365854,0.102893890675,0.11794263044,0.109589041096,0.12676056338,0.102893890675,0.103053435115
ari,2023,10,2023_10_ATL_ARI,0.102990033223,0.046875,0.1328125,0.126436781609,0.106936416185,0.119911742479,0.1328125,0.130434782609,0.102990033223,0.0852713178295
ari,2023,11,2023_11_ARI_HOU,0.108391608392,0.109375,0.143939393939,0.127868852459,0.111405835544,0.125891853202,0.143939393939,0.103703703704,0.108391608392,
ari,2023,12,2023_12_LA_ARI,0.115107913669,0.109375,0.144827586207,0.117056856187,0.112171837709,0.12275866765,0.144827586207,0.077519379845,0.115107913669,
ari,2023,13,2023_13_ARI_PIT,0.118055555556,0.203125,0.12676056338,0.121416526138,0.110375275938,0.118353922937,0.12676056338,0.075,0.118055555556,
ari,2023,15,2023_15_SF_ARI,0.131578947368,0.234375,0.130434782609,0.115059221658,0.113636363636,0.123226316762,0.130434782609,0.0333333333333,0.131578947368,
ari,2023,16,2023_16_ARI_CHI,0.123595505618,0.265625,0.103703703704,0.114436619718,0.109375,0.111664077383,0.103703703704,,0.123595505618,
ari,2023,17,2023_17_ARI_PHI,0.113138686131,0.140625,0.077519379845,0.109756097561,0.10401459854,0.0968185113934,0.077519379845,,0.113138686131,
ari,2023,18,2023_18_SEA_ARI,0.103053435115,0.078125,0.075,0.102966841187,0.102966841187,0.0935154204302,0.075,,0.103053435115,
ari,2024,1,2024_01_ARI_BUF,0.0852713178295,0.015625,0.0333333333333,0.0948121645796,,0.0777216358358,,0.1171875,,0.109589041096
ari,2024,2,2024_02_LA_ARI,0.0772200772201,0.015625,0.0483870967742,0.0935779816514,,0.079959110984,,0.124087591241,,0.130573248408
ari,2024,3,2024_03_DET_ARI,0.0963855421687,0.109375,0.116666666667,0.106261859583,,0.11418963284,,0.0704225352113,,0.114551083591
ari,2024,4,2024_04_WAS_ARI,0.0954356846473,0.078125,0.115702479339,0.10775047259,,0.109482489281,,0.0931677018634,,0.122023809524
ari,2024,5,2024_05_ARI_SF,0.0766129032258,0.015625,0.1171875,0.105058365759,0.1171875,0.0933012581554,0.1171875,0.103658536585,,0.141592920354
ari,2024,6,2024_06_ARI_GB,0.088122605364,0.015625,0.124087591241,0.106060606061,0.118343195266,0.0990910388058,0.124087591241,0.135593220339,,0.136778115502
ari,2024,7,2024_07_LAC_ARI,0.0916030534351,0.078125,0.0704225352113,0.102611940299,0.106796116505,0.0907789797723,0.0704225352113,0.149171270718,,0.140186915888
ari,2024,8,2024_08_ARI_MIA,0.102836879433,0.109375,0.0931677018634,0.102941176471,0.115537848606,0.10374603769,0.0931677018634,0.148571428571,,0.131832797428
ari,2024,9,2024_09_CHI_ARI,0.109589041096,0.140625,0.103658536585,0.0981818181818,0.109589041096,0.0975787948883,0.103658536585,0.177142857143,0.109589041096,0.130718954248
ari,2024,10,2024_10_NYJ_ARI,0.130573248408,0.234375,0.135593220339,0.106457242583,0.127167630058,0.125736546581,0.135593220339,0.138157894737,0.130573248408,0.106666666667
