season,week,game_id,kickoff_utc,team,opponent,venue,team_spread,closing_total,implied_team_total,team_total_margin,team_points,team_sack_rate,team_sacks,pass_plays,team_pass_epa_db,team_pass_epa,team_pass_success_rate,team_explosive_pass_rate,actual_hits_allowed,historical_pass_rush_edge_z,offense_prior_games,defense_prior_games,protection_z,pass_rush_z,protection_percentile,pass_rush_percentile,protection_quintile,rush_quintile,protection_quintile_label,rush_quintile_label,risk_group,component_interaction,additive_matchup_z,protection_raw_prior4,protection_raw_prior8,protection_raw_prior16,protection_raw_season_to_date,protection_raw_ewma,pass_rush_raw_prior4,pass_rush_raw_prior8,pass_rush_raw_prior16,pass_rush_raw_season_to_date,pass_rush_raw_ewma
2022,1,2022_01_BUF_LA,2022-09-09T00:20:00.000Z,buf,lar,away,-1,51.5,26.25,4.75,31,0.0526315789474,2,38,0.529634153659,20.126097839,0.631578947368,0.129032258065,2,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_BUF_LA,2022-09-09T00:20:00.000Z,lar,buf,home,1,51.5,25.25,-15.25,10,0.14,7,50,-0.30832862653,-15.4164313265,0.44,0.0731707317073,16,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_BAL_NYJ,2022-09-11T17:00:00.000Z,bal,nyj,away,-6.5,44,25.25,-1.25,24,0.0571428571429,2,35,0.223615981854,7.82655936491,0.428571428571,0.0666666666667,4,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_BAL_NYJ,2022-09-11T17:00:00.000Z,nyj,bal,home,6.5,44,18.75,-9.75,9,0.0454545454545,3,66,-0.120960027652,-7.98336182505,0.424242424242,0.0169491525424,10,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_CLE_CAR,2022-09-11T17:00:00.000Z,car,cle,home,-2.5,42.5,22.5,1.5,24,0.114285714286,4,35,0.0836428745525,2.92750060934,0.371428571429,0.148148148148,6,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_CLE_CAR,2022-09-11T17:00:00.000Z,cle,car,away,2.5,42.5,20,6,26,0.0243902439024,1,41,-0.0496908837553,-2.03732623397,0.390243902439,0.0294117647059,5,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_IND_HOU,2022-09-11T17:00:00.000Z,hou,ind,home,7,46,19.5,0.5,20,0.0697674418605,3,43,-0.0317361642235,-1.36465506161,0.488372093023,0.0540540540541,5,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_IND_HOU,2022-09-11T17:00:00.000Z,ind,hou,away,-7,46,26.5,-6.5,20,0.0357142857143,2,56,0.100358196099,5.62005898154,0.482142857143,0.1,7,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_JAX_WAS,2022-09-11T17:00:00.000Z,jax,wsh,away,3,43.5,20.25,1.75,22,0.0408163265306,2,49,0.0776330210715,3.8040180325,0.510204081633,0.0714285714286,10,,0,0,,,,,,,,,other,,,,,,,,,,,,
2022,1,2022_01_JAX_WAS,2022-09-11T17:00:00.000Z,wsh,jax,home,-3,43.5,23.25,4.75,28,0.02,1,50,0.239411442344,11.9705721172,0.48,0.146341463415,4,,0,0,,,,,,,,,other,,,,,,,,,,,,
