window,protection_quintile,protection_label,rush_quintile,rush_label,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2025,1,elite protection,4,good,,matrix,17,17,True,0.0474369391333,0.0357142857143,1.82352941176,1,0.110082470214,0.114852486705,0.461710836798,0.4375,0.0934024694367,0.0714285714286,24.2941176471,27,0.602941176471,3
2025,1,elite protection,5,elite rush,,matrix,13,13,True,0.0464670881371,0.0384615384615,2.07692307692,2,0.174718147312,0.144047867711,0.478583849299,0.47619047619,0.096310175151,0.0714285714286,27.0769230769,30,5.17307692308,7.5
2025,2,good,1,very poor rush,,matrix,33,33,False,0.0424322118655,0.030303030303,1.57575757576,1,0.200841424641,0.158917319442,0.504985715197,0.487804878049,0.105246986479,0.0952380952381,26.4545454545,26,2.33333333333,1
2025,2,good,2,poor,,matrix,22,22,True,0.0500736583012,0.0526680526681,1.72727272727,2,0.166066900349,0.130536336705,0.498680617174,0.488341282459,0.0991736212423,0.0983870967742,27.6363636364,27,4.15909090909,6.125
2025,2,good,3,average,,matrix,27,27,False,0.0681877814111,0.0681818181818,2.48148148148,2,0.0737412327029,0.161150150329,0.470366522218,0.46511627907,0.0841000706233,0.0833333333333,23.4814814815,24,2.55555555556,2.5
2025,2,good,4,good,,matrix,23,23,True,0.0564465312395,0.0588235294118,2.52173913043,2,0.0558526430314,0.013616536633,0.465399320368,0.450980392157,0.097216890625,0.0857142857143,21.652173913,21,-1.0652173913,0.5
2025,2,good,5,elite rush,,matrix,22,22,True,0.051891373538,0.0408333333333,2.09090909091,1.5,0.096256631199,0.122159859498,0.468621488802,0.462476547842,0.101667055724,0.0941176470588,20.7727272727,19,-1.51136363636,-4.625
2025,3,average,1,very poor rush,,matrix,13,13,True,0.0505218560966,0.0285714285714,1.61538461538,1,0.346884897036,0.271676152176,0.543964571739,0.525,0.130238982363,0.129032258065,28.4615384615,27,2.98076923077,4
2025,3,average,2,poor,,matrix,19,19,True,0.0631928530421,0.0555555555556,2.36842105263,2,0.127056517194,0.138147180718,0.487249941998,0.472222222222,0.0946065949814,0.0869565217391,23.5789473684,23,0.171052631579,-1.5
2025,3,average,3,average,,matrix,17,17,True,0.074588159652,0.0740740740741,3.05882352941,3,0.10540149299,0.0453408871121,0.488514443805,0.478260869565,0.0961785287957,0.102564102564,23,24,0.5,3
2025,3,average,4,good,,matrix,19,19,True,0.05611121387,0.0606060606061,2.10526315789,2,0.147938996269,0.152178304819,0.470391576314,0.483870967742,0.115151370522,0.0952380952381,27.4210526316,30,4.18421052632,3.5
2025,3,average,5,elite rush,,matrix,26,26,False,0.0575458730237,0.0670914542729,2.42307692308,2,0.0587082706615,-0.0004505480046,0.466504810373,0.445930232558,0.0815176535245,0.0791925465838,24.7307692308,23.5,0.75,-0.75
2025,4,poor,1,very poor rush,,matrix,20,20,True,0.0516406988586,0.048717948718,2.3,2,0.0651805424045,0.12259157729,0.4603615391,0.446761133604,0.0752812265375,0.0678160919541,23.15,23.5,0.45,0.5
2025,4,poor,2,poor,,matrix,34,33,False,0.0619064917003,0.059714795009,2.35294117647,2,0.0504606675748,0.124028464005,0.454092686785,0.451388888889,0.0893071015322,0.0707196029777,21.4117647059,20.5,-0.676470588235,-1
2025,4,poor,3,average,,matrix,19,19,True,0.0603503021325,0.0576923076923,2.21052631579,2,0.100026454835,0.125147383829,0.498321017974,0.5,0.0998168869792,0.1,22.0526315789,20,0.407894736842,-1.5
2025,4,poor,4,good,,matrix,21,21,True,0.0669407310107,0.0606060606061,2.61904761905,2,-0.0901692344336,-0.144899872885,0.410882434896,0.414634146341,0.0799292576773,0.0714285714286,17.4285714286,16,-2.11904761905,-5
2025,4,poor,5,elite rush,,matrix,22,21,True,0.0881062145776,0.0653409090909,3.13636363636,3,-0.0385857554483,0.0187888198711,0.42887053807,0.434139784946,0.071646028599,0.0770370370371,20.0909090909,19,-0.284090909091,0.125
2025,5,very poor,1,very poor rush,,matrix,16,16,True,0.0697251180822,0.0703030303031,2.8125,3,0.0110503220404,0.0314483637237,0.446090325441,0.463870967742,0.0907192648035,0.082905982906,21.625,22,0.546875,0.75
2025,5,very poor,2,poor,,matrix,19,19,True,0.0976010305221,0.0731707317073,3.42105263158,3,-0.252801462106,-0.257591048158,0.402703098916,0.393939393939,0.0628427845315,0.0606060606061,15.5789473684,13,-4.56578947368,-4
2025,5,very poor,3,average,,matrix,18,17,True,0.0981550477719,0.107919254658,3.5,3.5,0.0407780205451,0.0230649428411,0.460918618887,0.442726480837,0.101216922311,0.0889328063241,21.4444444444,18.5,0.319444444444,-1.125
2025,5,very poor,4,good,,matrix,28,27,False,0.0764377213097,0.0664488017429,2.67857142857,2,0.0757478286798,0.0799600942856,0.456755055018,0.44950166113,0.0888929112938,0.0784615384616,24.1785714286,24,2.76785714286,4
2025,5,very poor,5,elite rush,,matrix,22,22,True,0.0724551960114,0.0750469043152,3.04545454545,3,-0.0565913336917,-0.0596540542533,0.415846445442,0.425396825397,0.07957364995,0.0759615384616,19.1818181818,17.5,-0.443181818182,0.875
