window,protection_quintile,protection_label,rush_quintile,rush_label,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2022-2025 full,4,poor,3,average,,matrix,101,100,False,0.0644483747229,0.0606060606061,2.59405940594,2,0.0102199583788,-0.00137894457132,0.45524944177,0.454545454545,0.0814423562889,0.0769230769231,20.8514851485,20,-0.435643564356,-1
2022-2025 full,4,poor,4,good,,matrix,95,94,False,0.0742320576497,0.0689655172414,2.97894736842,3,-0.00367921661261,-0.0174525062025,0.442849515367,0.448275862069,0.0853327073056,0.0769230769231,20.3894736842,20,-0.331578947368,-1.25
2022-2025 full,4,poor,5,elite rush,,matrix,71,69,False,0.0701774507469,0.0535714285714,2.67605633803,2,-0.033252052044,-0.0174540401998,0.420073637596,0.418604651163,0.0797713308682,0.0740740740741,19.4366197183,20,-0.0704225352113,0.25
2022-2025 full,5,very poor,1,very poor rush,,matrix,77,76,False,0.0779947867502,0.0689655172414,3.06493506494,3,-0.00825008424927,0.0163577614603,0.440672362815,0.44,0.0789870915262,0.0697674418605,20.4155844156,20,-0.0162337662338,-0.5
2022-2025 full,5,very poor,2,poor,,matrix,82,81,False,0.0882944478351,0.0743212149102,3.34146341463,3,-0.120776509792,-0.122799778048,0.421408513492,0.42803030303,0.0806810928504,0.0810810810811,18.1829268293,17,-2.32317073171,-3.25
2022-2025 full,5,very poor,3,average,,matrix,65,64,False,0.0826002357998,0.0857142857143,3.10769230769,3,0.0391454227405,0.0257996216299,0.463300981432,0.475,0.0922857684072,0.0869565217391,20.8923076923,17,0.865384615385,-1.5
2022-2025 full,5,very poor,4,good,,matrix,87,86,False,0.0752648243332,0.0731707317073,2.8275862069,3,0.0145125725717,0.0402291784781,0.435926519814,0.435897435897,0.0881566957543,0.0789473684211,21.0344827586,20,1.30172413793,1
2022-2025 full,5,very poor,5,elite rush,,matrix,80,79,False,0.0792439892599,0.0769230769231,3.2,3,-0.0594031569106,-0.0715745626337,0.436938230701,0.427248677249,0.0822478576506,0.0769230769231,19.9875,20,-0.121875,-0.25
2022,1,elite protection,1,very poor rush,,matrix,14,14,True,0.0519523253945,0.0488095238095,1.64285714286,2,0.0760936998822,0.0660098083279,0.480759830586,0.453463203463,0.0902262651342,0.083548664944,22.9285714286,23.5,0.571428571429,-1
2022,1,elite protection,2,poor,,matrix,19,19,True,0.0478206313439,0.0487804878049,1.94736842105,2,0.0757753241211,0.160517846727,0.474350381628,0.480769230769,0.0797948413137,0.075,22.7894736842,25,-1.19736842105,3
