window,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2022-2023 exploratory,all,all,958,479,False,0.0641759575176,0.0588235294118,2.51461377871,2,0.0321307867187,0.0354195572917,0.455951756026,0.457142857143,0.0901095111306,0.0833333333333,21.8110647182,21,0.157620041754,-0.5
2022-2023 exploratory,elite protection,protection,178,164,False,0.0550935220356,0.0512820512821,2.16853932584,2,0.0607948450097,0.0575597965235,0.462506347489,0.467375886525,0.0862909121272,0.0794736842106,23.1011235955,23,-0.286516853933,-1.125
2022-2023 exploratory,good,protection,208,190,False,0.0555924026934,0.0510647544546,2.19230769231,2,0.0775728218984,0.0781719128568,0.473222632652,0.471143174251,0.0973395996386,0.0919661733615,22.8269230769,22,0.323317307692,-0.125
2022-2023 exploratory,average,protection,177,164,False,0.0580815021509,0.0526315789474,2.23163841808,2,0.0803750340053,0.0930055322506,0.470327343551,0.464285714286,0.0967862271462,0.0909090909091,23.4802259887,22,1.48305084746,0
2022-2023 exploratory,poor,protection,215,193,False,0.0678702315501,0.0652173913043,2.69302325581,3,0.00232430172761,0.00150913840939,0.442190174901,0.444444444444,0.0863682792636,0.0769230769231,20.5953488372,20,-0.256976744186,-0.5
2022-2023 exploratory,very poor,protection,180,163,False,0.0846565275297,0.0833333333333,3.29444444444,3,-0.0605635643361,-0.0472778703854,0.431813985647,0.431818181818,0.0834341685172,0.0769230769231,19.1722222222,17.5,-0.402777777778,-2.375
2022-2023 exploratory,very poor rush,pass_rush,182,165,False,0.0589901871376,0.0571428571429,2.22527472527,2,0.0709345075743,0.0724217686472,0.472808261008,0.470588235294,0.0886787089593,0.0833333333333,23.2802197802,24,0.784340659341,0.25
2022-2023 exploratory,poor,pass_rush,209,188,False,0.0611158491359,0.0526315789474,2.35406698565,2,0.0473567994088,0.0352937092084,0.463337923767,0.46511627907,0.0950792356864,0.0909090909091,21.990430622,22,-0.215311004785,-0.5
2022-2023 exploratory,average,pass_rush,186,170,False,0.0648790829105,0.063164893617,2.58602150538,2,0.0388562461115,0.0417788828931,0.453422902612,0.459166666667,0.0905136981261,0.0833333333333,21.4086021505,20,-0.165322580645,-1
2022-2023 exploratory,good,pass_rush,204,191,False,0.0662290456824,0.060915275201,2.6862745098,3,0.0064375595838,0.0235959867967,0.450650041522,0.45,0.0890895478373,0.0769230769231,21.5637254902,20,0.452205882353,-0.625
2022-2023 exploratory,elite rush,pass_rush,177,162,False,0.0700164182648,0.0645161290323,2.72881355932,3,-0.00320272152719,0.00781108027066,0.438665448283,0.432432432432,0.0864633376487,0.0769230769231,20.7966101695,20,-0.0466101694915,-1.25
2024-2025 heldout,all,all,1088,544,False,0.0616853106284,0.0555555555556,2.390625,2,0.0777084434615,0.0839954773298,0.465665587835,0.466666666667,0.0916956482175,0.0833333333333,22.9623161765,23,0.656709558824,0.5
2024-2025 heldout,elite protection,protection,205,194,False,0.0501766633542,0.0434782608696,1.90731707317,2,0.140159663683,0.133857538725,0.478764497039,0.473684210526,0.0958721260451,0.0833333333333,24.9170731707,24,1.31463414634,1
2024-2025 heldout,good,protection,246,221,False,0.0557863227833,0.048199767712,2.14634146341,2,0.11084889401,0.128879883062,0.474790498595,0.479166666667,0.0961203330274,0.0888888888889,23.9268292683,24,1.15548780488,1.875
2024-2025 heldout,average,protection,203,188,False,0.0611269100501,0.0588235294118,2.44334975369,2,0.10893800705,0.0931457754639,0.473546485058,0.477272727273,0.0958791306626,0.0869565217391,23.8177339901,24,0.858374384236,0.5
2024-2025 heldout,poor,protection,223,199,False,0.0647132793702,0.0606060606061,2.533632287,2,0.0314507042331,0.0533762531838,0.456560791259,0.454545454545,0.0855348545059,0.0789473684211,21.3228699552,21,-0.242152466368,-0.25
2024-2025 heldout,very poor,protection,211,187,False,0.0770812442258,0.0681818181818,2.94312796209,3,-0.00276158753853,0.00620168691114,0.444341147392,0.444444444444,0.0849655991341,0.08,20.8483412322,20,0.191943127962,-0.75
2024-2025 heldout,very poor rush,pass_rush,202,184,False,0.0561410734925,0.047619047619,2.19306930693,2,0.129852179234,0.119263397836,0.479714636694,0.475595238095,0.0923829461161,0.0833333333333,24.1584158416,23.5,0.789603960396,0.5
2024-2025 heldout,poor,pass_rush,238,217,False,0.0620642713506,0.0563492063493,2.34453781513,2,0.0493055150642,0.0788668727795,0.461224649224,0.461538461538,0.0910226637322,0.0845238095238,22.5378151261,22.5,-0.0210084033613,0
2024-2025 heldout,average,pass_rush,213,194,False,0.0648962820848,0.0588235294118,2.53051643192,2,0.103302760972,0.0898444010238,0.479468869298,0.485714285714,0.0917652227479,0.0869565217391,23.5211267606,23,1.36384976526,1.5
2024-2025 heldout,good,pass_rush,225,209,False,0.0636714208785,0.0588235294118,2.47555555556,2,0.0537595345156,0.0756123463538,0.452633746787,0.448275862069,0.0914565582151,0.0833333333333,22.0311111111,22,0.202222222222,0
2024-2025 heldout,elite rush,pass_rush,210,196,False,0.0612040321666,0.050641025641,2.4,2,0.0594407159172,0.0467558832588,0.457147020235,0.457384987894,0.0919828482533,0.0833333333333,22.7238095238,23,1.06666666667,0.5
2022-2025 full,all,all,2046,1023,False,0.0628515079499,0.0571428571429,2.44868035191,2,0.0563675856122,0.0596977616555,0.461117273626,0.461538461538,0.0909529701485,0.0833333333333,22.4232649071,22,0.423020527859,0
2022-2025 full,elite protection,protection,383,358,False,0.0524617830547,0.047619047619,2.02872062663,2,0.10327470879,0.106682207436,0.471208490199,0.46875,0.0914192381146,0.0833333333333,24.0731070496,24,0.570496083551,0
2022-2025 full,good,protection,454,411,False,0.0556974783368,0.0487804878049,2.16740088106,2,0.0956034689019,0.107774589639,0.474072181158,0.475595238095,0.0966789397568,0.0909090909091,23.422907489,23,0.77422907489,1
2022-2025 full,average,protection,380,352,False,0.0597083911075,0.0555555555556,2.34473684211,2,0.0956336748689,0.0930756538573,0.472047042829,0.472222222222,0.0963016466563,0.0895721925133,23.6605263158,23,1.14934210526,0.25
2022-2025 full,poor,protection,438,392,False,0.0662629248466,0.061553030303,2.61187214612,2,0.0171534975238,0.0204357543593,0.449506721586,0.448627726953,0.0859439556997,0.0769230769231,20.9657534247,20,-0.249429223744,-0.5
2022-2025 full,very poor,protection,391,350,False,0.0805685869233,0.0740740740741,3.10485933504,3,-0.0293711932254,-0.0186438978536,0.43857416756,0.4375,0.084260592712,0.0769230769231,20.0767263427,19,-0.0818414322251,-1.5
2022-2025 full,very poor rush,pass_rush,384,349,False,0.0574914346472,0.050641025641,2.20833333333,2,0.10192765777,0.101830643386,0.476441302385,0.472953216374,0.090627292047,0.0833333333333,23.7421875,24,0.787109375,0.5
2022-2025 full,poor,pass_rush,447,405,False,0.0616208256171,0.0540540540541,2.34899328859,2,0.0483943706079,0.0610411617027,0.462212735084,0.464285714286,0.0929193606862,0.0869565217391,22.2818791946,22,-0.111856823266,-0.25
2022-2025 full,average,pass_rush,399,364,False,0.0648882644246,0.0606060606061,2.55639097744,2,0.0732600247212,0.0677768291978,0.467327140467,0.470588235294,0.0911818052551,0.0869565217391,22.5363408521,21,0.651002506266,-0.25
2022-2025 full,good,pass_rush,429,400,False,0.064887634072,0.0606060606061,2.57575757576,2,0.0312567772054,0.0493634380152,0.451690446381,0.45,0.0903309868466,0.08,21.8088578089,21,0.321095571096,-0.5
2022-2025 full,elite rush,pass_rush,387,358,False,0.0652345033278,0.0555555555556,2.5503875969,2,0.0307898414272,0.0278887300148,0.448694208257,0.446808510638,0.0894584209225,0.08,21.842377261,20,0.557493540052,0
2022,all,all,414,207,False,0.0632775250181,0.0582579185521,2.41304347826,2,0.0344565937141,0.0325002452693,0.458104050859,0.452380952381,0.0874076220921,0.0794736842106,21.8671497585,21,-0.0217391304348,-1
2022,elite protection,protection,77,72,False,0.0549455286754,0.0512820512821,2.15584415584,2,0.0532338306822,0.0818756640403,0.462792583301,0.454545454545,0.0846991799536,0.0769230769231,22.2077922078,22,-0.766233766234,-1.75
2022,good,protection,91,79,False,0.0561890540911,0.046511627907,2.17582417582,2,0.0731708296364,0.0854738226942,0.469619285161,0.466666666667,0.0933123453718,0.0833333333333,22.5384615385,22,-0.653846153846,-1
