team,season,week,game_id,pregame_prior8,pregame_percentile,pregame_prior4,pregame_prior16,pregame_season_to_date,pregame_ewma,prior4_at_game,next4_from_game,prior8_at_game,next8_from_game
ari,2022,1,2022_01_KC_ARI,,,,,,,,0.0833333333333,,0.0880829015544
ari,2022,2,2022_02_ARI_LV,,,,,,,,0.0643564356436,,0.0852713178295
ari,2022,3,2022_03_LA_ARI,,,,,,,,0.0785340314136,,0.0943396226415
ari,2022,4,2022_04_ARI_CAR,,,,,,,,0.0736196319018,,0.109243697479
ari,2022,5,2022_05_PHI_ARI,0.0833333333333,0.015625,0.0833333333333,,0.0833333333333,0.0773329731176,0.0833333333333,0.0934065934066,,0.111111111111
ari,2022,6,2022_06_ARI_SEA,0.0772357723577,0.015625,0.0643564356436,,0.0772357723577,0.0702352819122,0.0643564356436,0.108108108108,,0.125340599455
ari,2022,7,2022_07_NO_ARI,0.0887372013652,0.046875,0.0785340314136,,0.0887372013652,0.0892183725105,0.0785340314136,0.111111111111,,0.126373626374
ari,2022,8,2022_08_ARI_MIN,0.0853658536585,0.046875,0.0736196319018,,0.0853658536585,0.0835727656603,0.0736196319018,0.139175257732,,0.134920634921
ari,2022,9,2022_09_SEA_ARI,0.0880829015544,0.046875,0.0934065934066,0.0880829015544,0.0880829015544,0.0886913540976,0.0934065934066,0.130177514793,0.0880829015544,0.141304347826
ari,2022,10,2022_10_ARI_LA,0.0852713178295,0.078125,0.108108108108,0.0904872389791,0.0904872389791,0.0929958199218,0.108108108108,0.142857142857,0.0852713178295,0.152112676056
ari,2022,11,2022_11_SF_ARI,0.0943396226415,0.078125,0.111111111111,0.0972515856237,0.0972515856237,0.105937237166,0.111111111111,0.141304347826,0.0943396226415,
ari,2022,12,2022_12_LAC_ARI,0.109243697479,0.203125,0.139175257732,0.105363984674,0.105363984674,0.121170448711,0.139175257732,0.130434782609,0.109243697479,
ari,2022,14,2022_14_NE_ARI,0.111111111111,0.265625,0.130177514793,0.100900900901,0.100900900901,0.108843959992,0.130177514793,0.150753768844,0.111111111111,
ari,2022,15,2022_15_ARI_DEN,0.125340599455,0.421875,0.142857142857,0.10603588907,0.10603588907,0.119077919732,0.142857142857,0.161849710983,0.125340599455,
ari,2022,16,2022_16_TB_ARI,0.126373626374,0.390625,0.141304347826,0.109589041096,0.109589041096,0.125726916172,0.141304347826,,0.126373626374,
ari,2022,17,2022_17_ARI_ATL,0.134920634921,0.484375,0.130434782609,0.111898016997,0.111898016997,0.128816750818,0.130434782609,,0.134920634921,
