window,contrast,outcome,n_a,n_b,difference,ci_low,ci_high
2024-2025 heldout,elite rush: very poor vs average protection,team_sack_rate,49,42,0.0125206199696,-0.00428895329208,0.0306654911855
2024-2025 heldout,elite rush: very poor vs average protection,team_pass_epa_db,49,42,-0.108123144158,-0.223899834723,0.00078631332911
2024-2025 heldout,elite rush: very poor vs average protection,team_pass_success_rate,49,42,-0.0205869422198,-0.0573901631954,0.013626188021
2024-2025 heldout,elite rush: very poor vs average protection,team_total_margin,49,42,-1.65816326531,-5.26349119778,1.6755554402
2022-2025 full,very poor protection: elite vs very poor rush,team_sack_rate,80,77,0.00124920250968,-0.0153301354484,0.0175559133613
2022-2025 full,very poor protection: elite vs very poor rush,team_pass_epa_db,80,77,-0.0511530726613,-0.133860959288,0.0366063430897
2022-2025 full,very poor protection: elite vs very poor rush,team_pass_success_rate,80,77,-0.00373413211396,-0.0322281844401,0.0250709155306
2022-2025 full,very poor protection: elite vs very poor rush,team_total_margin,80,77,-0.105641233766,-2.83338378443,2.7872181992
2022-2025 full,very poor protection: average vs very poor rush,team_sack_rate,65,77,0.00460544904963,-0.0121025403874,0.0212345280668
2022-2025 full,very poor protection: average vs very poor rush,team_pass_epa_db,65,77,0.0473955069898,-0.0471330547348,0.133722005563
2022-2025 full,very poor protection: average vs very poor rush,team_pass_success_rate,65,77,0.0226286186174,-0.0104324219872,0.054159302873
2022-2025 full,very poor protection: average vs very poor rush,team_total_margin,65,77,0.881618381618,-2.15313778701,3.85488731913
2022-2025 full,very poor protection: elite vs average rush,team_sack_rate,80,65,-0.00335624653995,-0.01849515106,0.0126007446682
2022-2025 full,very poor protection: elite vs average rush,team_pass_epa_db,80,65,-0.0985485796512,-0.190702549456,-0.00630690519973
2022-2025 full,very poor protection: elite vs average rush,team_pass_success_rate,80,65,-0.0263627507313,-0.0591516047453,0.00731773811339
2022-2025 full,very poor protection: elite vs average rush,team_total_margin,80,65,-0.987259615385,-3.9842176613,1.868066829
2022-2025 full,elite rush: very poor vs elite protection,team_sack_rate,80,73,0.0234662110516,0.00914159152177,0.0379640927415
2022-2025 full,elite rush: very poor vs elite protection,team_pass_epa_db,80,73,-0.178882452784,-0.261177486487,-0.0937758582067
2022-2025 full,elite rush: very poor vs elite protection,team_pass_success_rate,80,73,-0.0296743895354,-0.0556389426483,-0.0028555142508
2022-2025 full,elite rush: very poor vs elite protection,team_total_margin,80,73,-1.40269691781,-4.55080940089,1.56159959455
2022-2025 full,elite rush: average vs elite protection,team_sack_rate,73,73,0.00744626031438,-0.00805312978816,0.0207842440215
2022-2025 full,elite rush: average vs elite protection,team_pass_epa_db,73,73,-0.0682134154175,-0.154613923524,0.0161768378016
2022-2025 full,elite rush: average vs elite protection,team_pass_success_rate,73,73,-0.00549746365092,-0.0294095778254,0.0177750208895
2022-2025 full,elite rush: average vs elite protection,team_total_margin,73,73,0.126712328767,-2.86223448653,3.18971569549
2022-2025 full,elite rush: very poor vs average protection,team_sack_rate,80,73,0.0160199507373,0.00134269341459,0.0317244230913
2022-2025 full,elite rush: very poor vs average protection,team_pass_epa_db,80,73,-0.110669037366,-0.200463010867,-0.0250078142235
2022-2025 full,elite rush: very poor vs average protection,team_pass_success_rate,80,73,-0.0241769258844,-0.0517119556661,0.00197091554739
2022-2025 full,elite rush: very poor vs average protection,team_total_margin,80,73,-1.52940924658,-4.33072724176,1.13899753226
2022,very poor protection: elite vs very poor rush,team_sack_rate,14,20,0.0273357482154,-0.000780649462312,0.0573166551716
2022,very poor protection: elite vs very poor rush,team_pass_epa_db,14,20,-0.101674776828,-0.259569373423,0.0791110888317
2022,very poor protection: elite vs very poor rush,team_pass_success_rate,14,20,-0.0306615221098,-0.0903698566847,0.0284145541865
2022,very poor protection: elite vs very poor rush,team_total_margin,14,20,-3.20178571429,-8.84424715909,2.65239787582
2022,very poor protection: average vs very poor rush,team_sack_rate,16,20,0.021519768759,-0.00864099859099,0.0536534456162
2022,very poor protection: average vs very poor rush,team_pass_epa_db,16,20,0.00832242014144,-0.17378274307,0.208848283248
2022,very poor protection: average vs very poor rush,team_pass_success_rate,16,20,-0.00200976846664,-0.0782369883038,0.0754361363091
