window,component,variant,outcome,n,pearson,spearman
2024-2025 heldout,pass_rush,ewma,team_pass_success_rate,1088,-0.114925206352,-0.0986882189766
2022-2025 full,protection,prior4,team_sack_rate,2046,0.203507315663,0.187609860585
2022-2025 full,protection,prior4,team_pass_epa_db,2046,-0.14067061848,-0.126801595393
2022-2025 full,protection,prior4,team_pass_success_rate,2046,-0.104756195644,-0.0925774462577
2022-2025 full,protection,prior8,team_sack_rate,2046,0.221775027896,0.204215384889
2022-2025 full,protection,prior8,team_pass_epa_db,2046,-0.165811331669,-0.159978431908
2022-2025 full,protection,prior8,team_pass_success_rate,2046,-0.134014680864,-0.134520483651
2022-2025 full,protection,prior16,team_sack_rate,1918,0.208887783021,0.188992581052
2022-2025 full,protection,prior16,team_pass_epa_db,1918,-0.180340142428,-0.175205186983
2022-2025 full,protection,prior16,team_pass_success_rate,1918,-0.145415261386,-0.147607962234
2022-2025 full,protection,season_to_date,team_sack_rate,1662,0.229303599904,0.20780291932
2022-2025 full,protection,season_to_date,team_pass_epa_db,1662,-0.175731019078,-0.169046875705
2022-2025 full,protection,season_to_date,team_pass_success_rate,1662,-0.145740310665,-0.138638623878
2022-2025 full,protection,ewma,team_sack_rate,2046,0.220844037304,0.202287579102
2022-2025 full,protection,ewma,team_pass_epa_db,2046,-0.167870785959,-0.159806272407
2022-2025 full,protection,ewma,team_pass_success_rate,2046,-0.133099489537,-0.132921747406
2022-2025 full,pass_rush,prior4,team_sack_rate,2046,0.0626720570082,0.0571636661259
2022-2025 full,pass_rush,prior4,team_pass_epa_db,2046,-0.082911289511,-0.0893849523291
2022-2025 full,pass_rush,prior4,team_pass_success_rate,2046,-0.0815938299909,-0.0799717246064
2022-2025 full,pass_rush,prior8,team_sack_rate,2046,0.0830655657109,0.0706365502561
2022-2025 full,pass_rush,prior8,team_pass_epa_db,2046,-0.0978400327084,-0.0929982189156
2022-2025 full,pass_rush,prior8,team_pass_success_rate,2046,-0.111348278921,-0.102240333819
2022-2025 full,pass_rush,prior16,team_sack_rate,1918,0.0958375205804,0.0859807608736
2022-2025 full,pass_rush,prior16,team_pass_epa_db,1918,-0.101144590178,-0.0976113502505
2022-2025 full,pass_rush,prior16,team_pass_success_rate,1918,-0.113499467032,-0.0984281044804
2022-2025 full,pass_rush,season_to_date,team_sack_rate,1662,0.101060488887,0.0925569513808
2022-2025 full,pass_rush,season_to_date,team_pass_epa_db,1662,-0.106486950981,-0.103264113619
2022-2025 full,pass_rush,season_to_date,team_pass_success_rate,1662,-0.121515716062,-0.115977390067
2022-2025 full,pass_rush,ewma,team_sack_rate,2046,0.0882327201079,0.0787665042973
2022-2025 full,pass_rush,ewma,team_pass_epa_db,2046,-0.10641615606,-0.105886856935
2022-2025 full,pass_rush,ewma,team_pass_success_rate,2046,-0.111857690554,-0.104522171159
2022,protection,prior4,team_sack_rate,414,0.185066894988,0.188343517206
2022,protection,prior4,team_pass_epa_db,414,-0.122384497196,-0.118178560777
2022,protection,prior4,team_pass_success_rate,414,-0.0731899249914,-0.071574432969
2022,protection,prior8,team_sack_rate,414,0.215240144134,0.212237296844
2022,protection,prior8,team_pass_epa_db,414,-0.142958930487,-0.141093243869
2022,protection,prior8,team_pass_success_rate,414,-0.080437413205,-0.0909367775142
2022,protection,prior16,team_sack_rate,286,0.258523207453,0.235855002071
2022,protection,prior16,team_pass_epa_db,286,-0.197100400834,-0.202713514854
2022,protection,prior16,team_pass_success_rate,286,-0.101645326196,-0.108760997382
2022,protection,season_to_date,team_sack_rate,414,0.241275022312,0.230321147145
2022,protection,season_to_date,team_pass_epa_db,414,-0.145541478594,-0.148500966854
2022,protection,season_to_date,team_pass_success_rate,414,-0.0878796413189,-0.0939618406252
2022,protection,ewma,team_sack_rate,414,0.223719593076,0.217935517482
2022,protection,ewma,team_pass_epa_db,414,-0.142744397675,-0.132829285349
2022,protection,ewma,team_pass_success_rate,414,-0.0849534380708,-0.0848712803812
2022,pass_rush,prior4,team_sack_rate,414,0.0761686544467,0.0467546953009
2022,pass_rush,prior4,team_pass_epa_db,414,-0.111714321667,-0.115692095442
2022,pass_rush,prior4,team_pass_success_rate,414,-0.11733058556,-0.110074215054
2022,pass_rush,prior8,team_sack_rate,414,0.109774984824,0.067271172976
2022,pass_rush,prior8,team_pass_epa_db,414,-0.149534087077,-0.13142632823
2022,pass_rush,prior8,team_pass_success_rate,414,-0.138598058923,-0.124951191783
2022,pass_rush,prior16,team_sack_rate,286,0.111013220869,0.0593620088706
2022,pass_rush,prior16,team_pass_epa_db,286,-0.169528128948,-0.13969039622
2022,pass_rush,prior16,team_pass_success_rate,286,-0.156290752601,-0.136289963843
2022,pass_rush,season_to_date,team_sack_rate,414,0.0840447533327,0.045121875901
2022,pass_rush,season_to_date,team_pass_epa_db,414,-0.145889918546,-0.141300216443
2022,pass_rush,season_to_date,team_pass_success_rate,414,-0.134477091888,-0.137108042999
2022,pass_rush,ewma,team_sack_rate,414,0.0893805191623,0.0597530123351
2022,pass_rush,ewma,team_pass_epa_db,414,-0.146063049402,-0.138036681942
2022,pass_rush,ewma,team_pass_success_rate,414,-0.134023419964,-0.126259237127
2023,protection,prior4,team_sack_rate,544,0.21530256787,0.188661679234
2023,protection,prior4,team_pass_epa_db,544,-0.101920989781,-0.0932992134795
2023,protection,prior4,team_pass_success_rate,544,-0.127390131391,-0.124371770652
2023,protection,prior8,team_sack_rate,544,0.245835960625,0.203760564751
2023,protection,prior8,team_pass_epa_db,544,-0.148373074341,-0.154542235623
2023,protection,prior8,team_pass_success_rate,544,-0.165081454172,-0.176439228019
2023,protection,prior16,team_sack_rate,544,0.253942329769,0.203234682341
2023,protection,prior16,team_pass_epa_db,544,-0.167525381987,-0.1707623494
2023,protection,prior16,team_pass_success_rate,544,-0.204562210233,-0.21831483408
2023,protection,season_to_date,team_sack_rate,416,0.242379514802,0.194929742159
2023,protection,season_to_date,team_pass_epa_db,416,-0.171081076845,-0.171129404564
2023,protection,season_to_date,team_pass_success_rate,416,-0.181002698266,-0.18866544992
2023,protection,ewma,team_sack_rate,544,0.23937571955,0.194582537637
2023,protection,ewma,team_pass_epa_db,544,-0.146945064743,-0.148125184485
2023,protection,ewma,team_pass_success_rate,544,-0.175699404915,-0.191094446683
2023,pass_rush,prior4,team_sack_rate,544,0.0702068857748,0.0712996512746
2023,pass_rush,prior4,team_pass_epa_db,544,-0.0606737387825,-0.0818876430938
2023,pass_rush,prior4,team_pass_success_rate,544,-0.0475235617403,-0.0722259615839
2023,pass_rush,prior8,team_sack_rate,544,0.0995525783399,0.0977788767772
2023,pass_rush,prior8,team_pass_epa_db,544,-0.0991659542583,-0.09512943794
2023,pass_rush,prior8,team_pass_success_rate,544,-0.103585424434,-0.0994896751976
2023,pass_rush,prior16,team_sack_rate,544,0.110945494242,0.112508546912
2023,pass_rush,prior16,team_pass_epa_db,544,-0.0611363458485,-0.0741599021178
2023,pass_rush,prior16,team_pass_success_rate,544,-0.0629122653508,-0.0768862730125
2023,pass_rush,season_to_date,team_sack_rate,416,0.129025195256,0.15023704711
2023,pass_rush,season_to_date,team_pass_epa_db,416,-0.0516364560904,-0.0616300002205
2023,pass_rush,season_to_date,team_pass_success_rate,416,-0.110425420384,-0.118038630891
2023,pass_rush,ewma,team_sack_rate,544,0.106847324361,0.110894362766
2023,pass_rush,ewma,team_pass_epa_db,544,-0.0859302594331,-0.0955886079912
2023,pass_rush,ewma,team_pass_success_rate,544,-0.0761388196247,-0.0920375640402
2024,protection,prior4,team_sack_rate,544,0.16789938925,0.150982048829
2024,protection,prior4,team_pass_epa_db,544,-0.168385883606,-0.158607598948
2024,protection,prior4,team_pass_success_rate,544,-0.118993333828,-0.109242025776
2024,protection,prior8,team_sack_rate,544,0.165999542236,0.164928176462
2024,protection,prior8,team_pass_epa_db,544,-0.177913717623,-0.174734748524
2024,protection,prior8,team_pass_success_rate,544,-0.130189924944,-0.125438037615
2024,protection,prior16,team_sack_rate,544,0.147471451736,0.149809108905
2024,protection,prior16,team_pass_epa_db,544,-0.201133782718,-0.183853166518
2024,protection,prior16,team_pass_success_rate,544,-0.125832985899,-0.112687367892
2024,protection,season_to_date,team_sack_rate,416,0.178687588144,0.161529467071
2024,protection,season_to_date,team_pass_epa_db,416,-0.198666999955,-0.183101481589
2024,protection,season_to_date,team_pass_success_rate,416,-0.157403303976,-0.138328274043
2024,protection,ewma,team_sack_rate,544,0.175326671633,0.170434661928
2024,protection,ewma,team_pass_epa_db,544,-0.195853609099,-0.183041536347
2024,protection,ewma,team_pass_success_rate,544,-0.134443238073,-0.124144144343
2024,pass_rush,prior4,team_sack_rate,544,0.0585779172321,0.0510022417693
2024,pass_rush,prior4,team_pass_epa_db,544,-0.0245571050682,-0.0241007286013
2024,pass_rush,prior4,team_pass_success_rate,544,0.00290597970431,0.00358766261874
2024,pass_rush,prior8,team_sack_rate,544,-0.00390476358634,0.00816432883571
2024,pass_rush,prior8,team_pass_epa_db,544,-0.0202647155998,-0.0298953298399
2024,pass_rush,prior8,team_pass_success_rate,544,-0.033698470837,-0.0425246657609
2024,pass_rush,prior16,team_sack_rate,544,0.0206528551198,0.0323685169894
2024,pass_rush,prior16,team_pass_epa_db,544,-0.0513361211653,-0.0657430978787
2024,pass_rush,prior16,team_pass_success_rate,544,-0.0490392941612,-0.0473010759326
2024,pass_rush,season_to_date,team_sack_rate,416,0.0740563737009,0.0963698963098
2024,pass_rush,season_to_date,team_pass_epa_db,416,-0.0427724399631,-0.0457665381322
2024,pass_rush,season_to_date,team_pass_success_rate,416,-0.0076341945636,-0.0264172909957
2024,pass_rush,ewma,team_sack_rate,544,0.0401960855872,0.0444308334461
2024,pass_rush,ewma,team_pass_epa_db,544,-0.0374175345061,-0.047147301822
2024,pass_rush,ewma,team_pass_success_rate,544,-0.0306436054233,-0.0368207785203
2025,protection,prior4,team_sack_rate,544,0.239788043612,0.209761177483
2025,protection,prior4,team_pass_epa_db,544,-0.151001297609,-0.124916869528
2025,protection,prior4,team_pass_success_rate,544,-0.0887479783715,-0.0555516399913
2025,protection,prior8,team_sack_rate,544,0.256248572921,0.219539458207
2025,protection,prior8,team_pass_epa_db,544,-0.177809759086,-0.154556271582
2025,protection,prior8,team_pass_success_rate,544,-0.143325046595,-0.124860400875
2025,protection,prior16,team_sack_rate,544,0.192591197576,0.176736762777
2025,protection,prior16,team_pass_epa_db,544,-0.160319187087,-0.145352327455
2025,protection,prior16,team_pass_success_rate,544,-0.124003610173,-0.12647528441
2025,protection,season_to_date,team_sack_rate,416,0.254644296594,0.216333389656
2025,protection,season_to_date,team_pass_epa_db,416,-0.177358124663,-0.152324337195
2025,protection,season_to_date,team_pass_success_rate,416,-0.147814675492,-0.120399099434
2025,protection,ewma,team_sack_rate,544,0.242158082308,0.212020851805
2025,protection,ewma,team_pass_epa_db,544,-0.171238220203,-0.152863357315
2025,protection,ewma,team_pass_success_rate,544,-0.124023400556,-0.111898906084
2025,pass_rush,prior4,team_sack_rate,544,0.0470147643057,0.0441692095296
2025,pass_rush,prior4,team_pass_epa_db,544,-0.130581755582,-0.126604313012
2025,pass_rush,prior4,team_pass_success_rate,544,-0.154353758886,-0.137538774349
2025,pass_rush,prior8,team_sack_rate,544,0.12056844481,0.0958554746986
2025,pass_rush,prior8,team_pass_epa_db,544,-0.126462838871,-0.108672248385
2025,pass_rush,prior8,team_pass_success_rate,544,-0.157361713907,-0.138238209736
2025,pass_rush,prior16,team_sack_rate,544,0.135603821659,0.100735946656
2025,pass_rush,prior16,team_pass_epa_db,544,-0.143003068541,-0.112747244155
2025,pass_rush,prior16,team_pass_success_rate,544,-0.183131814431,-0.141217897127
2025,pass_rush,season_to_date,team_sack_rate,416,0.113559665003,0.0786122986888
2025,pass_rush,season_to_date,team_pass_epa_db,416,-0.172006250904,-0.158525249066
2025,pass_rush,season_to_date,team_pass_success_rate,416,-0.200428155564,-0.179306608253
2025,pass_rush,ewma,team_sack_rate,544,0.108086978646,0.0839829927056
2025,pass_rush,ewma,team_pass_epa_db,544,-0.151273516954,-0.132662950628
2025,pass_rush,ewma,team_pass_success_rate,544,-0.185231035575,-0.154696588315
