game_id,season,week,team,opponent,off_epa,off_plays,pass_epa,pass_plays,rush_epa,rush_plays
2026_01_ARI_LAC,2026,1,ari,lac,10.018772343846194,72,11.347910712778436,42,-1.329138368932244,30
2026_01_ARI_LAC,2026,1,lac,ari,-9.172669976891502,55,-3.405569054011738,39,-5.767100922879763,16
2026_01_ATL_PIT,2026,1,atl,pit,-21.462081307604148,60,-17.859113793806944,28,-3.602967513797204,32
2026_01_ATL_PIT,2026,1,pit,atl,-16.345097962901985,65,-11.805396930216869,47,-4.539701032685116,18
2026_01_BAL_IND,2026,1,bal,ind,13.357284339732427,64,10.109317885828206,32,3.2479664539042137,32
2026_01_BAL_IND,2026,1,ind,bal,-12.12860060737757,54,-14.331685277966873,35,2.2030846705893024,19
2026_01_BUF_HOU,2026,1,buf,hou,16.513254045564267,55,21.507345692222746,36,-4.994091646658486,19
2026_01_BUF_HOU,2026,1,hou,buf,5.628911558799857,79,4.689604255108113,48,0.9393073036917436,31
2026_01_CHI_CAR,2026,1,car,chi,8.813799052923642,68,11.15087691067551,46,-2.3370778577518703,22
2026_01_CHI_CAR,2026,1,chi,car,27.038346797115153,75,22.038609712970448,40,4.999737084144703,35
2026_01_CLE_JAX,2026,1,cle,jax,-10.489239150477058,51,-8.221107378362628,32,-2.2681317721144305,19
2026_01_CLE_JAX,2026,1,jax,cle,16.729605309298044,54,18.267180499853566,25,-1.5375751905555208,29
2026_01_DAL_NYG,2026,1,dal,nyg,15.710281403094978,58,17.40774060471447,41,-1.6974592016194934,17
2026_01_DAL_NYG,2026,1,nyg,dal,23.949528776342067,66,22.012521196069425,33,1.9370075802726336,33
2026_01_DEN_KC,2026,1,den,kc,-18.884358192973476,50,-15.45941364177752,35,-3.424944551195953,15
2026_01_DEN_KC,2026,1,kc,den,7.804838924211808,66,-0.4684590902674093,34,8.273298014479217,32
2026_01_GB_MIN,2026,1,gb,min,-12.33035397457688,68,-2.7036460936736084,46,-9.62670788090327,22
2026_01_GB_MIN,2026,1,min,gb,3.3747772302118353,61,6.861776834509865,33,-3.4869996042980285,28
