game_id,season,week,team,opponent,off_epa,off_plays,pass_epa,pass_plays,rush_epa,rush_plays
2025_01_ARI_NO,2025,1,ari,no,4.077001769189074,66,5.392743648386583,41,-1.3157418791975068,25
2025_01_ARI_NO,2025,1,no,ari,-4.171200673700572,73,-0.7157295807199784,51,-3.4554710929805923,22
2025_01_BAL_BUF,2025,1,bal,buf,20.116198004153542,51,12.192281024308715,23,7.923916979844826,28
2025_01_BAL_BUF,2025,1,buf,bal,23.60373145601736,78,24.708236240470082,54,-1.104504784452722,24
2025_01_CAR_JAX,2025,1,car,jax,-11.10048355304242,63,-9.242930139962835,43,-1.8575534130795845,20
2025_01_CAR_JAX,2025,1,jax,car,6.492363059276773,63,2.257683486612426,33,4.234679572664347,30
2025_01_CIN_CLE,2025,1,cin,cle,-3.807806511639589,52,-0.5406730377552679,29,-3.267133473884322,23
2025_01_CIN_CLE,2025,1,cle,cin,-2.4349428244214164,76,-0.9249828287330122,53,-1.5099599956884027,23
2025_01_DAL_PHI,2025,1,dal,phi,6.247929561407037,60,5.220444010269087,39,1.027485551137949,21
2025_01_DAL_PHI,2025,1,phi,dal,9.466558611658249,59,8.234645691290337,33,1.2319129203679124,26
2025_01_DET_GB,2025,1,det,gb,-4.144678065203036,66,1.9949990329342966,44,-6.13967709813733,22
2025_01_DET_GB,2025,1,gb,det,10.647695613179568,47,11.387845537936894,24,-0.7401499247573265,23
2025_01_HOU_LA,2025,1,hou,lar,-9.116530763933984,63,-5.027451262360992,38,-4.089079501572991,25
2025_01_HOU_LA,2025,1,lar,hou,-4.158295443106934,58,0.5667709495755548,34,-4.725066392682488,24
2025_01_KC_LAC,2025,1,kc,lac,11.312295421571758,59,10.659640874502069,47,0.6526545470696867,12
2025_01_KC_LAC,2025,1,lac,kc,17.50514159727518,62,18.836633132226044,43,-1.3314915349508656,19
2025_01_LV_NE,2025,1,lv,ne,6.144413543412554,61,14.366887216966726,38,-8.222473673554173,23
2025_01_LV_NE,2025,1,ne,lv,-3.2500048899864877,71,2.3828467701487224,54,-5.632851660135207,17
2025_01_MIA_IND,2025,1,ind,mia,15.451748669034203,73,12.248798401356362,34,3.2029502676778394,39
2025_01_MIA_IND,2025,1,mia,ind,-13.123731192841657,46,-16.99778434069593,36,3.874053147854276,10
2025_01_MIN_CHI,2025,1,chi,min,-3.576945908180576,67,0.5942136957143495,46,-4.17115960389492,21
2025_01_MIN_CHI,2025,1,min,chi,-4.7319480992923255,54,-4.057196440775848,28,-0.6747516585164803,26
2025_01_NYG_WAS,2025,1,nyg,wsh,-9.403177072933147,68,-6.260694055176527,51,-3.142483017756617,17
2025_01_NYG_WAS,2025,1,wsh,nyg,10.405958581541162,67,4.035401615023112,41,6.370556966518054,26
2025_01_PIT_NYJ,2025,1,nyj,pit,15.460407223927596,62,11.341554623533742,25,4.118852600393861,37
2025_01_PIT_NYJ,2025,1,pit,nyj,11.016758557201799,55,12.193725704008218,36,-1.176967146806418,19
