game_id,season,week,team,opponent,off_epa,off_plays,pass_epa,pass_plays,rush_epa,rush_plays
2023_01_ARI_WAS,2023,1,ari,wsh,-21.592579572360894,62,-10.413283969757076,37,-11.179295602603815,25
2023_01_ARI_WAS,2023,1,wsh,ari,-15.791868072977513,71,-7.314928775900581,45,-8.476939297076935,26
2023_01_BUF_NYJ,2023,1,buf,nyj,-5.383819890350576,68,1.015253234570836,50,-6.399073124921415,18
2023_01_BUF_NYJ,2023,1,nyj,buf,-1.5543213815769426,52,-3.795046264764954,27,2.240724883188012,25
2023_01_CAR_ATL,2023,1,atl,car,-6.94678992668232,50,-5.599403522472141,24,-1.3473864042101744,26
2023_01_CAR_ATL,2023,1,car,atl,-19.917706234006115,77,-10.76236030014501,46,-9.155345933861103,31
2023_01_CIN_CLE,2023,1,cin,cle,-22.218074643760566,54,-17.901710066836905,36,-4.316364576923661,18
2023_01_CIN_CLE,2023,1,cle,cin,-11.84940859633322,73,-8.946648691942091,35,-2.9027599043911305,38
2023_01_DAL_NYG,2023,1,dal,nyg,8.434392308396355,58,6.716185612707935,28,1.7182066956884208,30
2023_01_DAL_NYG,2023,1,nyg,dal,-29.896532583398184,70,-24.861432521267776,49,-5.035100062130414,21
2023_01_DET_KC,2023,1,det,kc,1.7341355005628494,67,2.5363044491387092,36,-0.8021689485758596,31
2023_01_DET_KC,2023,1,kc,det,-7.700536210433087,65,-2.1938748055193313,48,-5.506661404913755,17
2023_01_GB_CHI,2023,1,chi,gb,-13.15195967555512,72,-6.153950364228812,50,-6.998009311326307,22
2023_01_GB_CHI,2023,1,gb,chi,9.342081415214261,60,16.61554509038448,30,-7.273463675170217,30
2023_01_HOU_BAL,2023,1,bal,hou,-3.6254898442226433,63,-1.998891213307246,35,-1.6265986309153968,28
2023_01_HOU_BAL,2023,1,hou,bal,-22.25614851183541,76,-14.719429982573066,57,-7.536718529262343,19
2023_01_JAX_IND,2023,1,ind,jax,-26.861798160825835,72,-9.459898826666148,49,-17.401899334159683,23
2023_01_JAX_IND,2023,1,jax,ind,-16.815314611996026,69,-9.28441579960054,36,-7.53089881239548,33
2023_01_LA_SEA,2023,1,lar,sea,20.55118243815617,81,22.076033902692934,41,-1.5248514645367603,40
2023_01_LA_SEA,2023,1,sea,lar,-1.8817766603677817,50,-1.074743756303966,33,-0.8070329040638174,17
2023_01_LV_DEN,2023,1,den,lv,4.494073462202753,63,8.128320118699309,41,-3.634246656496552,22
2023_01_LV_DEN,2023,1,lv,den,9.497629278152088,55,17.229156670613527,32,-7.731527392461436,23
2023_01_MIA_LAC,2023,1,lac,mia,13.604184934572439,80,2.821990348800209,44,10.78219458577223,36
2023_01_MIA_LAC,2023,1,mia,lac,22.07154928351115,65,30.062598785265024,47,-7.991049501753876,18
2023_01_PHI_NE,2023,1,ne,phi,-15.154893718368822,79,-11.237043143948522,58,-3.9178505744203003,21
2023_01_PHI_NE,2023,1,phi,ne,-8.735087321702816,65,-3.8109273091762086,42,-4.924160012526608,23
2023_01_SF_PIT,2023,1,pit,sf,-18.31406912364764,62,-17.48281579429749,53,-0.831253329350149,9
2023_01_SF_PIT,2023,1,sf,pit,8.29890290720882,65,9.021956155516964,34,-0.7230532483081402,31
2023_01_TB_MIN,2023,1,min,tb,-6.329777444208789,64,2.0094284966855307,48,-8.339205940894319,16
2023_01_TB_MIN,2023,1,tb,min,-6.79009291768577,65,-0.5397831565378277,38,-6.250309761147945,27
2023_01_TEN_NO,2023,1,no,ten,-4.25945265254345,63,5.594608335421403,39,-9.85406098796485,24
2023_01_TEN_NO,2023,1,ten,no,-11.129405599699373,63,-10.667798447219658,43,-0.4616071524797122,20
2023_02_BAL_CIN,2023,2,bal,cin,16.619662353710652,74,12.646697033565449,45,3.972965320145199,29
2023_02_BAL_CIN,2023,2,cin,bal,2.7380908761715728,60,2.500402795909414,45,0.23768808026215826,15
2023_02_CHI_TB,2023,2,chi,tb,-8.914165219490041,52,-8.271792076958906,37,-0.6423731425311353,15
2023_02_CHI_TB,2023,2,tb,chi,13.242188408431147,69,13.06695927485872,39,0.17522913357242675,30
2023_02_CLE_PIT,2023,2,cle,pit,-21.31276100129896,85,-16.923600505407272,52,-4.389160495891688,33
