,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RK,PLAYER,POS,TEAM,ADP,BYE,PROJ_PTS,PROJ_AVG,RUSH_ATT,RUSH_YDS,RUSH_TD,REC_TAR,REC_YDS,REC_TD,PASS_ATT,PASS_YDS,PASS_TD
62,Bhayshul Tuten,RB,JAX,63.2,7,174.6,10.3,182,781,6,0,251,1,0,0,0
63,Tucker Kraft,TE,GB,63.8,11,174.6,10.3,0,0,0,0,774,6,0,0,0
64,Jayden Daniels,QB,WAS,63.8,7,299.7,17.6,126,636,6,0,0,0,478,3308,21
65,Rome Odunze,WR,CHI,65.3,10,207.3,12.2,1,6,0,0,973,7,0,0,0
66,Carnell Tate,WR,MIA,66.3,9,177.3,10.4,2,10,0,0,833,5,0,0,0
67,Jadarian Price,RB,WAS,67.7,11,170,10,207,912,7,0,138,1,0,0,0
68,Harold Fannin,TE,CLE,68.3,11,183.1,10.8,6,24,0,0,739,5,0,0,0
69,Kyle Pitts,TE,ATL,69,11,175.6,10.3,0,0,0,0,766,5,0,0,0
70,Christian Watson,WR,GB,70.1,11,207.8,12.2,2,14,0,0,1012,7,0,0,0
71,Caleb Williams,QB,CHI,71.3,10,283.3,16.7,76,373,3,0,0,0,554,3861,24
72,Jaylen Warren,RB,PIT,72,9,170.6,10,172,759,4,0,267,1,0,0,0
73,Brian Thomas,WR,JAX,73.3,7,184.4,10.8,3,17,0,0,897,7,0,0,0
74,DK Metcalf,WR,SEA,73.7,9,183.3,10.8,2,10,0,0,823,6,0,0,0
75,Marvin Harrison,WR,ARI,75.3,14,187.8,11,0,0,0,0,887,6,0,0,0
76,Parker Washington,WR,JAX,76.8,7,202.4,11.9,10,48,0,0,906,7,0,0,0
77,Chuba Hubbard,RB,CAR,77.2,6,147.9,8.7,181,786,5,0,143,1,0,0,0
78,Dak Prescott,QB,DAL,78.1,14,290.9,17.1,44,162,1,0,0,0,580,4297,27
79,Courtland Sutton,WR,DEN,78.2,10,174.3,10.3,0,0,0,0,793,6,0,0,0
80,RJ Harvey,RB,DEN,78.3,10,144.1,8.5,124,534,3,0,276,2,0,0,0
81,Rhamondre Stevenson,RB,NE,81.8,11,160,9.4,182,768,5,0,214,1,0,0,0
82,Justin Herbert,QB,LAC,82.3,7,285.4,16.8,70,338,3,0,0,0,533,3847,24
83,Michael Wilson,WR,ARI,82.8,14,160,9.4,1,6,0,0,701,5,0,0,0
84,Tony Pollard,RB,TEN,83.8,9,168.1,9.9,189,781,5,0,197,1,0,0,0
85,Rico Dowdle,RB,PIT,84.2,9,151.1,8.9,168,678,4,0,223,1,0,0,0
86,Jordyn Tyson,WR,ARI,86.1,8,115,6.8,1,6,0,0,514,3,0,0,0
87,Los Angeles Rams,DEF,LAR,87.2,11,170,10,0,0,0,0,0,0,0,0,0
88,Mekhi Mews,WR,FA,87.8,10,160.8,9.5,2,10,0,0,774,5,0,0,0
89,Dylan Sampson,RB,CLE,88.1,7,155.6,9.2,0,0,0,0,238,4,0,0,0
90,Jaxson Dart,QB,NYG,89.6,8,284.4,16.7,108,489,6,0,0,0,494,3368,22
91,George Kittle,TE,SF,91.2,8,160.3,9.4,0,0,0,0,713,6,0,0,0
92,Travis Kelce,TE,KC,92.2,6,171.4,10.1,0,0,0,0,714,5,0,0,0
93,Brandon Inniss,WR,DAL,93.8,14,113.4,6.7,0,0,0,0,0,0,0,0,0
94,J.K. Dobbins,RB,DEN,94.8,10,150.7,8.9,171,732,5,0,180,1,0,0,0
95,Matthew Stafford,QB,LAR,95.1,11,283.2,16.7,37,78,0,0,0,0,538,4033,23
96,Chris Godwin,WR,TB,96.3,10,173.6,10.2,1,6,0,0,793,5,0,0,0
97,Houston Texans,DEF,HOU,97.8,8,170,10,0,0,0,0,0,0,0,0,0
98,Jake Ferguson,TE,DAL,98.7,14,165.8,9.8,0,0,0,0,618,5,0,0,0
99,Kyle Monangai,RB,CHI,99.1,10,144.6,8.5,168,741,6,0,104,1,0,0,0
100,Trevor Lawrence,QB,JAX,100.9,7,281.4,16.5,79,339,5,0,0,0,527,3784,24
101,Alec Pierce,WR,IND,101,13,177.3,10.4,1,7,0,0,872,6,0,0,0
102,Michael Pittman,WR,IND,102.6,13,170.3,10,1,7,0,0,772,4,0,0,0
103,Jordan Addison,WR,MIN,103.1,6,171.7,10.1,4,22,0,0,756,5,0,0,0
104,Blake Corum,RB,LAR,103.8,11,130.3,7.7,177,717,6,0,108,0,0,0,0
105,Seattle Seahawks,DEF,WAS,104.7,11,170,10,0,0,0,0,0,0,0,0,0
106,Patrick Mahomes,QB,KC,106.3,6,276.7,16.3,62,262,1,0,0,0,564,3967,26
107,Josh Downs,WR,IND,107.1,13,172.3,10.1,2,13,0,0,770,4,0,0,0
108,Jonathan Brooks,RB,CAR,108.1,6,161.9,9.5,160,694,4,0,204,1,0,0,0
109,Isaiah Likely,TE,BAL,109.9,13,147.3,8.7,0,0,0,0,611,5,0,0,0
110,Jakobi Meyers,WR,LV,110.1,7,160.3,9.4,4,21,0,0,732,5,0,0,0
111,Stefon Diggs,WR,HOU,111.3,7,147.3,8.7,1,6,0,0,697,4,0,0,0
112,Kenny Gainwell,RB,PIT,112.6,10,147.3,8.7,99,418,3,0,284,2,0,0,0
113,Quentin Johnston,WR,LAC,113.9,7,155,9.1,2,11,0,0,706,5,0,0,0
114,Jayden Reed,WR,GB,114.4,11,187.6,11,14,101,0,0,811,6,0,0,0
115,Jacory Croskey-Merritt,RB,WAS,114.7,7,120.8,7.1,141,614,5,0,134,1,0,0,0
116,T.J. Hockenson,WR,MIN,116.2,6,170.7,10,3,16,0,0,781,4,0,0,0
117,Jordan Mason,RB,MIN,117.8,6,145.7,8.6,180,787,6,0,140,1,0,0,0
118,Cameron Dicker,K,LAC,118.3,7,133.4,9.8,0,0,0,0,0,0,0,0,0
119,Denver Broncos,DEF,DEN,118.4,10,170,10,0,0,0,0,0,0,0,0,0
120,Bo Nix,QB,DEN,118.9,10,283.7,16.7,76,330,4,0,0,0,551,3758,22
121,Brock Purdy,QB,SF,121.2,8,280.2,16.5,64,242,3,0,0,0,498,3900,23
122,KC Concepcion,WR,CLE,122.9,11,148.4,8.7,2,14,0,0,710,4,0,0,0
123,Dallas Goedert,TE,PHI,123.1,10,130,7.6,0,0,0,0,580,4,0,0,0
124,Aaron Jones,RB,MIN,123.9,6,133.3,7.8,131,563,3,0,206,1,0,0,0
125,Philadelphia Eagles,DEF,PHI,124.2,10,170,10,0,0,0,0,0,0,0,0,0
126,Jason Myers,K,SEA,126.7,11,136.4,8,0,0,0,0,0,0,0,0,0
127,Dominic Lovett,WR,LAC,127.8,7,134.8,7.9,0,0,0,0,618,4,0,0,0
128,Matthew Golden,WR,GB,127.9,11,170.1,10,8,41,0,0,770,5,0,0,0
129,Mark Andrews,TE,BAL,129.2,13,167.4,9.8,2,12,0,0,683,6,0,0,0
130,Ka'imi Fairbairn,K,HOU,130.3,8,139.4,8.2,0,0,0,0,0,0,0,0,0
131,Rachaad White,RB,TB,131.7,7,128.1,7.1,114,468,3,0,263,1,0,0,0
132,Raheem Mostert,RB,MIA,132.8,11,161.2,9,0,0,0,0,787,5,0,0,0
133,Jared Goff,QB,DET,133.8,6,275.4,16.2,29,40,1,0,0,0,553,4104,26
134,Cam Little,K,JAX,134.3,7,138.4,8.1,0,0,0,0,0,0,0,0,0
135,Baltimore Ravens,DEF,BAL,135.4,13,170,10,0,0,0,0,0,0,0,0,0
136,New England Patriots,DEF,NE,136.8,11,170,10,0,0,0,0,0,0,0,0,0
137,Demario Douglas,WR,NE,137.2,8,148.7,8.7,3,18,1,0,628,4,0,0,0
138,Hunter Henry,TE,NE,138.3,11,143.4,8.4,0,0,0,0,654,4,0,0,0
139,Xavier Worthy,WR,KC,139.2,6,161.4,9.5,17,80,1,0,694,4,0,0,0
140,Khalil Shakir,WR,BUF,140.8,7,170.7,10,2,10,0,0,787,4,0,0,0
141,Baker Mayfield,QB,TB,141.3,10,287.9,16.9,63,308,2,0,0,0,576,3907,26
142,Chris Rodriguez,RB,WAS,142.2,7,132.4,7.8,171,728,6,0,107,0,0,0,0
143,Jake Bates,K,DET,143.9,6,142.2,8.4,0,0,0,0,0,0,0,0,0
144,Jalen Coker,WR,CAR,144,6,164.9,9.7,1,6,0,0,763,5,0,0,0
145,Tyler Allgeier,RB,ATL,145.6,14,65.4,3.8,96,430,3,0,40,0,0,0,0
146,Zach Charbonnet,RB,SEA,146,11,97.2,5.7,84,361,3,0,78,1,0,0,0
147,Rashid Shaheed,WR,WAS,147.6,11,130.1,7.7,8,46,0,0,634,4,0,0,0
148,Jordan Love,QB,GB,148.8,11,280.4,16.5,41,202,2,0,0,0,521,3808,27
149,Harrison Mevis,K,CAR,149.7,11,133.4,9.8,0,0,0,0,0,0,0,0,0
150,Minnesota Vikings,DEF,MIN,150.1,6,170,10,0,0,0,0,0,0,0,0,0
151,Keon Coleman,TE,KC,151,13,163.2,9.6,2,7,0,0,634,3,0,0,0
152,Braelon Allen,RB,NYJ,151.8,7,145,8.5,0,0,0,0,680,4,0,0,0
153,Detroit Lions,DEF,DET,152.3,6,170,10,0,0,0,0,0,0,0,0,0
154,Brian Robinson,RB,WAS,154.1,11,65.9,3.9,87,368,2,0,51,0,0,0,0
155,Savion Williams,K,FA,155.1,11,155,9.1,0,0,0,0,0,0,0,0,0
156,De'Zhaun Stribling,WR,MIA,156.2,8,120.4,7.1,0,0,0,0,561,4,0,0,0
157,Ja'Kobi Lane,WR,ARI,157.2,13,132.8,7.8,1,6,0,0,611,4,0,0,0
158,Chris Boswell,K,PIT,158.6,9,133.4,9.8,0,0,0,0,0,0,0,0,0
159,Woody Marks,RB,HOU,159.1,8,80.8,4.8,80,341,2,0,137,1,0,0,0
160,Kyler Murray,QB,ARI,160.6,6,283.7,16.7,84,433,3,0,0,0,478,3368,21
161,Pittsburgh Steelers,DEF,PIT,161.4,9,170,10,0,0,0,0,0,0,0,0,0
162,Alvin Kamara,RB,NO,162.4,8,61,3.6,44,184,1,0,134,1,0,0,0
163,Tyrone Tracy,RB,NYG,163.7,8,113.3,6.7,124,528,3,0,164,1,0,0,0
164,T.J. Hockenson,TE,MIN,164,6,146,8.6,0,0,0,0,640,4,0,0,0
165,Daniel Jackson,WR,CLE,165.4,11,124.7,7.3,2,13,0,0,634,3,0,0,0
166,Tyjae Spears,RB,TEN,166,9,114.6,6.7,82,368,2,0,181,1,0,0,0
167,Keon Coleman,WR,DEN,167.3,10,61.9,3.6,72,304,2,0,75,1,0,0,0
168,Travis Hunter,DB/WR,JAX,167.4,7,92.4,5.4,4,21,0,0,434,3,0,0,0
169,Jacksonville Jaguars,DEF,JAX,168.4,7,170,10,0,0,0,0,0,0,0,0,0
170,Will Reichard,K,MIN,171.9,6,107.1,6,0,0,0,0,0,0,0,0,0
171,Eddy Pineiro,K,SF,172.3,8,93.4,5.5,0,0,0,0,0,0,0,0,0
172,Malik Washington,RB,LV,172.7,13,92.4,5.4,111,458,3,0,117,1,0,0,0
173,Cyrus Allen,WR,CIN,173.6,6,90.4,5.3,0,0,0,0,429,3,0,0,0
174,Tank Dell,WR,HOU,173.9,8,49.3,2.9,2,11,0,0,218,2,0,0,0
175,Harrison Bailey,K,KC,174.2,6,92.4,5.4,0,0,0,0,0,0,0,0,0
176,Sam Darnold,QB,WAS,175.4,11,240.7,13.8,44,147,2,0,0,0,478,3528,0
177,Tank Bigsby,RB,PHI,177.7,10,61.2,3.6,82,363,3,0,18,0,0,0,0
178,Los Angeles Chargers,DEF,LAC,178.6,7,170,10,0,0,0,0,0,0,0,0,0
179,Fernando Mendoza,QB,LV,179.4,13,201.2,11.2,61,251,2,0,0,0,424,2934,0
180,KeAndre Lambert-Smith,WR,LAC,180.4,7,92.9,5.5,86,434,3,0,134,1,0,0,0
