game_id,season,week,team,opponent,eligible_plays,pass_plays,rush_plays,neutral_eligible_plays,neutral_pass_plays,pass_oe_sum,pass_oe_count
2023_01_ARI_WAS,2023,1,ari,wsh,62,37,25,42,21,-581.3420653343201,62
2023_01_ARI_WAS,2023,1,wsh,ari,71,45,26,44,26,110.33556461334243,71
2023_01_BUF_NYJ,2023,1,buf,nyj,68,50,18,35,22,442.93901920318575,68
2023_01_BUF_NYJ,2023,1,nyj,buf,52,27,25,37,17,-494.05708909034735,52
2023_01_CAR_ATL,2023,1,atl,car,50,24,26,25,10,-636.9936395436523,50
2023_01_CAR_ATL,2023,1,car,atl,77,46,31,39,16,-682.3734402656555,77
2023_01_CIN_CLE,2023,1,cin,cle,54,36,18,24,12,-204.62768077850325,54
2023_01_CIN_CLE,2023,1,cle,cin,73,35,38,26,15,-695.5239485949276,73
2023_01_DAL_NYG,2023,1,dal,nyg,58,28,30,2,1,-204.03599888086325,58
2023_01_DAL_NYG,2023,1,nyg,dal,70,49,21,12,8,-5.202263593673685,70
2023_01_DET_KC,2023,1,det,kc,67,36,31,44,20,-422.8765666484829,67
2023_01_DET_KC,2023,1,kc,det,65,48,17,40,27,828.9806708693504,65
2023_01_GB_CHI,2023,1,chi,gb,72,50,22,22,13,-251.98882371187204,72
2023_01_GB_CHI,2023,1,gb,chi,60,30,30,22,8,-314.1594929620625,60
2023_01_HOU_BAL,2023,1,bal,hou,63,35,28,28,16,3.304297477006914,63
2023_01_HOU_BAL,2023,1,hou,bal,76,57,19,18,11,89.23135697841661,76
2023_01_JAX_IND,2023,1,ind,jax,72,49,23,38,22,-9.696331620216526,72
2023_01_JAX_IND,2023,1,jax,ind,69,36,33,48,25,-161.38601861894145,69
2023_01_LA_SEA,2023,1,lar,sea,81,41,40,41,20,-233.34733210504075,81
2023_01_LA_SEA,2023,1,sea,lar,50,33,17,31,17,54.988317191600885,50
2023_01_LV_DEN,2023,1,den,lv,63,41,22,38,20,15.730622410774572,63
2023_01_LV_DEN,2023,1,lv,den,55,32,23,40,19,56.007733941078115,55
2023_01_MIA_LAC,2023,1,lac,mia,80,44,36,51,20,-321.25790715217585,80
2023_01_MIA_LAC,2023,1,mia,lac,65,47,18,47,30,621.2974578142168,65
2023_01_PHI_NE,2023,1,ne,phi,79,58,21,27,15,30.897778272628692,78
2023_01_PHI_NE,2023,1,phi,ne,65,42,23,30,21,459.1953493654728,65
2023_01_SF_PIT,2023,1,pit,sf,62,53,9,6,4,450.7437229156496,62
2023_01_SF_PIT,2023,1,sf,pit,65,34,31,14,7,-166.51814728975327,65
2023_01_TB_MIN,2023,1,min,tb,64,48,16,44,30,514.9890154600142,64
2023_01_TB_MIN,2023,1,tb,min,65,38,27,39,20,-41.88708290457734,65
2023_01_TEN_NO,2023,1,no,ten,63,39,24,37,19,-125.80037489533461,63
2023_01_TEN_NO,2023,1,ten,no,63,43,20,46,26,199.93914067745226,63
2023_02_BAL_CIN,2023,2,bal,cin,74,45,29,45,26,219.35232505202282,74
2023_02_BAL_CIN,2023,2,cin,bal,60,45,15,32,21,411.80052161216724,60
2023_02_CHI_TB,2023,2,chi,tb,52,37,15,22,14,-10.425359010696459,52
2023_02_CHI_TB,2023,2,tb,chi,69,39,30,32,14,-492.72497445344925,69
2023_02_CLE_PIT,2023,2,cle,pit,85,52,33,59,29,-81.75797164440193,85
2023_02_CLE_PIT,2023,2,pit,cle,50,32,18,35,18,60.840973258018614,50
2023_02_GB_ATL,2023,2,atl,gb,81,42,39,47,24,-960.1135924458505,81
2023_02_GB_ATL,2023,2,gb,atl,49,29,20,33,16,162.28508651256575,49
2023_02_IND_HOU,2023,2,hou,ind,81,54,27,20,8,-602.9777854681015,81
2023_02_IND_HOU,2023,2,ind,hou,57,36,21,19,8,235.66442169249086,57
2023_02_KC_JAX,2023,2,jax,kc,66,52,14,39,25,825.4707723855972,66
2023_02_KC_JAX,2023,2,kc,jax,64,48,16,28,21,1077.1190159022808,64
2023_02_LAC_TEN,2023,2,lac,ten,67,46,21,42,27,323.62975925207144,67
2023_02_LAC_TEN,2023,2,ten,lac,65,31,34,44,18,-868.9275413751602,65
2023_02_LV_BUF,2023,2,buf,lv,76,42,34,19,11,177.1516859531401,76
2023_02_LV_BUF,2023,2,lv,buf,40,26,14,19,11,-58.37704539299031,40
2023_02_MIA_NE,2023,2,mia,ne,62,33,29,21,10,-178.23004350066176,62
2023_02_MIA_NE,2023,2,ne,mia,73,50,23,23,15,283.8767826557158,73
2023_02_MIN_PHI,2023,2,min,phi,58,49,9,16,11,522.1036285161977,58
2023_02_MIN_PHI,2023,2,phi,min,77,32,45,29,13,-948.3253344893457,77
2023_02_NO_CAR,2023,2,car,no,59,41,18,31,18,-206.44181370735114,59
2023_02_NO_CAR,2023,2,no,car,74,43,31,45,23,109.17286053299888,74
2023_02_NYG_ARI,2023,2,ari,nyg,63,35,28,20,9,-211.61816567182535,63
2023_02_NYG_ARI,2023,2,nyg,ari,68,46,22,14,9,67.03169643878915,68
2023_02_NYJ_DAL,2023,2,dal,nyj,82,42,40,28,15,-476.05198584497015,82
2023_02_NYJ_DAL,2023,2,nyj,dal,47,35,12,10,5,54.41854596137998,47
2023_02_SEA_DET,2023,2,det,sea,66,39,27,36,19,-708.3663552999503,66
2023_02_SEA_DET,2023,2,sea,det,70,48,22,50,30,682.476308196783,70
2023_02_SF_LA,2023,2,lar,sf,79,60,19,43,31,890.1211559772493,79
