game_id,season,week,team,opponent,eligible_plays,pass_plays,rush_plays,neutral_eligible_plays,neutral_pass_plays,pass_oe_sum,pass_oe_count
2026_01_ARI_LAC,2026,1,ari,lac,72,42,30,39,23,-35.23394763469675,72
2026_01_ARI_LAC,2026,1,lac,ari,55,39,16,34,20,13.960880041122492,55
2026_01_ATL_PIT,2026,1,atl,pit,60,28,32,41,16,-1023.6473232507708,60
2026_01_ATL_PIT,2026,1,pit,atl,65,47,18,32,21,728.5056665539738,65
2026_01_BAL_IND,2026,1,bal,ind,64,32,32,14,6,-372.74752520024805,64
2026_01_BAL_IND,2026,1,ind,bal,54,35,19,15,9,-219.9161425232887,54
2026_01_BUF_HOU,2026,1,buf,hou,55,36,19,38,23,201.23362243175518,55
2026_01_BUF_HOU,2026,1,hou,buf,79,48,31,47,24,-376.12022683024435,79
2026_01_CHI_CAR,2026,1,car,chi,68,46,22,36,20,209.42813456058482,68
2026_01_CHI_CAR,2026,1,chi,car,75,40,35,39,20,-128.07987779378854,75
2026_01_CLE_JAX,2026,1,cle,jax,51,32,19,7,3,-493.7630295753478,51
2026_01_CLE_JAX,2026,1,jax,cle,54,25,29,7,3,-231.5355733036996,54
2026_01_DAL_NYG,2026,1,dal,nyg,58,41,17,18,9,132.75620341300967,58
2026_01_DAL_NYG,2026,1,nyg,dal,66,33,33,21,8,-286.1315719783304,66
2026_01_DEN_KC,2026,1,den,kc,50,35,15,18,12,87.04306483268745,50
2026_01_DEN_KC,2026,1,kc,den,66,34,32,25,13,24.983666464686195,66
2026_01_GB_MIN,2026,1,gb,min,68,46,22,18,10,-205.9292241930959,68
2026_01_GB_MIN,2026,1,min,gb,61,33,28,37,16,-485.5620851740242,61
2026_01_MIA_LV,2026,1,lv,mia,65,32,33,16,10,-363.56219351291645,65
2026_01_MIA_LV,2026,1,mia,lv,55,40,15,17,9,-146.65369689464583,55
2026_01_NE_SEA,2026,1,ne,sea,71,44,27,40,20,-244.7021752595905,71
2026_01_NE_SEA,2026,1,sea,ne,49,28,21,31,16,-270.8394244313238,49
2026_01_NO_DET,2026,1,det,no,77,41,36,38,17,-184.8754398524761,77
2026_01_NO_DET,2026,1,no,det,88,65,23,29,18,360.33115088939667,88
2026_01_NYJ_TEN,2026,1,nyj,ten,64,28,36,28,10,-568.7870271503926,64
2026_01_NYJ_TEN,2026,1,ten,nyj,50,40,10,16,11,288.97633850574516,50
2026_01_SF_LA,2026,1,lar,sf,60,33,27,30,12,-888.4997978806496,60
2026_01_SF_LA,2026,1,sf,lar,65,37,28,32,18,332.6253518462183,65
2026_01_TB_CIN,2026,1,cin,tb,63,38,25,6,4,360.15283763408655,63
2026_01_TB_CIN,2026,1,tb,cin,56,39,17,14,7,148.3031317591668,56
2026_01_WAS_PHI,2026,1,phi,wsh,53,34,19,31,15,-288.88813853263883,53
2026_01_WAS_PHI,2026,1,wsh,phi,69,40,29,31,17,-326.164801418781,69
2026_02_DET_BUF,2026,2,buf,det,71,42,29,16,9,624.3953581899401,71
2026_02_DET_BUF,2026,2,det,buf,65,46,19,2,1,-139.91152942180625,65
