game_id,season,week,team,opponent,eligible_plays,pass_plays,rush_plays,neutral_eligible_plays,neutral_pass_plays,pass_oe_sum,pass_oe_count
2024_01_ARI_BUF,2024,1,ari,buf,59,38,21,37,19,-105.33396005630505,59
2024_01_ARI_BUF,2024,1,buf,ari,60,32,28,31,16,-444.93363797664654,60
2024_01_BAL_KC,2024,1,bal,kc,80,58,22,25,14,-113.58897686004636,80
2024_01_BAL_KC,2024,1,kc,bal,53,33,20,28,17,360.5127394199371,53
2024_01_CAR_NO,2024,1,car,no,59,42,17,5,2,-468.56145262718206,59
2024_01_CAR_NO,2024,1,no,car,66,28,38,8,3,-563.5922141373158,66
2024_01_DAL_CLE,2024,1,cle,dal,76,60,16,13,10,57.78866112232183,76
2024_01_DAL_CLE,2024,1,dal,cle,62,36,26,27,16,-47.0004811882973,62
2024_01_DEN_SEA,2024,1,den,sea,69,49,20,32,15,-105.09941577911346,69
2024_01_DEN_SEA,2024,1,sea,den,63,34,29,33,14,-1.8174029886726188,63
2024_01_GB_PHI,2024,1,gb,phi,66,42,24,48,27,57.83304125070602,66
2024_01_GB_PHI,2024,1,phi,gb,75,40,35,43,20,-91.32597818970672,75
2024_01_HOU_IND,2024,1,hou,ind,76,40,36,41,18,-326.3769447803499,76
2024_01_HOU_IND,2024,1,ind,hou,44,25,19,24,11,-439.3485233187679,44
2024_01_JAX_MIA,2024,1,jax,mia,53,27,26,22,8,-350.3674343228341,53
2024_01_JAX_MIA,2024,1,mia,jax,71,45,26,36,21,-302.13603377342235,71
2024_01_LA_DET,2024,1,det,lar,61,31,30,29,12,-442.8099073469641,61
2024_01_LA_DET,2024,1,lar,det,78,53,25,41,28,267.4990221858026,78
2024_01_LV_LAC,2024,1,lac,lv,53,29,24,29,13,-400.7762059569359,53
2024_01_LV_LAC,2024,1,lv,lac,60,41,19,31,15,75.18027275800723,60
2024_01_MIN_NYG,2024,1,min,nyg,54,28,26,17,9,2.9142439365384796,54
2024_01_MIN_NYG,2024,1,nyg,min,70,51,19,17,8,-311.7529571056366,70
2024_01_NE_CIN,2024,1,cin,ne,51,38,13,15,10,478.5198405385018,51
2024_01_NE_CIN,2024,1,ne,cin,61,29,32,24,12,-413.7589614838362,61
2024_01_NYJ_SF,2024,1,nyj,sf,48,31,17,16,6,-238.94177973270405,48
2024_01_NYJ_SF,2024,1,sf,nyj,71,35,36,25,8,-667.6734477281569,71
2024_01_PIT_ATL,2024,1,atl,pit,55,32,23,36,16,-532.1590214967729,55
2024_01_PIT_ATL,2024,1,pit,atl,68,32,36,32,15,-685.1548090577128,68
2024_01_TEN_CHI,2024,1,chi,ten,53,34,19,24,13,107.00213313102739,53
2024_01_TEN_CHI,2024,1,ten,chi,64,39,25,31,15,-297.06410467624676,64
2024_01_WAS_TB,2024,1,tb,wsh,61,36,25,23,12,128.45356240868603,61
2024_01_WAS_TB,2024,1,wsh,tb,57,35,22,12,5,-123.76011610031125,57
2024_02_ATL_PHI,2024,2,atl,phi,58,33,25,35,15,-509.2160508036616,58
2024_02_ATL_PHI,2024,2,phi,atl,70,38,32,45,23,-280.039220303297,70
2024_02_BUF_MIA,2024,2,buf,mia,42,20,22,17,9,-92.89880041033015,42
2024_02_BUF_MIA,2024,2,mia,buf,76,44,32,22,8,-1251.9248455762865,76
2024_02_CHI_HOU,2024,2,chi,hou,70,52,18,30,18,99.94092434644692,70
2024_02_CHI_HOU,2024,2,hou,chi,61,40,21,27,17,115.21126925945288,61
2024_02_CIN_KC,2024,2,cin,kc,64,44,20,45,28,693.0678497999904,64
2024_02_CIN_KC,2024,2,kc,cin,64,36,28,42,21,-414.27631676197063,64
2024_02_CLE_JAX,2024,2,cle,jax,72,42,30,33,19,346.63943592459,72
2024_02_CLE_JAX,2024,2,jax,cle,59,40,19,31,19,-73.32764863967901,59
2024_02_IND_GB,2024,2,gb,ind,70,19,51,16,1,-2050.080598145724,70
2024_02_IND_GB,2024,2,ind,gb,55,38,17,11,4,-285.4062318801883,55
2024_02_LA_ARI,2024,2,ari,lar,66,27,39,6,4,-405.92328011989605,66
