game_id,season,week,team,opponent,eligible_plays,pass_plays,rush_plays,neutral_eligible_plays,neutral_pass_plays,pass_oe_sum,pass_oe_count
2022_01_BAL_NYJ,2022,1,bal,nyj,54,35,19,23,17,425.02721622586273,54
2022_01_BAL_NYJ,2022,1,nyj,bal,84,66,18,28,17,402.6944607496265,84
2022_01_BUF_LA,2022,1,buf,lar,57,38,19,36,23,567.6991268992424,57
2022_01_BUF_LA,2022,1,lar,buf,67,50,17,25,14,-1.7924338579178087,67
2022_01_CLE_CAR,2022,1,car,cle,52,35,17,17,14,-65.77339172363295,52
2022_01_CLE_CAR,2022,1,cle,car,78,41,37,31,17,-923.6912876367569,78
2022_01_DEN_SEA,2022,1,den,sea,66,47,19,42,25,207.5876295566564,66
2022_01_DEN_SEA,2022,1,sea,den,52,36,16,40,26,548.6660033464432,52
2022_01_GB_MIN,2022,1,gb,min,59,42,17,16,8,317.07804501056637,59
2022_01_GB_MIN,2022,1,min,gb,62,34,28,17,8,264.960379526019,62
2022_01_IND_HOU,2022,1,hou,ind,69,43,26,22,13,85.97060292959233,69
2022_01_IND_HOU,2022,1,ind,hou,92,56,36,34,16,-603.4347504377366,92
2022_01_JAX_WAS,2022,1,jax,wsh,69,49,20,33,18,186.71285212039953,69
2022_01_JAX_WAS,2022,1,wsh,jax,72,50,22,41,27,756.7207392305136,72
2022_01_KC_ARI,2022,1,ari,kc,62,44,18,10,4,-129.57288026809687,62
2022_01_KC_ARI,2022,1,kc,ari,70,44,26,27,18,797.2370661795138,70
2022_01_LV_LAC,2022,1,lac,lv,64,36,28,25,17,187.65770867466924,64
2022_01_LV_LAC,2022,1,lv,lac,57,44,13,18,13,374.55264627933525,56
2022_01_NE_MIA,2022,1,mia,ne,58,36,22,14,7,740.4792888090014,58
2022_01_NE_MIA,2022,1,ne,mia,55,35,20,17,10,-137.954404950142,55
2022_01_NO_ATL,2022,1,atl,no,74,39,35,31,15,-189.30863663554152,74
2022_01_NO_ATL,2022,1,no,atl,57,39,18,23,13,-74.77261573076211,57
2022_01_NYG_TEN,2022,1,nyg,ten,59,31,28,18,7,-851.9808113574984,59
2022_01_NYG_TEN,2022,1,ten,nyg,64,38,26,24,12,-307.7492713928226,64
2022_01_PHI_DET,2022,1,det,phi,68,41,27,19,7,-568.6086833477016,68
2022_01_PHI_DET,2022,1,phi,det,74,46,28,30,19,166.60394296050129,74
2022_01_PIT_CIN,2022,1,cin,pit,99,70,29,54,34,62.9209637641904,99
2022_01_PIT_CIN,2022,1,pit,cin,61,42,19,27,16,429.7148115932945,61
2022_01_SF_CHI,2022,1,chi,sf,55,24,31,31,13,-974.4673229753969,55
2022_01_SF_CHI,2022,1,sf,chi,69,36,33,32,10,-1276.8602415919304,69
2022_01_TB_DAL,2022,1,dal,tb,68,50,18,26,12,-328.1311959028243,68
2022_01_TB_DAL,2022,1,tb,dal,60,29,31,21,8,-273.9245526492592,60
2022_02_ARI_LV,2022,2,ari,lv,85,58,27,14,9,-206.67809695005394,85
2022_02_ARI_LV,2022,2,lv,ari,67,44,23,22,13,228.80202829837802,67
2022_02_ATL_LA,2022,2,atl,lar,60,34,26,16,7,-684.68441516161,60
2022_02_ATL_LA,2022,2,lar,atl,63,37,26,8,4,456.404804438353,63
