game_id,play_id,drive,season,week,team,opponent,player_id,player_name,opportunity_type,yardline_100,rz_opportunity,inside_10_opportunity,goal_line_opportunity,touchdown
2026_01_ARI_LAC,1781,7,2026,1,ari,lac,00-0038559,Mi.Wilson,target,32,0,0,0,0
2026_01_ARI_LAC,1806,7,2026,1,ari,lac,00-0037744,T.McBride,target,22,0,0,0,0
2026_01_ARI_LAC,1836,7,2026,1,ari,lac,00-0033307,K.Bourne,target,22,0,0,0,0
2026_01_ARI_LAC,1861,7,2026,1,ari,lac,00-0037744,T.McBride,target,11,1,0,0,0
2026_01_ARI_LAC,1993,8,2026,1,lac,ari,00-0038544,Q.Johnston,target,77,0,0,0,0
2026_01_ARI_LAC,2018,8,2026,1,lac,ari,00-0040666,O.Hampton,carry,69,0,0,0,0
2026_01_ARI_LAC,2040,8,2026,1,lac,ari,00-0040666,O.Hampton,carry,63,0,0,0,0
2026_01_ARI_LAC,2131,8,2026,1,lac,ari,00-0040727,T.Harris,target,58,0,0,0,0
2026_01_ARI_LAC,2174,9,2026,1,ari,lac,00-0041027,J.Love,carry,90,0,0,0,0
2026_01_ARI_LAC,2203,9,2026,1,ari,lac,00-0039849,M.Harrison,target,88,0,0,0,0
2026_01_ARI_LAC,2228,9,2026,1,ari,lac,00-0041027,J.Love,carry,55,0,0,0,0
2026_01_ARI_LAC,2252,9,2026,1,ari,lac,00-0033307,K.Bourne,target,55,0,0,0,0
2026_01_ARI_LAC,2277,9,2026,1,ari,lac,00-0038559,Mi.Wilson,target,42,0,0,0,0
2026_01_ARI_LAC,2302,9,2026,1,ari,lac,00-0037263,T.Allgeier,carry,25,0,0,0,0
2026_01_ARI_LAC,2324,9,2026,1,ari,lac,00-0037263,T.Allgeier,carry,14,1,0,0,0
2026_01_ARI_LAC,2346,9,2026,1,ari,lac,00-0041027,J.Love,target,15,1,0,0,0
2026_01_ARI_LAC,2369,9,2026,1,ari,lac,00-0037744,T.McBride,target,15,1,0,0,0
2026_01_ARI_LAC,2481,10,2026,1,lac,ari,00-0040666,O.Hampton,carry,12,1,0,0,0
2026_01_ARI_LAC,2530,10,2026,1,lac,ari,00-0039915,L.McConkey,target,8,1,1,0,1
2026_01_ARI_LAC,2596,11,2026,1,ari,lac,00-0038559,Mi.Wilson,target,79,0,0,0,0
2026_01_ARI_LAC,2619,11,2026,1,ari,lac,00-0038559,Mi.Wilson,target,79,0,0,0,0
2026_01_ARI_LAC,2644,11,2026,1,ari,lac,00-0038559,Mi.Wilson,target,73,0,0,0,0
2026_01_ARI_LAC,2680,11,2026,1,ari,lac,00-0041027,J.Love,carry,59,0,0,0,0
2026_01_ARI_LAC,2702,11,2026,1,ari,lac,00-0037744,T.McBride,target,56,0,0,0,0
2026_01_ARI_LAC,2751,11,2026,1,ari,lac,00-0041027,J.Love,target,54,0,0,0,0
2026_01_ARI_LAC,2781,11,2026,1,ari,lac,00-0039849,M.Harrison,target,54,0,0,0,0
2026_01_ARI_LAC,2804,11,2026,1,ari,lac,00-0037744,T.McBride,target,54,0,0,0,0
2026_01_ARI_LAC,2849,12,2026,1,lac,ari,00-0040727,T.Harris,target,88,0,0,0,0
2026_01_ARI_LAC,2886,12,2026,1,lac,ari,00-0040666,O.Hampton,carry,82,0,0,0,0
2026_01_ARI_LAC,2932,12,2026,1,lac,ari,00-0040727,T.Harris,target,81,0,0,0,0
2026_01_ARI_LAC,2955,12,2026,1,lac,ari,00-0040666,O.Hampton,carry,81,0,0,0,0
2026_01_ARI_LAC,2977,12,2026,1,lac,ari,00-0039915,L.McConkey,target,82,0,0,0,0
2026_01_ARI_LAC,3035,13,2026,1,ari,lac,00-0041027,J.Love,carry,69,0,0,0,0
2026_01_ARI_LAC,3077,13,2026,1,ari,lac,00-0033307,K.Bourne,target,69,0,0,0,0
2026_01_ARI_LAC,3102,13,2026,1,ari,lac,00-0033307,K.Bourne,target,64,0,0,0,0
2026_01_ARI_LAC,3175,14,2026,1,lac,ari,00-0040727,T.Harris,target,84,0,0,0,0
2026_01_ARI_LAC,3200,14,2026,1,lac,ari,00-0038544,Q.Johnston,target,81,0,0,0,0
2026_01_ARI_LAC,3261,15,2026,1,ari,lac,00-0037263,T.Allgeier,carry,3,1,1,1,0
2026_01_ARI_LAC,3285,15,2026,1,ari,lac,00-0037744,T.McBride,target,3,1,1,1,1
2026_01_ARI_LAC,3347,16,2026,1,lac,ari,00-0038544,Q.Johnston,target,84,0,0,0,0
2026_01_ARI_LAC,3372,16,2026,1,lac,ari,00-0040666,O.Hampton,carry,75,0,0,0,0
2026_01_ARI_LAC,3394,16,2026,1,lac,ari,00-0033885,D.Njoku,target,73,0,0,0,0
2026_01_ARI_LAC,3419,16,2026,1,lac,ari,00-0038573,D.Davis,target,60,0,0,0,0
2026_01_ARI_LAC,3467,17,2026,1,ari,lac,00-0037263,T.Allgeier,carry,95,0,0,0,0
2026_01_ARI_LAC,3496,17,2026,1,ari,lac,00-0037263,T.Allgeier,carry,93,0,0,0,0
2026_01_ARI_LAC,3518,17,2026,1,ari,lac,00-0037744,T.McBride,target,89,0,0,0,0
2026_01_ARI_LAC,3543,17,2026,1,ari,lac,00-0037263,T.Allgeier,carry,83,0,0,0,0
2026_01_ARI_LAC,3565,17,2026,1,ari,lac,00-0037263,T.Allgeier,carry,76,0,0,0,0
2026_01_ARI_LAC,3587,17,2026,1,ari,lac,00-0037263,T.Allgeier,carry,69,0,0,0,0
2026_01_ARI_LAC,3609,17,2026,1,ari,lac,00-0041027,J.Love,carry,65,0,0,0,0
2026_01_ARI_LAC,3713,18,2026,1,lac,ari,00-0038544,Q.Johnston,target,69,0,0,0,0
2026_01_ARI_LAC,3821,18,2026,1,lac,ari,00-0040727,T.Harris,target,89,0,0,0,0
2026_01_ARI_LAC,3849,18,2026,1,lac,ari,00-0033885,D.Njoku,target,89,0,0,0,0
2026_01_ARI_LAC,3881,18,2026,1,lac,ari,00-0033885,D.Njoku,target,77,0,0,0,0
