window,signal,group,n,games,ats_w,ats_l,ats_p,ats_cover_rate,ats_wilson_low,ats_wilson_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_win_rate,mean_score_margin,median_score_margin,opponent_points_mean,opponent_pass_epa_per_play_mean,opponent_pass_success_rate_mean,defense_sack_rate_mean,offense_pass_epa_per_play_mean,offense_pass_success_rate_mean,offense_rush_epa_per_play_mean,offense_rush_success_rate_mean
"2026 Week 2 same-season","run_stop","20+","2","2","1","1","0","0.5","0.095","0.905","4","4","1","1","0","0.5","3.5","3.5","13.5","-0.144","0.386","0.081","0.088","0.452","-0.124","0.415"
"2026 Week 2 same-season","run_stop_raw_percentile","5/31+","13","10","6","7","0","0.462","0.232","0.709","2.423","-3","8","5","0","0.615","2.231","4","22.077","0.146","0.475","0.057","0.212","0.464","-0.173","0.425"
"2026 Week 2 same-season","run_stop_raw_percentile","10/31+","8","7","3","5","0","0.375","0.137","0.694","-0.313","-3.75","4","4","0","0.5","-1.25","-3","21","0.108","0.438","0.073","0.139","0.437","-0.237","0.413"
"2026 Week 2 same-season","run_stop_raw_percentile","15/31+","5","5","3","2","0","0.6","0.231","0.882","6.8","10.5","4","1","0","0.8","5.8","6","12.8","-0.069","0.367","0.084","0.118","0.416","-0.205","0.394"
"2026 Week 2 same-season","run_stop_raw_percentile","20/31+","1","1","1","0","0","1","0.207","1","20.5","20.5","1","0","0","1","24","24","7","-0.224","0.324","0.059","0.598","0.536","-0.174","0.45"
"2026 Week 2 same-season","elite_prwr_poor_pbwr","top5_bottom5","1","1","1","0","0","1","0.207","1","0.5","0.5","0","1","0","0","-3","-3","20","0.055","0.297","0.079","0.13","0.449","-0.537","0.375"
"2026 Week 2 same-season","elite_prwr_poor_pbwr","top8_bottom8","1","1","1","0","0","1","0.207","1","0.5","0.5","0","1","0","0","-3","-3","20","0.055","0.297","0.079","0.13","0.449","-0.537","0.375"
"2026 Week 2 same-season","elite_prwr_poor_pbwr","top10_bottom10","2","2","2","0","0","1","0.342","1","1.75","1.75","0","2","0","0","-3","-3","26.5","0.153","0.418","0.059","0.177","0.467","-0.175","0.471"
"2026 Week 2 same-season","elite_prwr_poor_pbwr","top12_bottom12","2","2","2","0","0","1","0.342","1","1.75","1.75","0","2","0","0","-3","-3","26.5","0.153","0.418","0.059","0.177","0.467","-0.175","0.471"
"2026 Week 2 same-season","trench_wins","0/4","2","2","1","1","0","0.5","0.095","0.905","1.25","1.25","1","1","0","0.5","-0.5","-0.5","20.5","0.15","0.445","0.076","0.046","0.329","-0.232","0.405"
"2026 Week 2 same-season","trench_wins","1/4","7","7","3","4","0","0.429","0.158","0.75","-2","-4.5","2","5","0","0.286","-3.286","-6","19.571","0.173","0.471","0.047","0.062","0.405","-0.107","0.471"
"2026 Week 2 same-season","trench_wins","2/4","16","9","9","7","0","0.563","0.332","0.769","1.563","4.5","9","7","0","0.563","1.938","5.5","20.938","0.074","0.45","0.066","0.152","0.473","-0.225","0.444"
"2026 Week 2 same-season","trench_wins","3/4","5","5","2","3","0","0.4","0.118","0.769","-2.2","-3","3","2","0","0.6","-1.6","3","18.8","0.156","0.43","0.071","0.061","0.45","-0.131","0.475"
"2026 Week 2 same-season","trench_wins","4/4","2","2","1","1","0","0.5","0.095","0.905","-1.25","-1.25","1","1","0","0.5","0.5","0.5","20","0.046","0.329","0.079","0.15","0.445","-0.333","0.369"
"2026 Week 2 same-season","trench_wins","3+/4","7","7","3","4","0","0.429","0.158","0.75","-1.929","-3","4","3","0","0.571","-1","3","19.143","0.125","0.401","0.073","0.086","0.449","-0.189","0.445"
"2026 Week 2 same-season","trench_wins","4+/4","2","2","1","1","0","0.5","0.095","0.905","-1.25","-1.25","1","1","0","0.5","0.5","0.5","20","0.046","0.329","0.079","0.15","0.445","-0.333","0.369"
"2026 Week 2 same-season","pass_composite","both_positive","4","4","2","2","0","0.5","0.15","0.85","-5.375","-1.25","2","2","0","0.5","-2","0.5","21.75","0.127","0.357","0.084","0.131","0.503","-0.274","0.449"
"2026 Week 2 same-season","pass_composite","both_10_plus","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_composite","one_15_other_positive","2","2","2","0","0","1","0.342","1","5","5","1","1","0","0.5","9.5","9.5","16.5","0.098","0.31","0.104","0.521","0.613","-0.391","0.448"
"2026 Week 2 same-season","pass_composite","top_quartile_composite","9","9","6","3","0","0.667","0.354","0.879","0.833","3","5","4","0","0.556","0.222","4","18.667","0.083","0.398","0.074","0.053","0.44","-0.204","0.429"
"2026 Week 2 same-season","pass_rush_10plus_market","favorite","2","2","1","1","0","0.5","0.095","0.905","8.75","8.75","2","0","0","1","14","14","13.5","-0.093","0.342","0.069","0.384","0.489","-0.151","0.407"
"2026 Week 2 same-season","pass_rush_10plus_market","underdog","5","5","4","1","0","0.8","0.376","0.964","2.4","3","2","3","0","0.4","-2.4","-3","20.2","0.162","0.415","0.066","0.074","0.399","-0.28","0.456"
"2026 Week 2 same-season","pass_rush_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_rush_10plus_market","home","2","2","1","1","0","0.5","0.095","0.905","-10","-10","0","2","0","0","-13.5","-13.5","25.5","0.327","0.417","0.057","-0.047","0.386","-0.47","0.469"
"2026 Week 2 same-season","pass_rush_10plus_market","away","5","5","4","1","0","0.8","0.376","0.964","9.9","10.5","4","1","0","0.8","8.6","6","15.4","-0.006","0.385","0.071","0.247","0.44","-0.153","0.432"
"2026 Week 2 same-season","pass_rush_10plus_market","neutral","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_rush_10plus_market","favorite_0-3","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_rush_10plus_market","favorite_3.5-6.5","1","1","1","0","0","1","0.207","1","20.5","20.5","1","0","0","1","24","24","7","-0.224","0.324","0.059","0.598","0.536","-0.174","0.45"
