window,signal,group,n,games,ats_w,ats_l,ats_p,ats_cover_rate,ats_wilson_low,ats_wilson_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_win_rate,mean_score_margin,median_score_margin,opponent_points_mean,opponent_pass_epa_per_play_mean,opponent_pass_success_rate_mean,defense_sack_rate_mean,offense_pass_epa_per_play_mean,offense_pass_success_rate_mean,offense_rush_epa_per_play_mean,offense_rush_success_rate_mean
"2026 Week 1 prior-season","run_block","15-19","1","1","0","1","0","0","0","0.793","-11","-11","0","1","0","0","-8","-8","28","0.667","0.636","0.061","0.425","0.463","-0.1","0.588"
"2026 Week 1 prior-season","run_block","20+","3","3","2","1","0","0.667","0.208","0.939","5.333","15.5","2","1","0","0.667","6","17","30","0.057","0.451","0.063","0.106","0.397","-0.07","0.528"
"2026 Week 1 prior-season","run_block","5+","11","10","6","5","0","0.545","0.28","0.787","-2","2.5","5","6","0","0.455","-2.182","-1","30.182","0.149","0.517","0.054","0.069","0.433","-0.061","0.532"
"2026 Week 1 prior-season","run_block","10+","4","4","2","2","0","0.5","0.15","0.85","1.25","2.25","2","2","0","0.5","2.5","4.5","29.5","0.209","0.498","0.062","0.185","0.414","-0.077","0.543"
"2026 Week 1 prior-season","run_block","15+","4","4","2","2","0","0.5","0.15","0.85","1.25","2.25","2","2","0","0.5","2.5","4.5","29.5","0.209","0.498","0.062","0.185","0.414","-0.077","0.543"
"2026 Week 1 prior-season","run_block","20+","3","3","2","1","0","0.667","0.208","0.939","5.333","15.5","2","1","0","0.667","6","17","30","0.057","0.451","0.063","0.106","0.397","-0.07","0.528"
"2026 Week 1 prior-season","run_block_raw_percentile","5/31+","8","7","4","4","0","0.5","0.215","0.785","-2","-4.25","4","4","0","0.5","-0.5","-1","29.5","0.1","0.51","0.059","0.043","0.435","-0.027","0.558"
"2026 Week 1 prior-season","run_block_raw_percentile","10/31+","4","4","2","2","0","0.5","0.15","0.85","1.25","2.25","2","2","0","0.5","2.5","4.5","29.5","0.209","0.498","0.062","0.185","0.414","-0.077","0.543"
"2026 Week 1 prior-season","run_block_raw_percentile","15/31+","4","4","2","2","0","0.5","0.15","0.85","1.25","2.25","2","2","0","0.5","2.5","4.5","29.5","0.209","0.498","0.062","0.185","0.414","-0.077","0.543"
"2026 Week 1 prior-season","run_block_raw_percentile","20/31+","3","3","2","1","0","0.667","0.208","0.939","5.333","15.5","2","1","0","0.667","6","17","30","0.057","0.451","0.063","0.106","0.397","-0.07","0.528"
"2026 Week 1 prior-season","run_stop","all","32","16","15","15","2","0.5","0.332","0.668","0","0","16","16","0","0.5","0","0","24.719","0.076","0.449","0.06","0.076","0.449","-0.093","0.498"
"2026 Week 1 prior-season","run_stop","<=0","16","14","6","9","1","0.4","0.198","0.643","0.125","-1.5","7","9","0","0.438","0.375","-4","25.75","0.078","0.438","0.057","0.069","0.471","-0.062","0.515"
"2026 Week 1 prior-season","run_stop","1-4","6","6","3","3","0","0.5","0.188","0.812","-1.417","-1.75","4","2","0","0.667","-0.167","4","26.667","0.059","0.464","0.059","-0.006","0.421","-0.124","0.446"
"2026 Week 1 prior-season","run_stop","5-9","2","2","1","0","1","1","0.207","1","2","2","1","1","0","0.5","0.5","0.5","17","0.131","0.392","0.078","0.178","0.425","-0.121","0.497"
"2026 Week 1 prior-season","run_stop","10-14","6","6","4","2","0","0.667","0.3","0.903","0.083","4.75","3","3","0","0.5","0.5","2","23.333","0.111","0.497","0.058","0.197","0.434","-0.122","0.514"
"2026 Week 1 prior-season","run_stop","15-19","1","1","1","0","0","1","0.207","1","20.5","20.5","1","0","0","1","12","12","14","-0.087","0.359","0.077","0.27","0.524","-0.044","0.4"
"2026 Week 1 prior-season","run_stop","20+","1","1","0","1","0","0","0","0.793","-18.5","-18.5","0","1","0","0","-21","-21","31","-0.014","0.441","0.059","-0.442","0.314","-0.228","0.533"
"2026 Week 1 prior-season","run_stop","5+","10","10","6","3","1","0.667","0.354","0.879","0.65","3.75","5","5","0","0.5","-0.5","1","21.9","0.083","0.457","0.064","0.137","0.429","-0.124","0.501"
"2026 Week 1 prior-season","run_stop","10+","8","8","5","3","0","0.625","0.306","0.863","0.313","4.75","4","4","0","0.5","-0.75","2","23.125","0.071","0.473","0.06","0.127","0.43","-0.125","0.502"
"2026 Week 1 prior-season","run_stop","15+","2","2","1","1","0","0.5","0.095","0.905","1","1","1","1","0","0.5","-4.5","-4.5","22.5","-0.051","0.4","0.068","-0.086","0.419","-0.136","0.467"
"2026 Week 1 prior-season","run_stop","20+","1","1","0","1","0","0","0","0.793","-18.5","-18.5","0","1","0","0","-21","-21","31","-0.014","0.441","0.059","-0.442","0.314","-0.228","0.533"
"2026 Week 1 prior-season","run_stop_raw_percentile","5/31+","13","11","6","6","1","0.5","0.254","0.746","-1.846","0","6","7","0","0.462","-3.154","-1","23.231","0.134","0.462","0.054","0.082","0.415","-0.148","0.479"
"2026 Week 1 prior-season","run_stop_raw_percentile","10/31+","4","4","2","2","0","0.5","0.15","0.85","-1.375","-3.75","2","2","0","0.5","-3","-1.5","26","0.166","0.469","0.065","0.213","0.436","-0.159","0.472"
"2026 Week 1 prior-season","run_stop_raw_percentile","15/31+","1","1","0","1","0","0","0","0.793","-18.5","-18.5","0","1","0","0","-21","-21","31","-0.014","0.441","0.059","-0.442","0.314","-0.228","0.533"
"2026 Week 1 prior-season","run_stop_raw_percentile","20/31+","1","1","0","1","0","0","0","0.793","-18.5","-18.5","0","1","0","0","-21","-21","31","-0.014","0.441","0.059","-0.442","0.314","-0.228","0.533"
"2026 Week 1 prior-season","elite_prwr_poor_pbwr","top5_bottom5","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","elite_prwr_poor_pbwr","top8_bottom8","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","elite_prwr_poor_pbwr","top10_bottom10","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","elite_prwr_poor_pbwr","top12_bottom12","2","2","0","2","0","0","0","0.658","-9","-9","0","2","0","0","-11.5","-11.5","36","0.089","0.402","0.059","-0.114","0.489","-0.16","0.417"
"2026 Week 1 prior-season","trench_wins","0/4","4","4","1","2","1","0.333","0.061","0.792","4.875","-0.25","1","3","0","0.25","1.25","-4","19","0.068","0.42","0.042","-0.046","0.437","-0.098","0.51"
"2026 Week 1 prior-season","trench_wins","1/4","7","7","3","4","0","0.429","0.158","0.75","-1.643","-6","4","3","0","0.571","0.857","1","26","0.092","0.446","0.06","0.195","0.493","-0.096","0.494"
"2026 Week 1 prior-season","trench_wins","2/4","10","5","5","5","0","0.5","0.237","0.763","0","0","5","5","0","0.5","0","0","26.4","0.034","0.435","0.061","0.034","0.435","-0.052","0.501"
"2026 Week 1 prior-season","trench_wins","3/4","8","8","5","3","0","0.625","0.306","0.863","1.5","3.25","4","4","0","0.5","0.125","3","25.125","0.091","0.468","0.072","0.049","0.433","-0.095","0.498"
"2026 Week 1 prior-season","trench_wins","4/4","3","3","1","1","1","0.5","0.095","0.905","-6.667","0","2","1","0","0.667","-4","3","22.667","0.151","0.488","0.044","0.175","0.446","-0.21","0.479"
"2026 Week 1 prior-season","trench_wins","3+/4","11","11","6","4","1","0.6","0.313","0.832","-0.727","0.5","6","5","0","0.545","-1","3","24.455","0.107","0.473","0.064","0.083","0.436","-0.126","0.493"
"2026 Week 1 prior-season","trench_wins","4+/4","3","3","1","1","1","0.5","0.095","0.905","-6.667","0","2","1","0","0.667","-4","3","22.667","0.151","0.488","0.044","0.175","0.446","-0.21","0.479"
"2026 Week 1 prior-season","pass_composite","both_positive","7","7","3","3","1","0.5","0.188","0.812","-3.643","0","4","3","0","0.571","-1.429","3","21.429","-0.009","0.438","0.061","-0.003","0.446","-0.134","0.477"
"2026 Week 1 prior-season","pass_composite","both_10_plus","1","1","0","1","0","0","0","0.793","-2.5","-2.5","0","1","0","0","-6","-6","33","-0.03","0.5","0.026","-0.168","0.564","0.118","0.471"
"2026 Week 1 prior-season","pass_composite","one_15_other_positive","3","3","1","2","0","0.333","0.061","0.792","-7.5","-2.5","1","2","0","0.333","-7","-6","30.333","0.098","0.511","0.03","0.053","0.467","-0.105","0.477"
"2026 Week 1 prior-season","pass_composite","top_quartile_composite","9","9","5","3","1","0.625","0.306","0.863","2","0.5","6","3","0","0.667","3.111","5","23.444","-0.015","0.441","0.053","0.121","0.483","-0.073","0.475"
"2026 Week 1 prior-season","pass_rush_10plus_market","favorite","2","2","1","1","0","0.5","0.095","0.905","-7","-7","1","1","0","0.5","-3","-3","18","-0.15","0.375","0.071","-0.202","0.408","-0.174","0.444"
"2026 Week 1 prior-season","pass_rush_10plus_market","underdog","4","4","2","2","0","0.5","0.15","0.85","3.375","4.25","2","2","0","0.5","-0.75","1","26.5","0.129","0.406","0.049","0.178","0.534","-0.076","0.452"
"2026 Week 1 prior-season","pass_rush_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_rush_10plus_market","home","3","3","2","1","0","0.667","0.208","0.939","-1","0.5","2","1","0","0.667","0.667","7","18.667","0.041","0.404","0.048","0.088","0.484","-0.097","0.488"
"2026 Week 1 prior-season","pass_rush_10plus_market","away","3","3","1","2","0","0.333","0.061","0.792","0.833","-2.5","1","2","0","0.333","-3.667","-6","28.667","0.03","0.387","0.065","0.014","0.5","-0.121","0.411"
"2026 Week 1 prior-season","pass_rush_10plus_market","neutral","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_rush_10plus_market","favorite_0-3","1","1","0","1","0","0","0","0.793","-14.5","-14.5","0","1","0","0","-13","-13","23","0.338","0.464","0","-0.152","0.475","-0.096","0.5"
"2026 Week 1 prior-season","pass_rush_10plus_market","favorite_3.5-6.5","1","1","1","0","0","1","0.207","1","0.5","0.5","1","0","0","1","7","7","13","-0.638","0.286","0.143","-0.251","0.34","-0.252","0.389"
"2026 Week 1 prior-season","pass_rush_10plus_market","favorite_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_rush_10plus_market","underdog_0-3","2","2","1","1","0","0.5","0.095","0.905","-2.25","-2.25","1","1","0","0.5","-4.5","-4.5","29.5","0.316","0.383","0.045","0.304","0.525","-0.189","0.47"
"2026 Week 1 prior-season","pass_rush_10plus_market","underdog_3.5-6.5","1","1","0","1","0","0","0","0.793","-2.5","-2.5","0","1","0","0","-6","-6","33","-0.03","0.5","0.026","-0.168","0.564","0.118","0.471"
"2026 Week 1 prior-season","pass_rush_10plus_market","underdog_7+","1","1","1","0","0","1","0.207","1","20.5","20.5","1","0","0","1","12","12","14","-0.087","0.359","0.077","0.27","0.524","-0.044","0.4"
"2026 Week 1 prior-season","pass_protection_10plus_market","favorite","4","4","3","1","0","0.75","0.301","0.954","3.5","9.25","3","1","0","0.75","6.25","11.5","29.5","0.039","0.483","0.041","0.299","0.486","-0.047","0.509"
"2026 Week 1 prior-season","pass_protection_10plus_market","underdog","1","1","0","1","0","0","0","0.793","-2.5","-2.5","0","1","0","0","-6","-6","33","-0.03","0.5","0.026","-0.168","0.564","0.118","0.471"
"2026 Week 1 prior-season","pass_protection_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_protection_10plus_market","home","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_protection_10plus_market","away","4","4","3","1","0","0.75","0.301","0.954","8.75","9.25","3","1","0","0.75","9.75","11.5","31","-0.025","0.459","0.047","0.324","0.529","0.025","0.479"
"2026 Week 1 prior-season","pass_protection_10plus_market","neutral","1","1","0","1","0","0","0","0.793","-23.5","-23.5","0","1","0","0","-20","-20","27","0.227","0.595","0","-0.27","0.394","-0.171","0.593"
"2026 Week 1 prior-season","pass_protection_10plus_market","favorite_0-3","3","3","3","0","0","1","0.438","1","12.5","15","3","0","0","1","15","18","30.333","-0.023","0.446","0.054","0.488","0.517","-0.006","0.482"
"2026 Week 1 prior-season","pass_protection_10plus_market","favorite_3.5-6.5","1","1","0","1","0","0","0","0.793","-23.5","-23.5","0","1","0","0","-20","-20","27","0.227","0.595","0","-0.27","0.394","-0.171","0.593"
"2026 Week 1 prior-season","pass_protection_10plus_market","favorite_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_protection_10plus_market","underdog_0-3","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_protection_10plus_market","underdog_3.5-6.5","1","1","0","1","0","0","0","0.793","-2.5","-2.5","0","1","0","0","-6","-6","33","-0.03","0.5","0.026","-0.168","0.564","0.118","0.471"
"2026 Week 1 prior-season","pass_protection_10plus_market","underdog_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_block_10plus_market","favorite","3","3","2","1","0","0.667","0.208","0.939","7.833","15.5","2","1","0","0.667","10.333","17","29","0.284","0.516","0.064","0.394","0.447","-0.027","0.546"
"2026 Week 1 prior-season","run_block_10plus_market","underdog","1","1","0","1","0","0","0","0.793","-18.5","-18.5","0","1","0","0","-21","-21","31","-0.014","0.441","0.059","-0.442","0.314","-0.228","0.533"
"2026 Week 1 prior-season","run_block_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_block_10plus_market","home","1","1","1","0","0","1","0.207","1","15.5","15.5","1","0","0","1","17","17","22","-0.059","0.413","0.087","0.208","0.303","-0.125","0.536"
"2026 Week 1 prior-season","run_block_10plus_market","away","3","3","1","2","0","0.333","0.061","0.792","-3.5","-11","1","2","0","0.333","-2.333","-8","32","0.299","0.526","0.054","0.178","0.451","-0.062","0.545"
"2026 Week 1 prior-season","run_block_10plus_market","neutral","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_block_10plus_market","favorite_0-3","3","3","2","1","0","0.667","0.208","0.939","7.833","15.5","2","1","0","0.667","10.333","17","29","0.284","0.516","0.064","0.394","0.447","-0.027","0.546"
"2026 Week 1 prior-season","run_block_10plus_market","favorite_3.5-6.5","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_block_10plus_market","favorite_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_block_10plus_market","underdog_0-3","1","1","0","1","0","0","0","0.793","-18.5","-18.5","0","1","0","0","-21","-21","31","-0.014","0.441","0.059","-0.442","0.314","-0.228","0.533"
"2026 Week 1 prior-season","run_block_10plus_market","underdog_3.5-6.5","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_block_10plus_market","underdog_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_stop_10plus_market","favorite","4","4","2","2","0","0.5","0.15","0.85","-5","-3.75","2","2","0","0.5","-2.25","-1.5","24.75","0.202","0.505","0.062","0.195","0.427","-0.154","0.524"
"2026 Week 1 prior-season","run_stop_10plus_market","underdog","4","4","3","1","0","0.75","0.301","0.954","5.625","10.25","2","2","0","0.5","0.75","5.5","21.5","-0.06","0.441","0.059","0.058","0.433","-0.096","0.481"
"2026 Week 1 prior-season","run_stop_10plus_market","pickem","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_stop_10plus_market","home","1","1","1","0","0","1","0.207","1","11","11","1","0","0","1","14","14","13","-0.183","0.35","0.125","0.027","0.406","-0.083","0.545"
"2026 Week 1 prior-season","run_stop_10plus_market","away","6","6","4","2","0","0.667","0.3","0.903","2.5","4.75","3","3","0","0.5","0","2","24.167","0.087","0.473","0.06","0.209","0.44","-0.125","0.48"
"2026 Week 1 prior-season","run_stop_10plus_market","neutral","1","1","0","1","0","0","0","0.793","-23.5","-23.5","0","1","0","0","-20","-20","27","0.227","0.595","0","-0.27","0.394","-0.171","0.593"
"2026 Week 1 prior-season","run_stop_10plus_market","favorite_0-3","3","3","2","1","0","0.667","0.208","0.939","1.167","3.5","2","1","0","0.667","3.667","5","24","0.194","0.475","0.083","0.35","0.438","-0.148","0.501"
"2026 Week 1 prior-season","run_stop_10plus_market","favorite_3.5-6.5","1","1","0","1","0","0","0","0.793","-23.5","-23.5","0","1","0","0","-20","-20","27","0.227","0.595","0","-0.27","0.394","-0.171","0.593"
"2026 Week 1 prior-season","run_stop_10plus_market","favorite_7+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_stop_10plus_market","underdog_0-3","2","2","1","1","0","0.5","0.095","0.905","-2","-2","1","1","0","0.5","-4","-4","20.5","-0.083","0.458","0.067","-0.052","0.389","-0.133","0.544"
"2026 Week 1 prior-season","run_stop_10plus_market","underdog_3.5-6.5","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","run_stop_10plus_market","underdog_7+","2","2","2","0","0","1","0.342","1","13.25","13.25","1","1","0","0.5","5.5","5.5","22.5","-0.038","0.423","0.051","0.169","0.477","-0.06","0.417"
"2026 Week 1 prior-season","pass_rush_volume","10plus_opponent_pregame_pass_rate_above_median","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 2 same-season","pass_rush","all","32","16","16","16","0","0.5","0.336","0.664","0","0","16","16","0","0.5","0","0","20.219","0.111","0.444","0.064","0.111","0.444","-0.192","0.448"
"2026 Week 2 same-season","pass_rush","<=0","18","11","9","9","0","0.5","0.29","0.71","1.194","1.25","9","9","0","0.5","0.444","-0.5","20.333","0.098","0.471","0.059","0.097","0.438","-0.185","0.42"
"2026 Week 2 same-season","pass_rush","1-4","4","4","0","4","0","0","0","0.49","-15.125","-14.5","1","3","0","0.25","-11.5","-9","24.75","0.185","0.418","0.058","-0.133","0.395","-0.235","0.486"
"2026 Week 2 same-season","pass_rush","5-9","3","2","2","1","0","0.667","0.208","0.939","3.167","9.5","2","1","0","0.667","7.333","7","18","0.149","0.434","0.092","0.406","0.586","-0.055","0.577"
"2026 Week 2 same-season","pass_rush","10-14","4","3","2","2","0","0.5","0.15","0.85","3.875","7.75","3","1","0","0.75","4","8","18","0.086","0.393","0.065","0.194","0.439","-0.301","0.409"
"2026 Week 2 same-season","pass_rush","15-19","2","2","2","0","0","1","0.342","1","6.75","6.75","1","1","0","0.5","1.5","1.5","18","0.113","0.444","0.065","0.118","0.383","0.018","0.543"
"2026 Week 2 same-season","pass_rush","20+","1","1","1","0","0","1","0.207","1","0.5","0.5","0","1","0","0","-3","-3","20","0.055","0.297","0.079","0.13","0.449","-0.537","0.375"
"2026 Week 2 same-season","pass_rush","5+","10","8","7","3","0","0.7","0.397","0.892","3.9","6.25","6","4","0","0.6","3.8","5","18.2","0.107","0.406","0.075","0.236","0.473","-0.187","0.483"
"2026 Week 2 same-season","pass_rush","10+","7","6","5","2","0","0.714","0.359","0.918","4.214","3","4","3","0","0.571","2.286","4","18.286","0.089","0.394","0.067","0.163","0.424","-0.243","0.442"
"2026 Week 2 same-season","pass_rush","15+","3","3","3","0","0","1","0.438","1","4.667","3","1","2","0","0.333","0","-3","18.667","0.094","0.395","0.069","0.122","0.405","-0.167","0.487"
"2026 Week 2 same-season","pass_rush","20+","1","1","1","0","0","1","0.207","1","0.5","0.5","0","1","0","0","-3","-3","20","0.055","0.297","0.079","0.13","0.449","-0.537","0.375"
"2026 Week 2 same-season","pass_rush_raw_percentile","5/31+","10","8","7","3","0","0.7","0.397","0.892","3.9","6.25","6","4","0","0.6","3.8","5","18.2","0.107","0.406","0.075","0.236","0.473","-0.187","0.483"
"2026 Week 2 same-season","pass_rush_raw_percentile","10/31+","7","6","5","2","0","0.714","0.359","0.918","4.214","3","4","3","0","0.571","2.286","4","18.286","0.089","0.394","0.067","0.163","0.424","-0.243","0.442"
"2026 Week 2 same-season","pass_rush_raw_percentile","15/31+","3","3","3","0","0","1","0.438","1","4.667","3","1","2","0","0.333","0","-3","18.667","0.094","0.395","0.069","0.122","0.405","-0.167","0.487"
"2026 Week 2 same-season","pass_rush_raw_percentile","20/31+","1","1","1","0","0","1","0.207","1","0.5","0.5","0","1","0","0","-3","-3","20","0.055","0.297","0.079","0.13","0.449","-0.537","0.375"
"2026 Week 2 same-season","pass_protection","all","32","16","16","16","0","0.5","0.336","0.664","0","0","16","16","0","0.5","0","0","20.219","0.111","0.444","0.064","0.111","0.444","-0.192","0.448"
"2026 Week 2 same-season","pass_protection","<=0","15","10","7","8","0","0.467","0.248","0.699","1.133","-0.5","7","8","0","0.467","0.067","-3","19.533","0.143","0.455","0.058","0.113","0.406","-0.176","0.455"
"2026 Week 2 same-season","pass_protection","1-4","7","6","4","3","0","0.571","0.25","0.842","1.857","0.5","4","3","0","0.571","1.429","4","15.857","-0.122","0.364","0.084","0.086","0.441","-0.351","0.381"
"2026 Week 2 same-season","pass_protection","5-9","3","3","2","1","0","0.667","0.208","0.939","-1.167","4.5","2","1","0","0.667","4.333","7","22.333","0.24","0.468","0.066","0.172","0.494","0.081","0.574"
"2026 Week 2 same-season","pass_protection","10-14","3","3","0","3","0","0","0","0.562","-15.5","-13.5","0","3","0","0","-19.333","-17","37.333","0.416","0.556","0.051","-0.032","0.469","-0.172","0.471"
"2026 Week 2 same-season","pass_protection","15-19","2","2","2","0","0","1","0.342","1","13","13","2","0","0","1","17","17","11.5","-0.164","0.445","0.041","0.199","0.535","-0.123","0.41"
"2026 Week 2 same-season","pass_protection","20+","2","2","1","1","0","0.5","0.095","0.905","-3","-3","1","1","0","0.5","0","0","20.5","0.323","0.434","0.08","0.23","0.532","-0.262","0.435"
"2026 Week 2 same-season","pass_protection","5+","10","8","5","5","0","0.5","0.237","0.763","-3","0","5","5","0","0.5","-1.1","1.5","24.3","0.228","0.483","0.059","0.128","0.502","-0.105","0.482"
"2026 Week 2 same-season","pass_protection","10+","7","6","3","4","0","0.429","0.158","0.75","-3.786","-4.5","3","4","0","0.429","-3.429","-10","25.143","0.224","0.489","0.056","0.109","0.506","-0.184","0.443"
"2026 Week 2 same-season","pass_protection","15+","4","4","3","1","0","0.75","0.301","0.954","5","11","3","1","0","0.75","8.5","17","16","0.079","0.439","0.06","0.215","0.533","-0.193","0.422"
"2026 Week 2 same-season","pass_protection","20+","2","2","1","1","0","0.5","0.095","0.905","-3","-3","1","1","0","0.5","0","0","20.5","0.323","0.434","0.08","0.23","0.532","-0.262","0.435"
"2026 Week 2 same-season","pass_protection_raw_percentile","5/31+","10","8","5","5","0","0.5","0.237","0.763","-3","0","5","5","0","0.5","-1.1","1.5","24.3","0.228","0.483","0.059","0.128","0.502","-0.105","0.482"
"2026 Week 2 same-season","pass_protection_raw_percentile","10/31+","6","5","3","3","0","0.5","0.188","0.812","-3.667","-2","3","3","0","0.5","-2.333","0","22.5","0.175","0.471","0.058","0.044","0.499","-0.173","0.464"
"2026 Week 2 same-season","pass_protection_raw_percentile","15/31+","4","4","3","1","0","0.75","0.301","0.954","5","11","3","1","0","0.75","8.5","17","16","0.079","0.439","0.06","0.215","0.533","-0.193","0.422"
"2026 Week 2 same-season","pass_protection_raw_percentile","20/31+","2","2","1","1","0","0.5","0.095","0.905","-3","-3","1","1","0","0.5","0","0","20.5","0.323","0.434","0.08","0.23","0.532","-0.262","0.435"
