game_id,season,week,team,opponent,eligible_plays,off_epa_sum,success_num,success_den,explosive_count
2023_01_ARI_WAS,2023,1,wsh,ari,71,-15.791868072977513,28,71,5
2023_01_ARI_WAS,2023,1,ari,wsh,62,-21.592579572360894,21,62,4
2023_01_BUF_NYJ,2023,1,buf,nyj,68,-5.383819890350576,31,68,8
2023_01_BUF_NYJ,2023,1,nyj,buf,52,-1.5543213815769426,21,52,7
2023_01_CAR_ATL,2023,1,atl,car,50,-6.94678992668232,16,50,7
2023_01_CAR_ATL,2023,1,car,atl,77,-19.917706234006115,28,77,6
2023_01_CIN_CLE,2023,1,cin,cle,54,-22.218074643760566,12,54,2
2023_01_CIN_CLE,2023,1,cle,cin,73,-11.84940859633322,30,73,12
2023_01_DAL_NYG,2023,1,nyg,dal,70,-29.896532583398184,24,70,3
2023_01_DAL_NYG,2023,1,dal,nyg,58,8.434392308396355,25,58,6
2023_01_DET_KC,2023,1,det,kc,67,1.7341355005628494,35,67,8
2023_01_DET_KC,2023,1,kc,det,65,-7.700536210433087,31,65,6
2023_01_GB_CHI,2023,1,chi,gb,72,-13.15195967555512,31,72,7
2023_01_GB_CHI,2023,1,gb,chi,60,9.342081415214261,22,60,7
2023_01_HOU_BAL,2023,1,bal,hou,63,-3.6254898442226433,25,63,7
2023_01_HOU_BAL,2023,1,hou,bal,76,-22.25614851183541,30,76,3
2023_01_JAX_IND,2023,1,ind,jax,72,-26.861798160825835,26,72,5
2023_01_JAX_IND,2023,1,jax,ind,69,-16.815314611996026,35,69,6
2023_01_LA_SEA,2023,1,sea,lar,50,-1.8817766603677817,24,49,3
2023_01_LA_SEA,2023,1,lar,sea,81,20.55118243815617,34,81,9
2023_01_LV_DEN,2023,1,lv,den,55,9.497629278152088,25,55,5
2023_01_LV_DEN,2023,1,den,lv,63,4.494073462202753,28,63,8
2023_01_MIA_LAC,2023,1,mia,lac,65,22.07154928351115,35,65,20
2023_01_MIA_LAC,2023,1,lac,mia,80,13.604184934572439,49,80,10
2023_01_PHI_NE,2023,1,phi,ne,65,-8.735087321702816,21,65,5
2023_01_PHI_NE,2023,1,ne,phi,79,-15.154893718368822,36,78,8
2023_01_SF_PIT,2023,1,pit,sf,62,-18.31406912364764,24,62,4
2023_01_SF_PIT,2023,1,sf,pit,65,8.29890290720882,30,65,12
2023_01_TB_MIN,2023,1,min,tb,64,-6.329777444208789,27,64,8
2023_01_TB_MIN,2023,1,tb,min,65,-6.79009291768577,29,65,2
2023_01_TEN_NO,2023,1,ten,no,63,-11.129405599699373,21,63,7
2023_01_TEN_NO,2023,1,no,ten,63,-4.25945265254345,28,63,9
2023_02_BAL_CIN,2023,2,bal,cin,74,16.619662353710652,40,74,9
2023_02_BAL_CIN,2023,2,cin,bal,60,2.7380908761715728,29,60,5
2023_02_CHI_TB,2023,2,tb,chi,69,13.242188408431147,30,69,10
2023_02_CHI_TB,2023,2,chi,tb,52,-8.914165219490041,19,52,6
2023_02_CLE_PIT,2023,2,cle,pit,85,-21.31276100129896,35,85,7
2023_02_CLE_PIT,2023,2,pit,cle,50,-19.04325642346335,15,50,7
2023_02_GB_ATL,2023,2,gb,atl,49,9.382799477161573,25,49,5
2023_02_GB_ATL,2023,2,atl,gb,81,7.840939784767538,41,81,11
2023_02_IND_HOU,2023,2,ind,hou,57,13.141674168900735,29,57,7
2023_02_IND_HOU,2023,2,hou,ind,81,-0.2560938067852875,32,81,11
2023_02_KC_JAX,2023,2,jax,kc,66,-17.06787577040873,26,66,4
2023_02_KC_JAX,2023,2,kc,jax,64,6.577017895338164,29,64,8
2023_02_LAC_TEN,2023,2,lac,ten,67,4.108065904036838,30,67,7
2023_02_LAC_TEN,2023,2,ten,lac,65,5.146716973205106,35,65,7
2023_02_LV_BUF,2023,2,lv,buf,40,-9.052266212986023,19,40,7
2023_02_LV_BUF,2023,2,buf,lv,76,23.97952410170766,45,75,10
2023_02_MIA_NE,2023,2,ne,mia,73,-5.424599367202084,37,73,2
2023_02_MIA_NE,2023,2,mia,ne,62,11.701499010395013,32,62,11
2023_02_MIN_PHI,2023,2,phi,min,77,7.6715535610479435,42,77,6
