season,week,game_id,kickoff_utc,team,opponent,defense_prior_games,offense_prior_games,defense_prior_hit_rate,offense_prior_hit_allowed_rate,historical_pass_rush_edge_z,edge_prior_percentile
2022,2,2022_02_CAR_NYG,2022-09-18T17:00:00.000Z,car,nyg,1,1,,,,
2022,2,2022_02_CAR_NYG,2022-09-18T17:00:00.000Z,nyg,car,1,1,,,,
2022,2,2022_02_IND_JAX,2022-09-18T17:00:00.000Z,ind,jax,1,1,,,,
2022,2,2022_02_IND_JAX,2022-09-18T17:00:00.000Z,jax,ind,1,1,,,,
2022,2,2022_02_MIA_BAL,2022-09-18T17:00:00.000Z,bal,mia,1,1,,,,
2022,2,2022_02_MIA_BAL,2022-09-18T17:00:00.000Z,mia,bal,1,1,,,,
2022,2,2022_02_NE_PIT,2022-09-18T17:00:00.000Z,ne,pit,1,1,,,,
2022,2,2022_02_NE_PIT,2022-09-18T17:00:00.000Z,pit,ne,1,1,,,,
2022,2,2022_02_NYJ_CLE,2022-09-18T17:00:00.000Z,cle,nyj,1,1,,,,
2022,2,2022_02_NYJ_CLE,2022-09-18T17:00:00.000Z,nyj,cle,1,1,,,,
2022,2,2022_02_TB_NO,2022-09-18T17:00:00.000Z,no,tb,1,1,,,,
2022,2,2022_02_TB_NO,2022-09-18T17:00:00.000Z,tb,no,1,1,,,,
2022,2,2022_02_WAS_DET,2022-09-18T17:00:00.000Z,det,wsh,1,1,,,,
2022,2,2022_02_WAS_DET,2022-09-18T17:00:00.000Z,wsh,det,1,1,,,,
2022,2,2022_02_ATL_LA,2022-09-18T20:05:00.000Z,atl,lar,1,1,,,,
2022,2,2022_02_ATL_LA,2022-09-18T20:05:00.000Z,lar,atl,1,1,,,,
2022,2,2022_02_SEA_SF,2022-09-18T20:05:00.000Z,sea,sf,1,1,,,,
2022,2,2022_02_SEA_SF,2022-09-18T20:05:00.000Z,sf,sea,1,1,,,,
2022,2,2022_02_ARI_LV,2022-09-18T20:25:00.000Z,ari,lv,1,1,,,,
2022,2,2022_02_ARI_LV,2022-09-18T20:25:00.000Z,lv,ari,1,1,,,,
2022,2,2022_02_CIN_DAL,2022-09-18T20:25:00.000Z,cin,dal,1,1,,,,
2022,2,2022_02_CIN_DAL,2022-09-18T20:25:00.000Z,dal,cin,1,1,,,,
2022,2,2022_02_HOU_DEN,2022-09-18T20:25:00.000Z,den,hou,1,1,,,,
2022,2,2022_02_HOU_DEN,2022-09-18T20:25:00.000Z,hou,den,1,1,,,,
2022,2,2022_02_CHI_GB,2022-09-19T00:20:00.000Z,chi,gb,1,1,,,,
2022,2,2022_02_CHI_GB,2022-09-19T00:20:00.000Z,gb,chi,1,1,,,,
2022,2,2022_02_TEN_BUF,2022-09-19T23:15:00.000Z,buf,ten,1,1,,,,
2022,2,2022_02_TEN_BUF,2022-09-19T23:15:00.000Z,ten,buf,1,1,,,,
2022,2,2022_02_MIN_PHI,2022-09-20T00:30:00.000Z,min,phi,1,1,,,,
2022,2,2022_02_MIN_PHI,2022-09-20T00:30:00.000Z,phi,min,1,1,,,,
2022,3,2022_03_PIT_CLE,2022-09-23T00:15:00.000Z,cle,pit,2,2,,,,
2022,3,2022_03_PIT_CLE,2022-09-23T00:15:00.000Z,pit,cle,2,2,,,,
2022,3,2022_03_BAL_NE,2022-09-25T17:00:00.000Z,bal,ne,2,2,,,,
2022,3,2022_03_BAL_NE,2022-09-25T17:00:00.000Z,ne,bal,2,2,,,,
2022,3,2022_03_BUF_MIA,2022-09-25T17:00:00.000Z,buf,mia,2,2,,,,
2022,3,2022_03_BUF_MIA,2022-09-25T17:00:00.000Z,mia,buf,2,2,,,,
2022,3,2022_03_CIN_NYJ,2022-09-25T17:00:00.000Z,cin,nyj,2,2,,,,
2022,3,2022_03_CIN_NYJ,2022-09-25T17:00:00.000Z,nyj,cin,2,2,,,,
2022,3,2022_03_DET_MIN,2022-09-25T17:00:00.000Z,det,min,2,2,,,,
2022,3,2022_03_DET_MIN,2022-09-25T17:00:00.000Z,min,det,2,2,,,,
2022,3,2022_03_HOU_CHI,2022-09-25T17:00:00.000Z,chi,hou,2,2,,,,
2022,3,2022_03_HOU_CHI,2022-09-25T17:00:00.000Z,hou,chi,2,2,,,,
2022,3,2022_03_KC_IND,2022-09-25T17:00:00.000Z,ind,kc,2,2,,,,
2022,3,2022_03_KC_IND,2022-09-25T17:00:00.000Z,kc,ind,2,2,,,,
2022,3,2022_03_LV_TEN,2022-09-25T17:00:00.000Z,lv,ten,2,2,,,,
2022,3,2022_03_LV_TEN,2022-09-25T17:00:00.000Z,ten,lv,2,2,,,,
2022,3,2022_03_NO_CAR,2022-09-25T17:00:00.000Z,car,no,2,2,,,,
2022,3,2022_03_NO_CAR,2022-09-25T17:00:00.000Z,no,car,2,2,,,,
2022,3,2022_03_PHI_WAS,2022-09-25T17:00:00.000Z,phi,wsh,2,2,,,,
2022,3,2022_03_PHI_WAS,2022-09-25T17:00:00.000Z,wsh,phi,2,2,,,,
2022,3,2022_03_JAX_LAC,2022-09-25T20:05:00.000Z,jax,lac,2,2,,,,
2022,3,2022_03_JAX_LAC,2022-09-25T20:05:00.000Z,lac,jax,2,2,,,,
2022,3,2022_03_ATL_SEA,2022-09-25T20:25:00.000Z,atl,sea,2,2,,,,
2022,3,2022_03_ATL_SEA,2022-09-25T20:25:00.000Z,sea,atl,2,2,,,,
2022,3,2022_03_GB_TB,2022-09-25T20:25:00.000Z,gb,tb,2,2,,,,
2022,3,2022_03_GB_TB,2022-09-25T20:25:00.000Z,tb,gb,2,2,,,,
2022,3,2022_03_LA_ARI,2022-09-25T20:25:00.000Z,ari,lar,2,2,,,,
2022,3,2022_03_LA_ARI,2022-09-25T20:25:00.000Z,lar,ari,2,2,,,,
2022,3,2022_03_SF_DEN,2022-09-26T00:20:00.000Z,den,sf,2,2,,,,
2022,3,2022_03_SF_DEN,2022-09-26T00:20:00.000Z,sf,den,2,2,,,,
2022,3,2022_03_DAL_NYG,2022-09-27T00:15:00.000Z,dal,nyg,2,2,,,,
2022,3,2022_03_DAL_NYG,2022-09-27T00:15:00.000Z,nyg,dal,2,2,,,,
2022,4,2022_04_MIA_CIN,2022-09-30T00:15:00.000Z,cin,mia,3,3,,,,
2022,4,2022_04_MIA_CIN,2022-09-30T00:15:00.000Z,mia,cin,3,3,,,,
2022,4,2022_04_MIN_NO,2022-10-02T13:30:00.000Z,min,no,3,3,,,,
2022,4,2022_04_MIN_NO,2022-10-02T13:30:00.000Z,no,min,3,3,,,,
2022,4,2022_04_BUF_BAL,2022-10-02T17:00:00.000Z,bal,buf,3,3,,,,
2022,4,2022_04_BUF_BAL,2022-10-02T17:00:00.000Z,buf,bal,3,3,,,,
2022,4,2022_04_CHI_NYG,2022-10-02T17:00:00.000Z,chi,nyg,3,3,,,,
2022,4,2022_04_CHI_NYG,2022-10-02T17:00:00.000Z,nyg,chi,3,3,,,,
2022,4,2022_04_CLE_ATL,2022-10-02T17:00:00.000Z,atl,cle,3,3,,,,
2022,4,2022_04_CLE_ATL,2022-10-02T17:00:00.000Z,cle,atl,3,3,,,,
2022,4,2022_04_JAX_PHI,2022-10-02T17:00:00.000Z,jax,phi,3,3,,,,
2022,4,2022_04_JAX_PHI,2022-10-02T17:00:00.000Z,phi,jax,3,3,,,,
2022,4,2022_04_LAC_HOU,2022-10-02T17:00:00.000Z,hou,lac,3,3,,,,
2022,4,2022_04_LAC_HOU,2022-10-02T17:00:00.000Z,lac,hou,3,3,,,,
2022,4,2022_04_NYJ_PIT,2022-10-02T17:00:00.000Z,nyj,pit,3,3,,,,
2022,4,2022_04_NYJ_PIT,2022-10-02T17:00:00.000Z,pit,nyj,3,3,,,,
2022,4,2022_04_SEA_DET,2022-10-02T17:00:00.000Z,det,sea,3,3,,,,
2022,4,2022_04_SEA_DET,2022-10-02T17:00:00.000Z,sea,det,3,3,,,,
2022,4,2022_04_TEN_IND,2022-10-02T17:00:00.000Z,ind,ten,3,3,,,,
2022,4,2022_04_TEN_IND,2022-10-02T17:00:00.000Z,ten,ind,3,3,,,,
2022,4,2022_04_WAS_DAL,2022-10-02T17:00:00.000Z,dal,wsh,3,3,,,,
2022,4,2022_04_WAS_DAL,2022-10-02T17:00:00.000Z,wsh,dal,3,3,,,,
2022,4,2022_04_ARI_CAR,2022-10-02T20:05:00.000Z,ari,car,3,3,,,,
2022,4,2022_04_ARI_CAR,2022-10-02T20:05:00.000Z,car,ari,3,3,,,,
2022,4,2022_04_DEN_LV,2022-10-02T20:25:00.000Z,den,lv,3,3,,,,
2022,4,2022_04_DEN_LV,2022-10-02T20:25:00.000Z,lv,den,3,3,,,,
2022,4,2022_04_NE_GB,2022-10-02T20:25:00.000Z,gb,ne,3,3,,,,
2022,4,2022_04_NE_GB,2022-10-02T20:25:00.000Z,ne,gb,3,3,,,,
2022,4,2022_04_KC_TB,2022-10-03T00:20:00.000Z,kc,tb,3,3,,,,
2022,4,2022_04_KC_TB,2022-10-03T00:20:00.000Z,tb,kc,3,3,,,,
2022,4,2022_04_LA_SF,2022-10-04T00:15:00.000Z,lar,sf,3,3,,,,
2022,4,2022_04_LA_SF,2022-10-04T00:15:00.000Z,sf,lar,3,3,,,,
