team,season,transition_week,qb_changed,old_qb_id,old_qb_name,new_qb_id,new_qb_name,old_games,new_games,before_games,before_hit_rate,before_sack_rate,before_pass_epa_db,before_opponent_pregame_rush_rate,before_opponent_adjusted_hit_residual,before_pregame_raw_protection_rate,before_pregame_adjusted_protection_rate,after_games,after_hit_rate,after_sack_rate,after_pass_epa_db,after_opponent_pregame_rush_rate,after_opponent_adjusted_hit_residual,after_pregame_raw_protection_rate,after_pregame_adjusted_protection_rate,change_hit_rate,change_sack_rate,change_pass_epa_db,change_opponent_pregame_rush_rate,change_opponent_adjusted_hit_residual
ind,2022,10,True,00-0036879,Sam Ehlinger,00-0026143,Matt Ryan,2022_08_WAS_IND;2022_09_IND_NE,2022_10_IND_LV;2022_11_PHI_IND,2,0.253333333333,0.146666666667,-0.338639407603,0.163517915309,0.112790338633,0.180334101563,,2,0.130434782609,0.0724637681159,0.0422706846735,0.133208359627,-0.00628356302016,0.189343327359,,-0.122898550725,-0.0742028985507,0.380910092277,-0.030309555682,-0.119073901653
ind,2024,7,True,00-0026158,Joe Flacco,00-0039164,Anthony Richardson,2024_05_IND_JAX;2024_06_IND_TEN,2024_07_MIA_IND;2024_08_IND_HOU,2,0.0744680851064,0.0425531914894,0.253846433062,0.123620546721,-0.0642038644345,0.138457556935,-0.0123482146375,2,0.188405797101,0.0724637681159,-0.181014782583,0.168703715629,0.0351844155831,0.106796906797,-0.0441082369169,0.113937711995,0.0299105766266,-0.434861215645,0.0450831689075,0.0993882800176
ind,2024,9,True,00-0039164,Anthony Richardson,00-0026158,Joe Flacco,2024_07_MIA_IND;2024_08_IND_HOU,2024_09_IND_MIN;2024_10_BUF_IND,2,0.188405797101,0.0724637681159,-0.181014782583,0.168703715629,0.0351844155831,0.106796906797,-0.0441082369169,2,0.168831168831,0.0909090909091,-0.289256256791,0.156584633541,0.0202349866373,0.133108172847,-0.0169706359067,-0.0195746282703,0.0184453227931,-0.108241474208,-0.0121190820875,-0.0149494289458
ind,2024,11,True,00-0026158,Joe Flacco,00-0039164,Anthony Richardson,2024_09_IND_MIN;2024_10_BUF_IND,2024_11_IND_NYJ;2024_12_DET_IND,2,0.168831168831,0.0909090909091,-0.289256256791,0.156584633541,0.0202349866373,0.133108172847,-0.0169706359067,2,0.164179104478,0.0298507462687,-0.00522985550791,0.144302952788,0.0198159668347,0.148744070131,0.0011453656298,-0.00465206435356,-0.0610583446404,0.284026401283,-0.0122816807525,-0.00041901980262
ind,2024,17,True,00-0039164,Anthony Richardson,00-0026158,Joe Flacco,2024_15_IND_DEN;2024_16_TEN_IND,2024_17_IND_NYG;2024_18_JAX_IND,2,0.183333333333,0.05,-0.3243744172,0.143546707612,0.0373793403269,0.15754895225,0.0110441460478,2,0.103448275862,0.0574712643678,0.134170831832,0.0978753047718,-0.0257963073264,0.159416303254,0.0140971146517,-0.0798850574713,0.00747126436782,0.458545249032,-0.0456714028402,-0.0631756476533
jax,2024,10,True,00-0036971,Trevor Lawrence,00-0036972,Mac Jones,2024_08_GB_JAX;2024_09_JAX_PHI,2024_10_MIN_JAX;2024_11_JAX_DET,2,0.0985915492958,0.0422535211268,-0.0668586976556,0.141823989473,-0.0454996502428,0.118174576078,-0.0304826386321,2,0.116666666667,0.0666666666667,-0.328546369364,0.153072224218,-0.0306010781296,0.114277557014,-0.0332232140089,0.0180751173709,0.0244131455399,-0.261687671709,0.0112482347455,0.0148985721132
lv,2022,17,True,00-0031280,Derek Carr,00-0035264,Jarrett Stidham,2022_15_NE_LV;2022_16_LV_PIT,2022_17_SF_LV;2022_18_KC_LV,2,0.126582278481,0.0759493670886,-0.122018694951,0.145008490481,-0.016241400537,0.117242773399,-0.0203230909785,2,0.247311827957,0.0645161290323,0.0500416448245,0.156877350657,0.099788805439,0.114061461887,-0.0271001478405,0.120729549476,-0.0114332380563,0.172060339775,0.0118688601755,0.116030205976
mia,2024,17,True,00-0036212,Tua Tagovailoa,00-0035993,Tyler Huntley,2024_15_MIA_HOU;2024_16_SF_MIA,2024_17_MIA_CLE;2024_18_MIA_NYJ,2,0.047619047619,0.0357142857143,-0.0748935986624,0.15351284965,-0.0990252820071,0.0697154583264,-0.0722628815317,2,0.197674418605,0.093023255814,-0.015999684173,0.146516662293,0.0559880449933,0.0683781126259,-0.0767506743014,0.150055370986,0.0573089700997,0.0588939144894,-0.0069961873561,0.155013327
mia,2025,16,True,00-0036212,Tua Tagovailoa,00-0040234,Quinn Ewers,2025_14_MIA_NYJ;2025_15_MIA_PIT,2025_16_CIN_MIA;2025_17_TB_MIA,2,0.142857142857,0.0892857142857,0.089833148762,0.109870636187,0.0109395919866,0.121023713128,-0.0178586480117,2,0.120689655172,0.0344827586207,0.0725222050591,0.119292614619,-0.0142934916157,0.129949363528,-0.00822946847342,-0.0221674876847,-0.054802955665,-0.0173109437028,0.009421978433,-0.0252330836022
ne,2024,6,True,00-0033119,Jacoby Brissett,00-0039851,Drake Maye,2024_04_NE_SF;2024_05_MIA_NE,2024_06_HOU_NE;2024_07_NE_JAX,2,0.2375,0.1,-0.326538093671,0.157452105343,0.0881598441512,0.231191103456,0.0836924037818,2,0.122222222222,0.0666666666667,-0.0119347245713,0.158259695631,-0.0275825338854,0.252124729258,0.103745530045,-0.115277777778,-0.0333333333333,0.3146033691,0.0008075902875,-0.115742378037
no,2022,4,True,00-0031503,Jameis Winston,00-0027973,Andy Dalton,2022_02_TB_NO;2022_03_NO_CAR,2022_04_MIN_NO;2022_05_SEA_NO,2,0.157894736842,0.0736842105263,-0.150375099413,,,,,2,0.133333333333,0.05,0.103869867989,0.138157894737,,0.157575757576,,-0.0245614035088,-0.0236842105263,0.254244967402,,
nyj,2022,4,True,00-0026158,Joe Flacco,00-0037013,Zach Wilson,2022_02_NYJ_CLE;2022_03_CIN_NYJ,2022_04_NYJ_PIT;2022_05_MIA_NYJ,2,0.138888888889,0.0555555555556,-0.0689664437917,,,,,2,0.130434782609,0.0434782608696,0.0924244409011,0.0965909090909,,0.142857142857,,-0.00845410628019,-0.012077294686,0.161390884693,,
nyj,2022,12,True,00-0037013,Zach Wilson,00-0034401,Mike White,2022_09_BUF_NYJ;2022_11_NYJ_NE,2022_12_CHI_NYJ;2022_13_NYJ_MIN,2,0.152542372881,0.101694915254,-0.130425778071,0.149233161733,0.012608766353,0.121881890519,,2,0.119565217391,0.0217391304348,0.0741707515335,0.0981936081522,-0.0110237447651,0.123278039457,-0.0205341642186,-0.0329771554901,-0.0799557848195,0.204596529604,-0.0510395535813,-0.023632511118
nyj,2025,12,True,00-0036945,Justin Fields,00-0028118,Tyrod Taylor,2025_10_CLE_NYJ;2025_11_NYJ_NE,2025_12_NYJ_BAL;2025_13_ATL_NYJ,2,0.28,0.1,-0.199058106618,0.129526842584,0.144389375195,0.218727056512,0.0797522763728,2,0.166666666667,0.0641025641026,0.0713233292492,0.154920375663,0.0195531893403,0.220576580147,0.0826825413518,-0.113333333333,-0.0358974358974,0.270381435868,0.0253935330795,-0.124836185855
phi,2022,16,True,00-0036389,Jalen Hurts,00-0035289,Gardner Minshew,2022_14_PHI_NYG;2022_15_PHI_CHI,2022_16_PHI_DAL;2022_17_NO_PHI,2,0.0740740740741,0.0617283950617,0.0914430269858,0.119407451743,-0.0600490798736,0.102960526316,-0.0472471853147,2,0.0975609756098,0.0731707317073,0.0560400733598,0.150162363588,-0.0471501110265,0.0796897348443,-0.061433971907,0.0234869015357,0.0114423366456,-0.035402953626,0.0307549118448,0.0128989688471
sea,2023,14,True,00-0030565,Geno Smith,00-0035704,Drew Lock,2023_12_SF_SEA;2023_13_SEA_DAL,2023_14_SEA_SF;2023_15_PHI_SEA,2,0.214285714286,0.0833333333333,0.137788114577,0.167014147431,0.0630646914375,0.157018927445,0.00902409096126,2,0.102564102564,0.0769230769231,0.134202596366,0.169662988458,-0.0510474364579,0.153790012923,0.00494505344292,-0.111721611722,-0.00641025641026,-0.00358551821097,0.002648841027,-0.114112127895
sea,2023,16,True,00-0035704,Drew Lock,00-0030565,Geno Smith,2023_14_SEA_SF;2023_15_PHI_SEA,2023_16_SEA_TEN;2023_17_PIT_SEA,2,0.102564102564,0.0769230769231,0.134202596366,0.169662988458,-0.0510474364579,0.153790012923,0.00494505344292,2,0.1625,0.05,0.278715952903,0.13759608398,0.0202602745084,0.139635658565,-0.00916716509037,0.0599358974359,-0.0269230769231,0.144513356536,-0.032066904478,0.0713077109663
sf,2025,11,True,00-0036972,Mac Jones,00-0037834,Brock Purdy,2025_09_SF_NYG;2025_10_LA_SF,2025_11_SF_ARI;2025_12_CAR_SF,2,0.0579710144928,0.0289855072464,0.352533984628,0.152137678139,-0.0897383883681,0.159001754692,0.0214859365975,2,0.0645161290323,0.0161290322581,0.127311393629,0.125371795745,-0.0725223751522,0.135886270492,-0.00405616900073,0.0065451145395,-0.0128564749883,-0.225222590998,-0.0267658823945,0.0172160132159
ten,2022,8,True,00-0029701,Ryan Tannehill,00-0038128,Malik Willis,2022_05_TEN_WAS;2022_07_IND_TEN,2022_08_TEN_HOU;2022_09_TEN_KC,2,0.357142857143,0.125,0.0413661947386,0.157615014117,,0.168912848158,,2,0.210526315789,0.157894736842,-0.45404512723,0.129254959769,0.0780635382706,0.210994589167,,-0.146616541353,0.0328947368421,-0.495411321968,-0.0283600543475,
ten,2022,10,True,00-0038128,Malik Willis,00-0029701,Ryan Tannehill,2022_08_TEN_HOU;2022_09_TEN_KC,2022_10_DEN_TEN;2022_11_TEN_GB,2,0.210526315789,0.157894736842,-0.45404512723,0.129254959769,0.0780635382706,0.210994589167,,2,0.121621621622,0.0540540540541,0.326162291093,0.13591092444,-0.0146437505736,0.205896805897,,-0.0889046941679,-0.103840682788,0.780207418322,0.00665596467,-0.0927072888442
ten,2024,10,True,00-0034771,Mason Rudolph,00-0039152,Will Levis,2024_08_TEN_DET;2024_09_NE_TEN,2024_10_TEN_LAC;2024_11_MIN_TEN,2,0.107142857143,0.0238095238095,-0.0729213306127,0.144705049343,-0.039279187037,0.209585933068,0.0590560612623,2,0.24,0.16,0.0312560374525,0.140071806997,0.0958596654646,0.178394625177,0.0305946728612,0.132857142857,0.13619047619,0.104177368065,-0.004633242346,0.135138852502
wsh,2022,7,True,00-0032950,Carson Wentz,00-0031800,Taylor Heinicke,2022_05_TEN_WAS;2022_06_WAS_CHI,2022_07_GB_WAS;2022_08_WAS_IND,2,0.135135135135,0.0810810810811,-0.0351983692176,0.108007480449,,0.20228993115,,2,0.22972972973,0.0405405405405,0.0178452449596,0.1541763183,0.0752285919234,0.192097847929,,0.0945945945946,-0.0405405405405,0.0530436141772,0.0461688378506,
wsh,2025,3,True,00-0039910,Jayden Daniels,00-0032268,Marcus Mariota,2025_01_NYG_WAS;2025_02_WAS_GB,2025_03_LV_WAS;2025_04_WAS_ATL,2,0.178947368421,0.0736842105263,-0.0328423945101,0.120378650057,0.0429965021758,0.111581920903,-0.0306876959353,2,0.152542372881,0.0508474576271,0.283625352798,0.138446991295,0.0116555198627,0.127176704563,-0.0131254763312,-0.0264049955397,-0.0228367528992,0.316467747308,0.018068341238,-0.0313409823131
wsh,2025,5,True,00-0032268,Marcus Mariota,00-0039910,Jayden Daniels,2025_03_LV_WAS;2025_04_WAS_ATL,2025_05_WAS_LAC;2025_06_CHI_WAS,2,0.152542372881,0.0508474576271,0.283625352798,0.138446991295,0.0116555198627,0.127176704563,-0.0131254763312,2,0.0540540540541,0.0540540540541,0.440295337336,0.142484092412,-0.0888544457851,0.133534824973,-0.00660468668787,-0.0984883188273,0.00320659642694,0.156669984538,0.004037101117,-0.100509965648
