game_id,week,team,opponent,expected_qb_name,expected_qb_id,raw_protection_prior8,raw_protection_percentile,adjusted_protection_raw,adjusted_protection_percentile,qb_vulnerability_z,qb_vulnerability_percentile,pass_rush_percentile,espn_pbwr_rank,espn_opponent_prwr_rank,espn_rank_edge,raw_adjusted_disagree,team_sacks,team_sack_rate,team_pass_epa_db,team_pass_success_rate,team_points,implied_team_total
2026_02_JAX_DEN,2,den,jax,Bo Nix,00-0039732,0.122388059701,0.234375,-0.023996455747,0.234375,-0.176194141034,0.3,0.546875,23,28,-5,False,0,0,0.310991042975,0.515151515152,20,24
2026_02_CLE_TB,2,tb,cle,Baker Mayfield,00-0034855,0.1,0.109375,-0.0405293015369,0.109375,0.406669693205,0.871428571429,0.953125,20,26,-6,False,3,0.0697674418605,-0.309086146284,0.372093023256,19,25
2026_02_DET_BUF,2,buf,det,Josh Allen,00-0034857,0.132616487455,0.390625,-0.0128235832515,0.390625,-0.110647750988,0.357142857143,0.390625,1,7,-6,False,2,0.047619047619,0.514222793366,0.595238095238,41,30
2026_02_DET_BUF,2,det,buf,Jared Goff,00-0033106,0.184210526316,0.734375,0.0407079749,0.703125,-0.515941357236,0.0428571428571,0.671875,11,21,-10,False,4,0.0869565217391,0.500570849829,0.54347826087,31,24.5
2026_02_CAR_ATL,2,atl,car,Michael Penix Jr.,00-0039917,0.171102661597,0.671875,0.0333826641546,0.671875,-0.0175126421063,0.528571428571,0.015625,2,15,-13,False,3,0.0731707317073,-0.690606457515,0.341463414634,3,20.5
2026_02_WAS_DAL,2,wsh,dal,Jayden Daniels,00-0039910,0.124113475177,0.28125,-0.0293207244451,0.140625,0.519184755387,0.957142857143,0.703125,15,28,-13,False,0,0,0.0932818912924,0.521739130435,20,24
2026_02_WAS_DAL,2,dal,wsh,Dak Prescott,00-0033077,0.153623188406,0.546875,0.0064810476411,0.546875,-0.24140556388,0.214285714286,0.359375,10,25,-15,False,2,0.0540540540541,0.461964501138,0.621621621622,37,27.5
2026_02_PIT_NE,2,ne,pit,Drake Maye,00-0039851,0.122977346278,0.296875,-0.0164794815081,0.359375,0.392263245315,0.757142857143,0.171875,16,31,-15,False,3,0.103448275862,-0.0639537358359,0.448275862069,20,23
2026_02_MIA_SF,2,sf,mia,Brock Purdy,00-0037834,0.0989399293286,0.078125,-0.0500323489557,0.046875,-0.031641711735,0.471428571429,0.171875,6,28,-22,False,0,0,0.91310710591,0.777777777778,35,28.5
2026_02_NYG_LA,2,nyg,lar,Jaxson Dart,00-0040691,0.189003436426,0.796875,0.0429544133467,0.765625,0.151279241288,0.614285714286,0.890625,3,27,-24,False,2,0.0571428571429,-0.452260700592,0.285714285714,6,20.5
