window,metric,quintile,n,games,small_n_lt_30,mean_actual_hit_rate,mean_team_sack_rate,mean_team_sacks,mean_team_pass_epa_db,mean_team_pass_success_rate,mean_team_explosive_pass_rate,mean_team_points,mean_team_total_margin
2022-2023 exploratory,all complete case,all,632,356,False,0.143833264783,0.0621137614407,2.46202531646,0.0376798677882,0.458954629086,0.0912274225844,22.1756329114,0.374208860759
2022-2023 exploratory,raw protection,1,124,114,False,0.127764273602,0.0524658053683,2.04838709677,0.0737757259452,0.46677247112,0.0886136700466,23.9838709677,0.485887096774
2022-2023 exploratory,raw protection,2,144,134,False,0.122830087659,0.054500844047,2.15972222222,0.0890338175604,0.480609645586,0.101377442899,23.8958333333,1.33333333333
2022-2023 exploratory,raw protection,3,114,108,False,0.130168023452,0.0540418719536,2.12280701754,0.0848874362485,0.475391850555,0.0970294024689,23.1315789474,1.0701754386
2022-2023 exploratory,raw protection,4,144,129,False,0.163038842269,0.0673340618556,2.71527777778,-0.0128508600954,0.435837487925,0.0877323986023,20.2916666667,-0.717013888889
2022-2023 exploratory,raw protection,5,106,99,False,0.17976955503,0.0853314859641,3.37735849057,-0.0564342187013,0.434117745041,0.0790044049995,19.2547169811,-0.325471698113
2022-2023 exploratory,adjusted protection,1,128,117,False,0.125442676045,0.0510361132766,2,0.0813214704943,0.46295540477,0.0953505714674,24.2734375,0.673828125
2022-2023 exploratory,adjusted protection,2,143,126,False,0.126239371138,0.0566164424223,2.21678321678,0.087685193881,0.486533698571,0.0969394587793,23.7902097902,1.23776223776
2022-2023 exploratory,adjusted protection,3,104,94,False,0.129167458236,0.0553435486756,2.16346153846,0.0638022665865,0.472375058915,0.0969631781975,23.0096153846,1.14182692308
2022-2023 exploratory,adjusted protection,4,147,129,False,0.16128243732,0.0663896312951,2.69387755102,-0.00368085330446,0.437672721494,0.0875120524358,19.7482993197,-1.3656462585
2022-2023 exploratory,adjusted protection,5,110,103,False,0.178652698129,0.0828374418374,3.29090909091,-0.0475345890485,0.434198351721,0.0785461189042,20.0909090909,0.502272727273
2022-2023 exploratory,QB vulnerability,1,135,127,False,0.159080097911,0.0564326478695,2.31111111111,0.0485005875322,0.465272264915,0.0943065922105,22.9259259259,0.0981481481481
2022-2023 exploratory,QB vulnerability,2,123,120,False,0.137359620446,0.0548330185259,2.13821138211,0.0964084456952,0.477108562943,0.0925718685012,24.1056910569,1.58943089431
2022-2023 exploratory,QB vulnerability,3,123,109,False,0.145703493056,0.065505723497,2.58536585366,0.0635737613985,0.465830411129,0.0989998982103,22.9268292683,0.355691056911
2022-2023 exploratory,QB vulnerability,4,126,117,False,0.139550443239,0.064605715449,2.53174603175,-0.0261603875973,0.448489997182,0.0743789250198,19.1428571429,-1.38293650794
2022-2023 exploratory,QB vulnerability,5,125,113,False,0.13621353053,0.0695640348222,2.752,0.00707595592048,0.438050690903,0.0959141541352,21.784,1.266
2024-2025 heldout,all complete case,all,969,511,False,0.140265977883,0.0611567099763,2.37151702786,0.0859713753284,0.469312539071,0.0924764034651,23.3013415893,0.810629514964
2024-2025 heldout,raw protection,1,193,183,False,0.106125523424,0.0493840619516,1.88601036269,0.139041119275,0.480950080768,0.0953357464948,24.8704663212,1.23445595855
2024-2025 heldout,raw protection,2,221,200,False,0.131278021431,0.0546378190631,2.10859728507,0.120035911137,0.479128263561,0.0952355642887,24.3755656109,1.42533936652
2024-2025 heldout,raw protection,3,177,165,False,0.142254690946,0.0613367901276,2.4406779661,0.119179292765,0.47745567098,0.0983742618051,24.1638418079,1.02824858757
2024-2025 heldout,raw protection,4,199,179,False,0.149482743084,0.0636690913404,2.48743718593,0.0354784752064,0.45801622973,0.0868888689093,21.743718593,-0.071608040201
2024-2025 heldout,raw protection,5,179,160,False,0.175960433746,0.0789274244028,3.02234636872,0.00999127891912,0.449152262819,0.0863667425917,21.1620111732,0.360335195531
2024-2025 heldout,adjusted protection,1,190,183,False,0.107905873471,0.0481704906335,1.84736842105,0.114919840487,0.471820739759,0.0913669099774,24.0052631579,0.507894736842
2024-2025 heldout,adjusted protection,2,215,199,False,0.127972925758,0.0568196629006,2.21860465116,0.125164660854,0.48265569304,0.0983690047999,24.6744186047,1.77209302326
2024-2025 heldout,adjusted protection,3,183,171,False,0.141189115578,0.0593984573922,2.32240437158,0.128120264555,0.480818697164,0.0979837800708,24.8087431694,1.5956284153
2024-2025 heldout,adjusted protection,4,205,187,False,0.153192987411,0.0643797411665,2.54146341463,0.0543336393299,0.461771956311,0.0890634993309,21.7951219512,-0.25487804878
2024-2025 heldout,adjusted protection,5,176,158,False,0.174200380691,0.0785481055746,2.97727272727,-0.000132463403827,0.447124222597,0.0847246415579,21.0511363636,0.387784090909
2024-2025 heldout,QB vulnerability,1,190,174,False,0.162157450953,0.0623400564903,2.35789473684,0.106526234375,0.481074015615,0.0987971923625,24.3,0.605263157895
2024-2025 heldout,QB vulnerability,2,197,178,False,0.132847571431,0.0510463471529,2.10152284264,0.105262736321,0.470307892624,0.0903532607744,23.6243654822,0.633248730964
2024-2025 heldout,QB vulnerability,3,197,183,False,0.135252934219,0.0593258792195,2.35532994924,0.0483331919632,0.461210905297,0.087487062963,22.578680203,0.89847715736
2024-2025 heldout,QB vulnerability,4,193,178,False,0.135714263206,0.0673537293849,2.54404145078,0.0647090901904,0.469262341882,0.0886908819752,22.1450777202,0.20207253886
2024-2025 heldout,QB vulnerability,5,192,179,False,0.135933148313,0.0660085566001,2.50520833333,0.105828259808,0.465015376142,0.0973243979757,23.8854166667,1.71744791667
2022,all complete case,all,167,101,False,0.141389622093,0.0590718345485,2.30538922156,0.0239433847798,0.457062620979,0.0840323294646,22.6407185629,0.673652694611
2022,raw protection,1,31,30,False,0.118296053775,0.0423686472467,1.54838709677,0.0800976092416,0.473757863707,0.0893374296492,24.3870967742,1.61290322581
2022,raw protection,2,38,34,False,0.12473608923,0.0527081966952,2.10526315789,0.073720966637,0.478006146952,0.0914247327532,25.1315789474,1.22368421053
2022,raw protection,3,30,28,False,0.11749705092,0.0426894325106,1.63333333333,0.099533787035,0.459038185486,0.0876386874764,23.6666666667,1.25
2022,raw protection,4,36,33,False,0.176007795005,0.076816564295,3.11111111111,-0.0922322704447,0.423704482091,0.0742412418462,19.1944444444,-1.5
2022,raw protection,5,32,29,False,0.166991427622,0.0782055481435,3,-0.0297352886099,0.451694482017,0.0777485476901,20.90625,1.015625
2022,adjusted protection,1,34,32,False,0.122569676179,0.0437717482984,1.67647058824,0.0757639269082,0.46771839366,0.0973789509794,26,2.48529411765
2022,adjusted protection,2,37,31,False,0.122066823274,0.0512881134243,1.89189189189,0.0522643579003,0.46999502362,0.092729575947,22.9189189189,-0.25
2022,adjusted protection,3,24,22,True,0.114898526207,0.0497256143031,1.95833333333,0.0917312682686,0.468854861724,0.0879976847186,25.1666666667,2.27083333333
2022,adjusted protection,4,41,36,False,0.174696654084,0.0696167146158,2.85365853659,-0.0542579283037,0.426328694392,0.070112487714,17.512195122,-2.96341463415
2022,adjusted protection,5,31,28,False,0.161551548123,0.0784321512333,3.03225806452,-0.0157478992568,0.461458815924,0.0743536757331,23.4516129032,3.36290322581
2022,QB vulnerability,1,35,35,False,0.142899823599,0.0489216102786,2.08571428571,0.0762724590504,0.484854677056,0.0825559087223,24.6857142857,0.0857142857143
2022,QB vulnerability,2,34,33,False,0.148254289613,0.0537782618977,2.20588235294,0.0564552986071,0.466767647767,0.0879367934031,23.8529411765,1.81617647059
2022,QB vulnerability,3,33,29,False,0.154410445077,0.0679826297834,2.57575757576,-0.0341201641107,0.431208822551,0.0861417396542,20.6060606061,-0.681818181818
2022,QB vulnerability,4,34,33,False,0.133844587437,0.0565051137172,2.11764705882,0.00863012854007,0.474421677581,0.0744280467137,21.8823529412,0.992647058824
2022,QB vulnerability,5,31,28,False,0.126569888913,0.0696670469707,2.58064516129,0.00780871239058,0.423523090338,0.0897051691207,22,1.17741935484
2023,all complete case,all,465,255,False,0.144710874094,0.0632062384106,2.51827956989,0.0426131853418,0.45963412447,0.0938114667801,22.0086021505,0.266666666667
2023,raw protection,1,93,84,False,0.130920346878,0.0558315247422,2.21505376344,0.0716684315131,0.464444006924,0.0883724168457,23.8494623656,0.110215053763
2023,raw protection,2,106,100,False,0.122146804077,0.0551434912109,2.17924528302,0.0945233301556,0.481542975286,0.104945395592,23.4528301887,1.37264150943
2023,raw protection,3,84,80,False,0.134693370785,0.0580963146118,2.29761904762,0.0796565966819,0.481232445223,0.100383229252,22.9404761905,1.00595238095
