window,signal_form,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game
2024-2025 heldout,F adjusted + QB + rush,actual_hit_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,intercept,969,511,0.140957012814,0.00223764005168,0.136571238313,0.145342787315,0,True
2024-2025 heldout,F adjusted + QB + rush,actual_hit_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,adjusted_protection_z,969,511,0.0219891077021,0.00251704351067,0.0170557024212,0.026922512983,2.41327019959e-18,True
2024-2025 heldout,F adjusted + QB + rush,actual_hit_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,qb_vulnerability_z,969,511,-0.00688425740817,0.00721061476043,-0.0210170623386,0.00724854752228,0.339709542029,True
2024-2025 heldout,F adjusted + QB + rush,actual_hit_rate,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,pass_rush_z,969,511,0.00840520836914,0.00239022863124,0.0037203602519,0.0130900564864,0.000437297755863,True
2022-2023 exploratory,A raw protection,team_sack_rate,raw_protection_z,intercept,632,356,0.0625507832364,0.0016572154494,0.0593026409555,0.0657989255172,9.25572128645e-312,True
2022-2023 exploratory,A raw protection,team_sack_rate,raw_protection_z,raw_protection_z,632,356,0.0119610922411,0.00196457824432,0.00811051888224,0.0158116656,1.14061306299e-09,True
2024-2025 heldout,A raw protection,team_sack_rate,raw_protection_z,intercept,969,511,0.0614900049847,0.001463599495,0.0586213499745,0.0643586599949,0,True
2024-2025 heldout,A raw protection,team_sack_rate,raw_protection_z,raw_protection_z,969,511,0.0103971921334,0.00156842381337,0.0073230814592,0.0134713028076,3.37807078977e-11,True
2022-2023 exploratory,B opponent adjusted,team_sack_rate,adjusted_protection_z,intercept,632,356,0.062569505248,0.00166171889427,0.0593125362152,0.0658264742808,2.8692242753e-310,True
2022-2023 exploratory,B opponent adjusted,team_sack_rate,adjusted_protection_z,adjusted_protection_z,632,356,0.0115231451791,0.00192341359908,0.00775325452486,0.0152930358333,2.08571773031e-09,True
2024-2025 heldout,B opponent adjusted,team_sack_rate,adjusted_protection_z,intercept,969,511,0.0614871666564,0.00146521817376,0.0586153390358,0.064358994277,0,True
2024-2025 heldout,B opponent adjusted,team_sack_rate,adjusted_protection_z,adjusted_protection_z,969,511,0.0102677570579,0.00156855802313,0.00719338333258,0.0133421307833,5.91045718448e-11,True
2022-2023 exploratory,C QB only,team_sack_rate,qb_vulnerability_z,intercept,632,356,0.0618810482807,0.00167409838726,0.0585998154417,0.0651622811197,4.37103020352e-299,True
2022-2023 exploratory,C QB only,team_sack_rate,qb_vulnerability_z,qb_vulnerability_z,632,356,0.0121488296828,0.00443751391167,0.00345130241596,0.0208463569497,0.00618599811033,True
2024-2025 heldout,C QB only,team_sack_rate,qb_vulnerability_z,intercept,969,511,0.0610815914675,0.00147990016043,0.0581809871531,0.063982195782,0,True
2024-2025 heldout,C QB only,team_sack_rate,qb_vulnerability_z,qb_vulnerability_z,969,511,0.00969941296672,0.00463301593465,0.000618701734807,0.0187801241986,0.0363008081328,True
2022-2023 exploratory,D adjusted + QB,team_sack_rate,adjusted_protection_z+qb_vulnerability_z,intercept,632,356,0.0623185939917,0.00165603651257,0.0590727624271,0.0655644255564,6.6493300705e-310,True
2022-2023 exploratory,D adjusted + QB,team_sack_rate,adjusted_protection_z+qb_vulnerability_z,adjusted_protection_z,632,356,0.0120440327951,0.00196668198848,0.00818933609767,0.0158987294925,9.12338327141e-10,True
2022-2023 exploratory,D adjusted + QB,team_sack_rate,adjusted_protection_z+qb_vulnerability_z,qb_vulnerability_z,632,356,0.0141743565825,0.00456334909576,0.00523019235483,0.0231185208102,0.00189553213645,True
2024-2025 heldout,D adjusted + QB,team_sack_rate,adjusted_protection_z+qb_vulnerability_z,intercept,969,511,0.0614017510288,0.00145238484944,0.0585550767238,0.0642484253337,0,True
2024-2025 heldout,D adjusted + QB,team_sack_rate,adjusted_protection_z+qb_vulnerability_z,adjusted_protection_z,969,511,0.0112335572415,0.00159570046385,0.00810598433231,0.0143611301506,1.92390354244e-12,True
2024-2025 heldout,D adjusted + QB,team_sack_rate,adjusted_protection_z+qb_vulnerability_z,qb_vulnerability_z,969,511,0.0150425056753,0.00448857160857,0.00624490532254,0.0238401060281,0.000804359857104,True
2022-2023 exploratory,E raw + QB,team_sack_rate,raw_protection_z+qb_vulnerability_z,intercept,632,356,0.0622953952805,0.00165109197587,0.0590592550078,0.0655315355532,1.61210322723e-311,True
