team,season,transition_week,qb_changed,old_qb_id,old_qb_name,new_qb_id,new_qb_name,old_games,new_games,before_games,before_hit_rate,before_sack_rate,before_pass_epa_db,before_opponent_pregame_rush_rate,before_opponent_adjusted_hit_residual,before_pregame_raw_protection_rate,before_pregame_adjusted_protection_rate,after_games,after_hit_rate,after_sack_rate,after_pass_epa_db,after_opponent_pregame_rush_rate,after_opponent_adjusted_hit_residual,after_pregame_raw_protection_rate,after_pregame_adjusted_protection_rate,change_hit_rate,change_sack_rate,change_pass_epa_db,change_opponent_pregame_rush_rate,change_opponent_adjusted_hit_residual
ari,2023,16,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2023_13_ARI_PIT;2023_15_SF_ARI,2023_16_ARI_CHI;2023_17_ARI_PHI,2,0.118421052632,0.0657894736842,0.0407923065878,0.163911810432,-0.0347538778449,0.161362684965,0.013255364471,2,0.0897435897436,0.0384615384615,0.108415777973,0.131314935435,-0.0506983755798,0.13781636367,-0.011814093858,-0.028677462888,-0.0273279352227,0.0676234713857,-0.032596874997,-0.0159444977349
ari,2023,17,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2023_15_SF_ARI;2023_16_ARI_CHI,2023_17_ARI_PHI;2023_18_SEA_ARI,2,0.0909090909091,0.0568181818182,-0.096028496016,0.165208656817,-0.0613852566625,0.150892799048,0.00190609788368,2,0.0882352941176,0.0294117647059,0.432366706887,0.122993385924,-0.049151486809,0.127079446891,-0.0212387027377,-0.00267379679144,-0.0274064171123,0.528395202903,-0.042215270893,0.0122337698535
ari,2024,3,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_01_ARI_BUF;2024_02_LA_ARI,2024_03_DET_ARI;2024_04_WAS_ARI,2,0.0923076923077,0.0769230769231,0.44273251677,0.138001867414,-0.0510944417978,0.105852932955,-0.0392434889844,2,0.157142857143,0.0714285714286,-0.106820254739,0.154131618011,0.00336869435805,0.100474896713,-0.0460838418044,0.0648351648352,-0.00549450549451,-0.54955277151,0.0161297505967,0.0544631361559
ari,2024,4,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_02_LA_ARI;2024_03_DET_ARI,2024_04_WAS_ARI;2024_05_ARI_SF,2,0.0724637681159,0.0289855072464,0.327639175976,0.171166338876,-0.0861925078525,0.106366588941,-0.0381050342582,2,0.147540983607,0.0819672131148,-0.12360373927,0.115354317224,0.0116719786079,0.102752659419,-0.0452885708422,0.0750772154906,0.0529817058684,-0.451242915246,-0.0558120216518,0.0978644864605
ari,2024,5,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_03_DET_ARI;2024_04_WAS_ARI,2024_05_ARI_SF;2024_06_ARI_GB,2,0.157142857143,0.0714285714286,-0.106820254739,0.154131618011,0.00336869435805,0.100474896713,-0.0460838418044,2,0.0416666666667,0.0138888888889,-0.0355018399212,0.171843405045,-0.113889998793,0.105422878193,-0.0406044016523,-0.115476190476,-0.0575396825397,0.0713184148183,0.0177117870343,-0.117258693151
ari,2024,6,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_04_WAS_ARI;2024_05_ARI_SF,2024_06_ARI_GB;2024_07_LAC_ARI,2,0.147540983607,0.0819672131148,-0.12360373927,0.115354317224,0.0116719786079,0.102752659419,-0.0452885708422,2,0.0285714285714,0,0.0832516771274,0.163914567703,-0.124767210318,0.0994310006543,-0.0468745806146,-0.118969555035,-0.0819672131148,0.206855416397,0.0485602504783,-0.136439188926
ari,2024,7,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_05_ARI_SF;2024_06_ARI_GB,2024_07_LAC_ARI;2024_08_ARI_MIA,2,0.0416666666667,0.0138888888889,-0.0355018399212,0.171843405045,-0.113889998793,0.105422878193,-0.0406044016523,2,0.0285714285714,0,0.362212532177,0.139632936508,-0.115297595585,0.0917171717172,-0.0563258608039,-0.0130952380952,-0.0138888888889,0.397714372098,-0.032210468537,-0.00140759679191
ari,2024,8,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_06_ARI_GB;2024_07_LAC_ARI,2024_08_ARI_MIA;2024_09_CHI_ARI,2,0.0285714285714,0,0.0832516771274,0.163914567703,-0.124767210318,0.0994310006543,-0.0468745806146,2,0.0645161290323,0.0483870967742,0.159066897626,0.156254911206,-0.0840002533696,0.0841556357802,-0.0646690868585,0.0359447004608,0.0483870967742,0.0758152204984,-0.007659656497,0.0407669569488
ari,2024,9,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_07_LAC_ARI;2024_08_ARI_MIA,2024_09_CHI_ARI;2024_10_NYJ_ARI,2,0.0285714285714,0,0.362212532177,0.139632936508,-0.115297595585,0.0917171717172,-0.0563258608039,2,0.1,0.08,0.249274788086,0.166103987448,-0.0520804237339,0.077879130267,-0.0715364170986,0.0714285714286,0.08,-0.112937744091,0.02647105094,0.0632171718506
ari,2024,10,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2024_08_ARI_MIA;2024_09_CHI_ARI,2024_10_NYJ_ARI;2024_12_ARI_SEA,2,0.0645161290323,0.0483870967742,0.159066897626,0.156254911206,-0.0840002533696,0.0841556357802,-0.0646690868585,2,0.12676056338,0.0845070422535,0.178031421406,0.158775313404,-0.0216262953526,0.0782442748091,-0.0721682003121,0.062244434348,0.0361199454793,0.0189645237801,0.0025204021985,0.062373958017
