game_id,season,week,team,opponent,plays,first_downs,third_attempts,third_conversions
2025_01_ARI_NO,2025,1,ari,no,61,17,13,6
2025_01_ARI_NO,2025,1,no,ari,67,17,14,5
2025_01_BAL_BUF,2025,1,bal,buf,50,18,11,6
2025_01_BAL_BUF,2025,1,buf,bal,74,27,14,7
2025_01_CAR_JAX,2025,1,car,jax,60,13,15,8
2025_01_CAR_JAX,2025,1,jax,car,60,19,12,5
2025_01_CIN_CLE,2025,1,cin,cle,49,10,14,7
2025_01_CIN_CLE,2025,1,cle,cin,71,18,16,9
2025_01_DAL_PHI,2025,1,dal,phi,55,18,11,7
2025_01_DAL_PHI,2025,1,phi,dal,59,20,12,8
2025_01_DET_GB,2025,1,det,gb,64,16,15,5
2025_01_DET_GB,2025,1,gb,det,46,13,10,4
2025_01_HOU_LA,2025,1,hou,lar,57,16,9,2
2025_01_HOU_LA,2025,1,lar,hou,55,16,13,7
2025_01_KC_LAC,2025,1,kc,lac,57,17,14,5
2025_01_KC_LAC,2025,1,lac,kc,59,22,12,7
2025_01_LV_NE,2025,1,lv,ne,60,20,13,5
2025_01_LV_NE,2025,1,ne,lv,68,17,14,4
2025_01_MIA_IND,2025,1,ind,mia,70,26,15,7
2025_01_MIA_IND,2025,1,mia,ind,46,12,10,5
2025_01_MIN_CHI,2025,1,chi,min,63,17,12,3
2025_01_MIN_CHI,2025,1,min,chi,49,11,12,3
2025_01_NYG_WAS,2025,1,nyg,wsh,62,13,16,4
2025_01_NYG_WAS,2025,1,wsh,nyg,62,22,10,4
2025_01_PIT_NYJ,2025,1,nyj,pit,62,22,14,7
2025_01_PIT_NYJ,2025,1,pit,nyj,53,17,10,4
2025_01_SF_SEA,2025,1,sea,sf,49,12,10,3
2025_01_SF_SEA,2025,1,sf,sea,70,22,14,7
2025_01_TB_ATL,2025,1,atl,tb,70,21,15,6
2025_01_TB_ATL,2025,1,tb,atl,55,15,14,7
2025_01_TEN_DEN,2025,1,den,ten,69,16,15,6
2025_01_TEN_DEN,2025,1,ten,den,55,7,14,2
2025_02_ATL_MIN,2025,2,atl,min,62,17,15,6
2025_02_ATL_MIN,2025,2,min,atl,46,10,11,4
2025_02_BUF_NYJ,2025,2,buf,nyj,67,21,13,5
2025_02_BUF_NYJ,2025,2,nyj,buf,47,11,11,0
2025_02_CAR_ARI,2025,2,ari,car,47,15,9,3
2025_02_CAR_ARI,2025,2,car,ari,76,23,15,5
2025_02_CHI_DET,2025,2,chi,det,64,18,13,7
2025_02_CHI_DET,2025,2,det,chi,58,25,10,4
2025_02_CLE_BAL,2025,2,bal,cle,50,13,11,3
2025_02_CLE_BAL,2025,2,cle,bal,72,17,18,7
2025_02_DEN_IND,2025,2,den,ind,54,18,9,4
2025_02_DEN_IND,2025,2,ind,den,67,23,13,6
2025_02_JAX_CIN,2025,2,cin,jax,65,22,14,6
2025_02_JAX_CIN,2025,2,jax,cin,70,21,13,6
2025_02_LA_TEN,2025,2,lar,ten,57,20,11,5
2025_02_LA_TEN,2025,2,ten,lar,64,17,15,6
2025_02_LAC_LV,2025,2,lac,lv,53,14,11,4
2025_02_LAC_LV,2025,2,lv,lac,65,13,18,9
2025_02_NE_MIA,2025,2,mia,ne,52,16,10,4
2025_02_NE_MIA,2025,2,ne,mia,52,17,12,7
2025_02_NYG_DAL,2025,2,dal,nyg,83,27,14,6
2025_02_NYG_DAL,2025,2,nyg,dal,65,21,14,6
2025_02_PHI_KC,2025,2,kc,phi,57,16,12,4
2025_02_PHI_KC,2025,2,phi,kc,56,15,14,5
2025_02_SEA_PIT,2025,2,pit,sea,58,12,15,5
2025_02_SEA_PIT,2025,2,sea,pit,64,21,14,6
2025_02_SF_NO,2025,2,no,sf,67,19,11,4
2025_02_SF_NO,2025,2,sf,no,64,21,14,8
2025_02_TB_HOU,2025,2,hou,tb,45,11,9,2
2025_02_TB_HOU,2025,2,tb,hou,72,21,14,6
2025_02_WAS_GB,2025,2,gb,wsh,61,20,12,5
2025_02_WAS_GB,2025,2,wsh,gb,64,13,16,5
2025_03_ARI_SF,2025,3,ari,sf,64,15,15,5
2025_03_ARI_SF,2025,3,sf,ari,60,18,10,2
2025_03_ATL_CAR,2025,3,atl,car,66,17,13,5
2025_03_ATL_CAR,2025,3,car,atl,54,14,11,3
