era,n,dateRange,sdProjectedKRate,sdProjectedKs,sdActualKs,sdMarketLine,pctProjectedAtLeast7,p90ProjectedKs,pctUnderAll,highLineN,pctUnderHighLine
A_pre_shrinkage,919,2026-07-23..2026-09-01,0.0467,1.254,2.428,1.49,3.59,6.335,45,47,83
B_alpha_0.55,39,2026-09-02..2026-09-06,0.0298,1.061,2.937,1.636,0,6.31,46.2,7,100
