game_id,season,week,team,opponent,off_success,off_plays,pass_success,pass_plays,rush_success,rush_plays
2019_01_ATL_MIN,2019,1,atl,min,31,72,28,57,3,15
2019_01_ATL_MIN,2019,1,min,atl,23,51,9,14,14,37
2019_01_BAL_MIA,2019,1,bal,mia,41,75,21,30,20,45
2019_01_BAL_MIA,2019,1,mia,bal,16,49,14,38,2,11
2019_01_BUF_NYJ,2019,1,buf,nyj,33,65,24,47,9,18
2019_01_BUF_NYJ,2019,1,nyj,buf,29,70,20,47,9,23
2019_01_CIN_SEA,2019,1,cin,sea,30,75,27,59,3,16
2019_01_CIN_SEA,2019,1,sea,cin,16,49,11,25,5,24
2019_01_DEN_OAK,2019,1,den,lv,29,62,20,38,9,24
2019_01_DEN_OAK,2019,1,lv,den,29,54,17,27,12,27
2019_01_DET_ARI,2019,1,ari,det,32,87,22,63,10,24
2019_01_DET_ARI,2019,1,det,ari,37,82,26,50,11,32
2019_01_GB_CHI,2019,1,chi,gb,25,71,21,56,4,15
2019_01_GB_CHI,2019,1,gb,chi,21,59,16,40,5,19
2019_01_HOU_NO,2019,1,hou,no,30,64,19,41,11,23
2019_01_HOU_NO,2019,1,no,hou,37,64,27,43,10,21
2019_01_IND_LAC,2019,1,ind,lac,35,62,16,30,19,32
2019_01_IND_LAC,2019,1,lac,ind,31,63,22,42,9,21
2019_01_KC_JAX,2019,1,jax,kc,29,57,21,37,8,20
2019_01_KC_JAX,2019,1,kc,jax,40,67,28,41,12,26
2019_01_LA_CAR,2019,1,car,lar,30,65,17,42,13,23
2019_01_LA_CAR,2019,1,lar,car,35,74,21,44,14,30
2019_01_NYG_DAL,2019,1,dal,nyg,33,66,24,36,9,30
2019_01_NYG_DAL,2019,1,nyg,dal,35,68,25,53,10,15
2019_01_PIT_NE,2019,1,ne,pit,30,70,20,40,10,30
2019_01_PIT_NE,2019,1,pit,ne,25,66,22,54,3,12
2019_01_SF_TB,2019,1,sf,tb,25,64,15,34,10,30
2019_01_SF_TB,2019,1,tb,sf,29,68,17,45,12,23
2019_01_TEN_CLE,2019,1,cle,ten,27,71,19,49,8,22
2019_01_TEN_CLE,2019,1,ten,cle,25,57,13,32,12,25
2019_01_WAS_PHI,2019,1,phi,wsh,30,72,17,40,13,32
2019_01_WAS_PHI,2019,1,wsh,phi,27,62,25,47,2,15
2019_02_ARI_BAL,2019,2,ari,bal,21,55,19,44,2,11
2019_02_ARI_BAL,2019,2,bal,ari,33,75,24,46,9,29
2019_02_BUF_NYG,2019,2,buf,nyg,30,68,19,38,11,30
2019_02_BUF_NYG,2019,2,nyg,buf,29,68,19,47,10,21
2019_02_CHI_DEN,2019,2,chi,den,25,60,13,30,12,30
2019_02_CHI_DEN,2019,2,den,chi,35,80,29,55,6,25
2019_02_CLE_NYJ,2019,2,cle,nyj,22,63,15,41,7,22
2019_02_CLE_NYJ,2019,2,nyj,cle,19,64,11,40,8,24
2019_02_DAL_WAS,2019,2,dal,wsh,38,68,22,34,16,34
2019_02_DAL_WAS,2019,2,wsh,dal,27,58,21,41,6,17
2019_02_IND_TEN,2019,2,ind,ten,29,68,16,37,13,31
2019_02_IND_TEN,2019,2,ten,ind,25,57,15,35,10,22
2019_02_JAX_HOU,2019,2,hou,jax,26,63,13,35,13,28
2019_02_JAX_HOU,2019,2,jax,hou,23,63,19,46,4,17
2019_02_KC_OAK,2019,2,kc,lv,32,74,28,53,4,21
2019_02_KC_OAK,2019,2,lv,kc,28,62,20,44,8,18
2019_02_LAC_DET,2019,2,det,lac,27,59,18,33,9,26
2019_02_LAC_DET,2019,2,lac,det,32,65,20,41,12,24
2019_02_MIN_GB,2019,2,gb,min,28,71,15,38,13,33
2019_02_MIN_GB,2019,2,min,gb,23,65,12,39,11,26
2019_02_NE_MIA,2019,2,mia,ne,17,62,14,48,3,14
2019_02_NE_MIA,2019,2,ne,mia,35,70,20,36,15,34
2019_02_NO_LA,2019,2,lar,no,28,64,16,37,12,27
2019_02_NO_LA,2019,2,no,lar,24,63,18,45,6,18
2019_02_PHI_ATL,2019,2,atl,phi,23,62,20,46,3,16
2019_02_PHI_ATL,2019,2,phi,atl,30,78,23,54,7,24
2019_02_SEA_PIT,2019,2,pit,sea,27,55,19,39,8,16
2019_02_SEA_PIT,2019,2,sea,pit,35,75,26,46,9,29
2019_02_SF_CIN,2019,2,cin,sf,25,69,21,50,4,19
2019_02_SF_CIN,2019,2,sf,cin,40,68,17,28,23,40
2019_02_TB_CAR,2019,2,car,tb,28,75,23,56,5,19
2019_02_TB_CAR,2019,2,tb,car,24,58,14,30,10,28
2019_03_ATL_IND,2019,3,atl,ind,31,59,24,39,7,20
2019_03_ATL_IND,2019,3,ind,atl,35,65,28,43,7,22
2019_03_BAL_KC,2019,3,bal,kc,37,79,19,51,18,28
2019_03_BAL_KC,2019,3,kc,bal,37,66,25,43,12,23
2019_03_CAR_ARI,2019,3,ari,car,33,75,21,55,12,20
2019_03_CAR_ARI,2019,3,car,ari,28,58,16,29,12,29
2019_03_CHI_WAS,2019,3,chi,wsh,29,63,22,38,7,25
2019_03_CHI_WAS,2019,3,wsh,chi,36,74,30,54,6,20
2019_03_CIN_BUF,2019,3,buf,cin,34,73,20,42,14,31
2019_03_CIN_BUF,2019,3,cin,buf,21,59,15,39,6,20
2019_03_DEN_GB,2019,3,den,gb,32,72,14,35,18,37
2019_03_DEN_GB,2019,3,gb,den,21,53,13,29,8,24
2019_03_DET_PHI,2019,3,det,phi,21,59,12,34,9,25
2019_03_DET_PHI,2019,3,phi,det,29,74,19,47,10,27
2019_03_HOU_LAC,2019,3,hou,lac,28,58,24,42,4,16
2019_03_HOU_LAC,2019,3,lac,hou,33,74,25,56,8,18
2019_03_LA_CLE,2019,3,cle,lar,25,68,17,43,8,25
2019_03_LA_CLE,2019,3,lar,cle,28,63,19,41,9,22
2019_03_MIA_DAL,2019,3,dal,mia,37,71,17,36,20,35
2019_03_MIA_DAL,2019,3,mia,dal,27,70,20,49,7,21
2019_03_NO_SEA,2019,3,no,sea,26,55,16,33,10,22
2019_03_NO_SEA,2019,3,sea,no,33,82,30,60,3,22
2019_03_NYG_TB,2019,3,nyg,tb,22,61,18,45,4,16
2019_03_NYG_TB,2019,3,tb,nyg,37,74,21,44,16,30
2019_03_NYJ_NE,2019,3,ne,nyj,31,74,24,48,7,26
2019_03_NYJ_NE,2019,3,nyj,ne,11,50,8,30,3,20
2019_03_OAK_MIN,2019,3,lv,min,24,59,18,39,6,20
2019_03_OAK_MIN,2019,3,min,lv,30,60,14,25,16,35
2019_03_PIT_SF,2019,3,pit,sf,17,53,9,35,8,18
2019_03_PIT_SF,2019,3,sf,pit,37,78,19,36,18,42
2019_03_TEN_JAX,2019,3,jax,ten,19,53,15,36,4,17
2019_03_TEN_JAX,2019,3,ten,jax,25,79,18,56,7,23
2019_04_CAR_HOU,2019,4,car,hou,27,67,19,39,8,28
2019_04_CAR_HOU,2019,4,hou,car,26,66,17,46,9,20
2019_04_CIN_PIT,2019,4,cin,pit,23,66,13,48,10,18
2019_04_CIN_PIT,2019,4,pit,cin,30,55,23,32,7,23
2019_04_CLE_BAL,2019,4,bal,cle,35,67,19,40,16,27
2019_04_CLE_BAL,2019,4,cle,bal,29,65,18,36,11,29
2019_04_DAL_NO,2019,4,dal,no,22,57,19,38,3,19
2019_04_DAL_NO,2019,4,no,dal,30,70,16,41,14,29
2019_04_JAX_DEN,2019,4,den,jax,23,54,19,39,4,15
2019_04_JAX_DEN,2019,4,jax,den,34,82,18,41,16,41
2019_04_KC_DET,2019,4,det,kc,37,76,23,42,14,34
2019_04_KC_DET,2019,4,kc,det,31,68,23,48,8,20
2019_04_LAC_MIA,2019,4,lac,mia,35,64,24,33,11,31
2019_04_LAC_MIA,2019,4,mia,lac,25,52,16,32,9,20
2019_04_MIN_CHI,2019,4,chi,min,25,70,20,38,5,32
2019_04_MIN_CHI,2019,4,min,chi,19,59,14,43,5,16
2019_04_NE_BUF,2019,4,buf,ne,31,78,24,58,7,20
2019_04_NE_BUF,2019,4,ne,buf,17,60,8,40,9,20
2019_04_OAK_IND,2019,4,ind,lv,28,76,19,53,9,23
2019_04_OAK_IND,2019,4,lv,ind,28,63,14,32,14,31
2019_04_PHI_GB,2019,4,gb,phi,42,78,37,63,5,15
2019_04_PHI_GB,2019,4,phi,gb,32,59,17,30,15,29
2019_04_SEA_ARI,2019,4,ari,sea,28,62,17,41,11,21
2019_04_SEA_ARI,2019,4,sea,ari,33,62,20,36,13,26
2019_04_TB_LA,2019,4,lar,tb,43,88,40,77,3,11
2019_04_TB_LA,2019,4,tb,lar,35,73,26,43,9,30
2019_04_TEN_ATL,2019,4,atl,ten,33,79,28,63,5,16
2019_04_TEN_ATL,2019,4,ten,atl,29,62,13,29,16,33
2019_04_WAS_NYG,2019,4,nyg,wsh,37,75,23,42,14,33
2019_04_WAS_NYG,2019,4,wsh,nyg,14,49,13,34,1,15
2019_05_ARI_CIN,2019,5,ari,cin,36,73,18,37,18,36
2019_05_ARI_CIN,2019,5,cin,ari,35,66,23,42,12,24
2019_05_ATL_HOU,2019,5,atl,hou,30,71,25,53,5,18
2019_05_ATL_HOU,2019,5,hou,atl,37,70,23,36,14,34
2019_05_BAL_PIT,2019,5,bal,pit,31,79,15,43,16,36
2019_05_BAL_PIT,2019,5,pit,bal,25,57,17,39,8,18
2019_05_BUF_TEN,2019,5,buf,ten,25,62,16,40,9,22
2019_05_BUF_TEN,2019,5,ten,buf,22,57,14,32,8,25
2019_05_CHI_OAK,2019,5,chi,lv,23,56,19,38,4,18
2019_05_CHI_OAK,2019,5,lv,chi,37,72,18,34,19,38
2019_05_CLE_SF,2019,5,cle,sf,12,46,8,28,4,18
2019_05_CLE_SF,2019,5,sf,cle,31,72,15,32,16,40
2019_05_DEN_LAC,2019,5,den,lac,26,59,11,28,15,31
2019_05_DEN_LAC,2019,5,lac,den,28,69,25,52,3,17
2019_05_GB_DAL,2019,5,dal,gb,40,71,29,53,11,18
2019_05_GB_DAL,2019,5,gb,dal,35,69,20,43,15,26
2019_05_IND_KC,2019,5,ind,kc,44,79,21,37,23,42
2019_05_IND_KC,2019,5,kc,ind,22,60,19,49,3,11
2019_05_JAX_CAR,2019,5,car,jax,30,63,16,37,14,26
2019_05_JAX_CAR,2019,5,jax,car,39,82,30,56,9,26
2019_05_LA_SEA,2019,5,lar,sea,31,69,24,52,7,17
2019_05_LA_SEA,2019,5,sea,lar,33,70,18,33,15,37
2019_05_MIN_NYG,2019,5,min,nyg,32,66,19,33,13,33
2019_05_MIN_NYG,2019,5,nyg,min,26,68,17,48,9,20
2019_05_NE_WAS,2019,5,ne,wsh,34,77,25,50,9,27
2019_05_NE_WAS,2019,5,wsh,ne,14,56,10,37,4,19
2019_05_NYJ_PHI,2019,5,nyj,phi,17,57,10,37,7,20
2019_05_NYJ_PHI,2019,5,phi,nyj,26,64,17,37,9,27
2019_05_TB_NO,2019,5,no,tb,32,68,22,42,10,26
2019_05_TB_NO,2019,5,tb,no,25,57,16,38,9,19
2019_06_ATL_ARI,2019,6,ari,atl,31,65,24,42,7,23
2019_06_ATL_ARI,2019,6,atl,ari,37,67,28,44,9,23
2019_06_CAR_TB,2019,6,car,tb,23,65,16,36,7,29
2019_06_CAR_TB,2019,6,tb,car,32,78,28,65,4,13
2019_06_CIN_BAL,2019,6,bal,cin,35,75,17,36,18,39
2019_06_CIN_BAL,2019,6,cin,bal,21,59,20,46,1,13
2019_06_DAL_NYJ,2019,6,dal,nyj,42,81,29,48,13,33
2019_06_DAL_NYJ,2019,6,nyj,dal,23,57,20,39,3,18
2019_06_DET_GB,2019,6,det,gb,19,54,15,36,4,18
2019_06_DET_GB,2019,6,gb,det,34,72,21,46,13,26
2019_06_HOU_KC,2019,6,hou,kc,47,86,31,51,16,35
2019_06_HOU_KC,2019,6,kc,hou,23,54,19,44,4,10
2019_06_NO_JAX,2019,6,jax,no,18,57,15,35,3,22
2019_06_NO_JAX,2019,6,no,jax,29,64,19,39,10,25
2019_06_NYG_NE,2019,6,ne,nyg,38,79,25,46,13,33
2019_06_NYG_NE,2019,6,nyg,ne,16,49,12,34,4,15
2019_06_PHI_MIN,2019,6,min,phi,32,69,21,34,11,35
2019_06_PHI_MIN,2019,6,phi,min,31,65,23,44,8,21
2019_06_PIT_LAC,2019,6,lac,pit,26,62,23,48,3,14
2019_06_PIT_LAC,2019,6,pit,lac,25,59,14,23,11,36
2019_06_SEA_CLE,2019,6,cle,sea,30,67,21,45,9,22
2019_06_SEA_CLE,2019,6,sea,cle,40,78,28,47,12,31
2019_06_SF_LA,2019,6,lar,sf,19,52,7,30,12,22
2019_06_SF_LA,2019,6,sf,lar,33,75,20,36,13,39
2019_06_TEN_DEN,2019,6,den,ten,20,58,12,30,8,28
2019_06_TEN_DEN,2019,6,ten,den,23,65,20,47,3,18
2019_06_WAS_MIA,2019,6,mia,wsh,29,74,19,53,10,21
2019_06_WAS_MIA,2019,6,wsh,mia,20,58,11,27,9,31
2019_07_ARI_NYG,2019,7,ari,nyg,22,61,14,29,8,32
2019_07_ARI_NYG,2019,7,nyg,ari,28,70,22,50,6,20
2019_07_BAL_SEA,2019,7,bal,sea,20,55,11,26,9,29
2019_07_BAL_SEA,2019,7,sea,bal,32,71,20,46,12,25
2019_07_HOU_IND,2019,7,hou,ind,32,64,22,42,10,22
2019_07_HOU_IND,2019,7,ind,hou,29,71,24,46,5,25
2019_07_JAX_CIN,2019,7,cin,jax,26,70,23,52,3,18
2019_07_JAX_CIN,2019,7,jax,cin,31,77,15,40,16,37
2019_07_KC_DEN,2019,7,den,kc,20,67,14,46,6,21
2019_07_KC_DEN,2019,7,kc,den,24,60,17,34,7,26
2019_07_LA_ATL,2019,7,atl,lar,23,54,18,40,5,14
2019_07_LA_ATL,2019,7,lar,atl,35,76,20,40,15,36
2019_07_LAC_TEN,2019,7,lac,ten,31,63,26,42,5,21
2019_07_LAC_TEN,2019,7,ten,lac,31,62,21,34,10,28
2019_07_MIA_BUF,2019,7,buf,mia,25,54,17,32,8,22
2019_07_MIA_BUF,2019,7,mia,buf,35,72,22,43,13,29
2019_07_MIN_DET,2019,7,det,min,40,74,31,53,9,21
2019_07_MIN_DET,2019,7,min,det,38,69,23,36,15,33
2019_07_NE_NYJ,2019,7,ne,nyj,35,80,22,47,13,33
2019_07_NE_NYJ,2019,7,nyj,ne,19,59,9,38,10,21
2019_07_NO_CHI,2019,7,chi,no,24,63,23,56,1,7
2019_07_NO_CHI,2019,7,no,chi,33,74,20,41,13,33
2019_07_OAK_GB,2019,7,gb,lv,30,55,24,37,6,18
2019_07_OAK_GB,2019,7,lv,gb,31,65,20,35,11,30
2019_07_PHI_DAL,2019,7,dal,phi,33,69,20,33,13,36
2019_07_PHI_DAL,2019,7,phi,dal,24,60,15,34,9,26
2019_07_SF_WAS,2019,7,sf,wsh,25,64,12,27,13,37
2019_07_SF_WAS,2019,7,wsh,sf,14,45,5,16,9,29
2019_08_ARI_NO,2019,8,ari,no,17,49,14,38,3,11
