id,regimeMaxShift,n,ipMae,ipRmse,ipSigned,ipCorrelation,bfN,bfMae,bfSigned,bfCorrelation,meanAbsRegimeAdj,meanAbsSiteAdj,meanAbsOpponentAdj,pctOpponentCapped,validationBfMae,validationBfSigned,validationIpMae,validationIpSigned
regimeMaxShift=0.6,0.6,602,0.9308,1.2166,-0.018,0.3354,602,2.6985,0.1395,0.4086,0.0116,0,0,0,2.4615,0.1677,0.8563,0.1035
regimeMaxShift=0.3,0.3,602,0.9301,1.2153,-0.0203,0.3367,602,2.6986,0.1306,0.4079,0.0058,0,0,0,2.4611,0.1556,0.8558,0.1006
regimeMaxShift=0.45,0.45,602,0.9304,1.2159,-0.0192,0.3361,602,2.6986,0.1351,0.4083,0.0087,0,0,0,2.4613,0.1616,0.856,0.102
regimeMaxShift=0.15,0.15,602,0.9298,1.2147,-0.0215,0.3372,602,2.6987,0.1262,0.4074,0.0029,0,0,0,2.4609,0.1495,0.8556,0.0991
regimeMaxShift=0,0,602,0.9296,1.2142,-0.0226,0.3378,602,2.6989,0.1217,0.4068,0,0,0,0,2.4607,0.1435,0.8554,0.0976
