id,leaguePriorK,n,ipMae,ipRmse,ipSigned,ipCorrelation,bfN,bfMae,bfSigned,bfCorrelation,meanAbsRegimeAdj,meanAbsSiteAdj,meanAbsOpponentAdj,pctOpponentCapped,validationBfMae,validationBfSigned,validationIpMae,validationIpSigned
leaguePriorK=2,2,602,0.9296,1.2142,-0.0226,0.3378,602,2.6989,0.1217,0.4068,0,0,0,0,2.4607,0.1435,0.8554,0.0976
leaguePriorK=1,1,602,0.9301,1.2149,-0.0218,0.347,602,2.6996,0.1185,0.4225,0,0,0,0,2.4663,0.112,0.8564,0.0881
leaguePriorK=3,3,602,0.9297,1.2147,-0.0264,0.3306,602,2.7047,0.111,0.3949,0,0,0,0,2.4667,0.1597,0.8556,0.1021
leaguePriorK=5,5,602,0.9309,1.2164,-0.0375,0.3216,602,2.7123,0.0746,0.3799,0,0,0,0,2.4925,0.1622,0.857,0.1027
leaguePriorK=8,8,602,0.933,1.2197,-0.0552,0.3139,602,2.723,0.0136,0.3672,0,0,0,0,2.5173,0.1395,0.8606,0.0964
leaguePriorK=0,0,602,0.9356,1.2252,-0.0244,0.3492,602,2.7334,0.1033,0.4201,0,0,0,0,2.5162,0.0665,0.8713,0.0723
