season,week,game_type,team,gsis_id,pfr_id,espn_id,full_name,position,depth_chart_position,status,status_description_abbr
2023,11,REG,PHI,00-0017724,,,Bernard Williams,OL,T,CUT,W03
2023,6,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,DEV,P07
2023,4,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,DEV,P07
2023,17,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,INA,A01
2023,11,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,10,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,13,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,9,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,12,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,14,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,16,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,8,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,2,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,DEV,P07
2023,15,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,ACT,A01
2023,7,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,DEV,P07
2023,3,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,DEV,P07
2023,18,REG,SEA,00-0022531,,6012,Jason Peters,OL,T,INA,A01
2023,13,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R48
2023,2,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,5,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,10,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,3,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,16,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,INA,A01
2023,12,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,4,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,15,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R48
2023,14,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R48
2023,6,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,9,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,1,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,ACT,A01
2023,18,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,INA,A01
2023,8,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,17,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,INA,A01
2023,11,REG,NYJ,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,RES,R01
2023,12,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,7,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,8,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,6,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,9,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,11,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,3,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,16,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,15,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,17,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,5,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,13,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,2,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,4,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,10,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,1,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,18,REG,ARI,00-0023853,,11122,Matt Prater,K,K,ACT,A01
2023,2,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,7,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,15,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,11,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,14,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,1,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,8,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,5,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,17,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,6,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,10,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,4,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,9,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,12,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,3,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,18,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,16,REG,CHI,00-0024243,LewiMa00,9614,Marcedes Lewis,TE,TE,ACT,A01
2023,10,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,13,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,17,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,9,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,11,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,12,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,6,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,3,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,1,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,4,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,18,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,15,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,2,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,8,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,16,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,5,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,14,REG,TEN,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2023,17,REG,NYG,00-0025580,CrosMa20,10636,Mason Crosby,K,K,ACT,A01
2023,16,REG,NYG,00-0025580,CrosMa20,10636,Mason Crosby,K,K,ACT,A01
2023,15,REG,LA,00-0025580,CrosMa20,10636,Mason Crosby,K,K,CUT,P07
2023,14,REG,LA,00-0025580,CrosMa20,10636,Mason Crosby,K,K,INA,A01
2023,18,REG,NYG,00-0025580,CrosMa20,10636,Mason Crosby,K,K,ACT,A01
2023,1,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,2,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,12,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,4,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,8,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,11,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,6,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,10,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,16,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,17,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,15,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,9,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,3,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,14,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,5,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,18,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,13,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2023,13,REG,CLE,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,ACT,A01
2023,12,REG,CLE,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,DEV,P07
2023,18,REG,CLE,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,ACT,A01
2023,16,REG,CLE,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,ACT,A01
2023,14,REG,CLE,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,ACT,A01
2023,15,REG,CLE,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,ACT,A01
2023,17,REG,CLE,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,ACT,A01
2023,10,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R48
2023,11,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R48
2023,18,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R01
2023,17,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R01
2023,8,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R01
2023,2,REG,NYJ,00-0026166,,,Duane Brown,OL,T,ACT,A01
2023,16,REG,NYJ,00-0026166,,,Duane Brown,OL,T,INA,A01
2023,1,REG,NYJ,00-0026166,,,Duane Brown,OL,T,ACT,A01
2023,12,REG,NYJ,00-0026166,,,Duane Brown,OL,T,ACT,A01
2023,9,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R48
2023,5,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R01
2023,6,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R01
2023,13,REG,NYJ,00-0026166,,,Duane Brown,OL,T,ACT,A01
2023,15,REG,NYJ,00-0026166,,,Duane Brown,OL,T,ACT,A01
2023,14,REG,NYJ,00-0026166,,,Duane Brown,OL,T,ACT,A01
2023,4,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R01
2023,3,REG,NYJ,00-0026166,,,Duane Brown,OL,T,RES,R01
2023,13,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,18,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,5,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,10,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,7,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,3,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,15,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,17,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,8,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,6,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,16,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,9,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,1,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,12,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,14,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,4,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,2,REG,ATL,00-0026190,CampCa99,11284,Calais Campbell,DL,DE,ACT,A01
2023,6,REG,NE,00-0026293,SlatMa00,11387,Matt Slater,WR,WR,ACT,A01
2023,4,REG,NE,00-0026293,SlatMa00,11387,Matt Slater,WR,WR,ACT,A01
