season,week,game_type,team,gsis_id,pfr_id,espn_id,full_name,position,depth_chart_position,status,status_description_abbr
2026,1,REG,PIT,00-0023459,RodgAa00,8439,Aaron Rodgers,QB,QB,ACT,A01
2026,1,REG,ATL,00-0025565,FolkNi20,10621,Nick Folk,K,K,ACT,A01
2026,1,REG,CAR,00-0026027,,,J.J. Jansen,LS,LS,ACT,A01
2026,1,REG,CIN,00-0026158,FlacJo00,11252,Joe Flacco,QB,QB,ACT,A01
2026,1,REG,BAL,00-0026190,CampCa99,11284,Calais Campbell,DL,DT,ACT,A01
2026,1,REG,LA,00-0026498,StafMa00,12483,Matthew Stafford,QB,QB,ACT,A01
2026,1,REG,TEN,00-0027557,,,Morgan Cox,LS,LS,ACT,A01
2026,1,REG,SF,00-0027857,,,Trent Williams,OL,T,ACT,A01
2026,1,REG,DAL,00-0027940,MillVo00,13976,Von Miller,LB,OLB,ACT,A01
2026,1,REG,NO,00-0027962,JordCa00,13971,Cameron Jordan,LB,OLB,ACT,A01
2026,1,REG,PIT,00-0027969,HeywCa01,13977,Cameron Heyward,DL,DT,ACT,A01
2026,1,REG,PHI,00-0027973,DaltAn00,14012,Andy Dalton,QB,QB,ACT,A01
2026,1,REG,GB,00-0028118,TaylTy00,14163,Tyrod Taylor,QB,QB,ACT,A01
2026,1,REG,WAS,00-0028292,BellNi01,14471,Nick Bellore,LB,OLB,RET,R02
2026,1,REG,LAC,00-0028845,HarrJo02,15151,Josh Harris,LS,LS,ACT,A01
2026,1,REG,CHI,00-0028986,KeenCa00,15168,Case Keenum,QB,QB,ACT,A01
2026,1,REG,LV,00-0029604,CousKi00,14880,Kirk Cousins,QB,QB,ACT,A01
2026,1,REG,NYJ,00-0029607,DaviDe00,14958,Demario Davis,LB,ILB,ACT,A01
2026,1,REG,NE,00-0029685,,,Greg Van Roten,OL,G,ACT,A01
2026,1,REG,DAL,00-0029692,AngeBr00,14950,Bryan Anger,P,P,ACT,A01
2026,1,REG,MIN,00-0029714,,,Andrew DePaola,LS,LS,ACT,A01
2026,1,REG,SF,00-0029892,JuszKy00,16002,Kyle Juszczyk,RB,FB,ACT,A01
2026,1,REG,MIN,00-0030035,ThieAd00,16460,Adam Thielen,WR,WR,RET,R02
2026,1,REG,BAL,00-0030070,JenkJo00,15846,John Jenkins,DL,NT,ACT,A01
2026,1,REG,CAR,00-0030092,MartSa01,15928,Sam Martin,P,P,ACT,A01
2026,1,REG,LA,00-0030097,,,David Quessenberry,OL,T,ACT,A01
2026,1,REG,WAS,00-0030140,WayxTr00,16166,Tress Way,P,P,ACT,A01
2026,1,REG,IND,00-0030279,AlleKe00,15818,Keenan Allen,WR,WR,ACT,A01
2026,1,REG,LAC,00-0030294,JeffTo00,16195,Tony Jefferson,DB,SS,ACT,A01
2026,1,REG,KC,00-0030506,KelcTr00,15847,Travis Kelce,TE,TE,ACT,A01
2026,1,REG,PHI,00-0030561,,,Lane Johnson,OL,T,ACT,A01
2026,1,REG,NYJ,00-0030565,SmitGe00,15864,Geno Smith,QB,QB,ACT,A01
2026,1,REG,KC,00-0030615,WincJa00,16665,James Winchester,LS,LS,ACT,A01
2026,1,REG,ARI,00-0030957,,,Casey Kreiter,LS,LS,ACT,A01
2026,1,REG,LAC,00-0031040,MackKh00,16710,Khalil Mack,LB,OLB,ACT,A01
2026,1,REG,PIT,00-0031136,BoswCh00,17372,Chris Boswell,K,K,ACT,A01
2026,1,REG,WAS,00-0031156,,,Tyler Ott,LS,LS,ACT,A01
2026,1,REG,CHI,00-0031203,SantCa01,17427,Cairo Santos,K,K,ACT,A01
2026,1,REG,NYG,00-0031235,BeckOd00,16733,Odell Beckham Jr.,WR,WR,ACT,A01
2026,1,REG,DET,00-0031237,BridTe00,16728,Teddy Bridgewater,QB,QB,RET,R02
2026,1,REG,NYG,00-0031270,HarrSh00,16837,Shelby Harris,DL,DT,ACT,A01
2026,1,REG,ATL,00-0031279,,,Jake Matthews,OL,T,ACT,A01
2026,1,REG,NE,00-0031330,,,Morgan Moses,OL,T,ACT,A01
