outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game,window
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,historical_pass_rush_edge_z,1088,544,-0.0222002755282,0.00878069466738,-0.0394104370762,-0.00499011398009,0.0114614687221,True,2024-2025 validation
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,team_spread,1088,544,-0.0136908476726,0.00174022198108,-0.0171016827556,-0.0102800125897,3.62378131536e-15,True,2024-2025 validation
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,home,1088,544,-0.0263576648769,0.0176809007792,-0.0610122304041,0.00829690065043,0.136029192806,True,2024-2025 validation
team_pass_epa_db,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,prior8_pass_epa_db,1088,544,0.20304542927,0.0708804312051,0.0641197841084,0.341971074432,0.00417511260725,True,2024-2025 validation
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,intercept,1088,544,0.46088525228,0.00429330695047,0.452470370658,0.469300133903,0,True,2024-2025 validation
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,historical_pass_rush_edge_z,1088,544,-0.00501702161399,0.00291863020136,-0.0107375368086,0.000703493580675,0.0856208418675,True,2024-2025 validation
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,team_spread,1088,544,-0.00454421980713,0.000554333179067,-0.0056307128381,-0.00345772677616,2.45167060681e-16,True,2024-2025 validation
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,home,1088,544,-8.0582314626e-05,0.00532334857186,-0.0105143455155,0.0103531808862,0.987922464885,True,2024-2025 validation
team_pass_success_rate,historical_pass_rush_edge_z+team_spread+home+prior8_pass_epa_db,prior8_pass_epa_db,1088,544,0.0716054882811,0.0226759790401,0.0271605693625,0.1160504072,0.00158981851799,True,2024-2025 validation
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,intercept,1088,544,0.806713926747,3.18125078299,-5.42853760791,7.04196546141,0.799817049127,True,2024-2025 validation
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,historical_pass_rush_edge_z,1088,544,-0.093774760784,0.279995555287,-0.642566049146,0.455016527578,0.737689073504,True,2024-2025 validation
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,team_spread,1088,544,-0.10324983839,0.0456208999848,-0.192666802361,-0.0138328744202,0.0236225291802,True,2024-2025 validation
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,closing_total,1088,544,-0.00474063242129,0.0715683901659,-0.145014677147,0.135533412304,0.947187393637,True,2024-2025 validation
team_total_margin,historical_pass_rush_edge_z+team_spread+closing_total+home,home,1088,544,0.12544012694,0.542526147065,-0.937911121308,1.18879137519,0.817147857798,True,2024-2025 validation
team_sack_rate,historical_pass_rush_edge_z+team_spread+home+pregame_pass_rate_last_game,intercept,2046,1023,0.0598951956666,0.00655618545749,0.0470450721699,0.0727453191633,6.49985272149e-20,True,2022-2025 full
