window,group,n,games,mean_team_sack_rate,median_team_sack_rate,n_team_sack_rate,mean_team_sacks,median_team_sacks,n_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,n_team_pass_epa_db,mean_team_pass_epa,median_team_pass_epa,n_team_pass_epa,mean_team_pass_success_rate,median_team_pass_success_rate,n_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,n_team_explosive_pass_rate,mean_team_interceptions,median_team_interceptions,n_team_interceptions,mean_team_points,median_team_points,n_team_points,mean_team_total_margin,median_team_total_margin,n_team_total_margin,mean_ats_margin,median_ats_margin,n_ats_margin,mean_first_half_points,median_first_half_points,n_first_half_points,below_implied_n,below_implied_rate,below_implied_ci_low,below_implied_ci_high,below_implied_3_n,below_implied_3_rate,below_implied_3_ci_low,below_implied_3_ci_high,below_implied_7_n,below_implied_7_rate,below_implied_7_ci_low,below_implied_7_ci_high,ats_w,ats_l,ats_p,ats_cover_rate,su_win_rate
2022-2023 exploratory,z_0_to_0.5,186,169,0.06790189627,0.063829787234,186,2.70967741935,3,186,-0.0226149587969,-0.0400723791647,186,-1.1503538419,-1.58406042582,186,0.444419784964,0.44,186,0.0844244067987,0.0769230769231,186,0.774193548387,1,186,20.7150537634,20,186,-0.147849462366,-0.875,186,-0.513440860215,0,186,,,0,101,0.543010752688,0.471272368346,0.613008421533,74,0.397849462366,0.330259746324,0.469573377712,45,0.241935483871,0.186013746617,0.308301514105,87,89,10,0.494318181818,0.44623655914
2022-2023 exploratory,z_0.5_to_1,133,123,0.0829083819266,0.0833333333333,133,3.15789473684,3,133,-0.06466128399,-0.0683404977257,133,-2.53945349193,-2.5424224772,133,0.43029511809,0.424242424242,133,0.0835037564484,0.0769230769231,133,0.872180451128,1,133,19.6390977444,17,133,-0.486842105263,-2.75,133,-0.518796992481,0,133,,,0,84,0.631578947368,0.546978079084,0.708792096067,65,0.488721804511,0.405283642164,0.572793199966,29,0.218045112782,0.156324345184,0.295596708063,61,66,6,0.48031496063,0.383458646617
2022-2023 exploratory,z_1_to_1.5,76,74,0.0726032918834,0.0652173913043,76,2.84210526316,3,76,-0.000600901380978,0.0272810159877,76,0.220722480595,1.26151801591,76,0.436481646571,0.447368421053,76,0.0876888105797,0.0769230769231,76,0.789473684211,1,76,20.25,20,76,-0.118421052632,-1,76,-0.559210526316,0.25,76,,,0,39,0.513157894737,0.402884990355,0.622164607849,31,0.407894736842,0.304436292411,0.520216520158,15,0.197368421053,0.123418792123,0.300440449174,38,36,2,0.513513513514,0.466666666667
2024-2025 validation,all,1088,544,0.0616853106284,0.0555555555556,1088,2.390625,2,1088,0.0777084434615,0.0839954773298,1088,2.58144542768,3.14824350556,1088,0.465665587835,0.466666666667,1088,0.0916956482175,0.0833333333333,1088,0.704963235294,0,1088,22.9623161765,23,1088,0.656709558824,0.5,1088,0,0,1088,,,0,512,0.470588235294,0.441084594716,0.500298844054,397,0.364889705882,0.336806164012,0.393924007837,225,0.206801470588,0.18378701098,0.231879144257,539,539,10,0.5,0.5
2024-2025 validation,top50_prior,545,402,0.067669013779,0.0606060606061,545,2.61651376147,2,545,0.0396868072195,0.0432372355475,545,1.25945510262,1.57366167899,545,0.454290258731,0.452380952381,545,0.0893981462853,0.0816326530612,545,0.746788990826,1,545,21.719266055,21,545,0.293119266055,-0.25,545,-0.242201834862,0.5,545,,,0,273,0.500917431193,0.459079663676,0.542742355646,208,0.381651376147,0.341828600965,0.423130906478,116,0.212844036697,0.180550315452,0.249157636715,273,265,7,0.507434944238,0.454880294659
2024-2025 validation,top25_prior,281,232,0.0715007585886,0.0652173913043,281,2.75444839858,3,281,0.0165026057522,0.0133539034177,281,0.513194343671,0.547510040126,281,0.449493624706,0.444444444444,281,0.0876007602337,0.0810810810811,281,0.761565836299,1,281,21.3772241993,20,281,0.356761565836,-0.5,281,-0.0516014234875,-0.5,281,,,0,145,0.516014234875,0.457761314243,0.573835194132,109,0.387900355872,0.332803875512,0.446020565862,59,0.209964412811,0.166415745406,0.261336380688,137,141,3,0.492805755396,0.457142857143
2024-2025 validation,top20_prior,231,201,0.0732881104668,0.0652173913043,231,2.78787878788,3,231,0.0100172736573,0.0116217882942,231,0.435541052877,0.522980473237,231,0.445723747543,0.444444444444,231,0.0865481366299,0.08,231,0.774891774892,1,231,21.1904761905,20,231,0.41341991342,-0.25,231,-0.225108225108,-0.5,231,,,0,116,0.502164502165,0.438179976889,0.566078212461,84,0.363636363636,0.30430114863,0.427432922335,43,0.186147186147,0.141235527525,0.24132701676,113,116,2,0.493449781659,0.430434782609
2024-2025 validation,top10_prior,113,107,0.0804932553511,0.0769230769231,113,3.13274336283,3,113,-0.023890528355,-0.00148727983242,113,-0.75732161164,-0.0936986294424,113,0.432157919963,0.441860465116,113,0.0813718598,0.0769230769231,113,0.840707964602,1,113,20.9292035398,21,113,0.398230088496,-0.25,113,-0.588495575221,-0.5,113,,,0,57,0.504424778761,0.413620306902,0.594938288666,43,0.380530973451,0.296335004209,0.472582915436,22,0.194690265487,0.132232356003,0.277224549756,56,57,0,0.495575221239,0.41592920354
2024-2025 validation,z_ge_0.5,335,269,0.0693007363439,0.0625,335,2.69253731343,2,335,0.0170777553608,0.0242536433429,335,0.515740026624,0.970145733714,335,0.449015190184,0.444444444444,335,0.0868968056132,0.0810810810811,335,0.770149253731,1,335,21.4656716418,20,335,0.44328358209,-0.25,335,-0.205970149254,-0.5,335,,,0,170,0.507462686567,0.454145208432,0.560610949017,130,0.388059701493,0.337425948541,0.441231689718,69,0.205970149254,0.16611443617,0.252492960324,162,169,4,0.489425981873,0.440119760479
2024-2025 validation,z_ge_1.0,161,145,0.0785729869308,0.0731707317073,161,3.0248447205,3,161,-0.009613625027,-0.000373423860169,161,-0.334987673457,-0.0216585838898,161,0.436499428356,0.434782608696,161,0.0828777108885,0.0769230769231,161,0.770186335404,1,161,21.1304347826,21,161,0.597826086957,0.5,161,-0.33850931677,-0.5,161,,,0,78,0.484472049689,0.408540341299,0.561127509535,59,0.366459627329,0.295949143819,0.443194373352,33,0.204968944099,0.149836949201,0.273852216641,79,81,1,0.49375,0.434782608696
