game_id,season,week,team,opponent,fh_trailing_plays,fh_trailing_pass,fh_trailing_rush,fh_close_plays,fh_close_pass,fh_close_rush,fh_leading_plays,fh_leading_pass,fh_leading_rush,sh_trailing_plays,sh_trailing_pass,sh_trailing_rush,sh_close_plays,sh_close_pass,sh_close_rush,sh_leading_plays,sh_leading_pass,sh_leading_rush
2024_01_ARI_BUF,2024,1,ari,buf,0,0,0,35,22,13,0,0,0,0,0,0,24,16,8,0,0,0
2024_01_ARI_BUF,2024,1,buf,ari,18,9,9,4,2,2,0,0,0,0,0,0,38,21,17,0,0,0
2024_01_BAL_KC,2024,1,bal,kc,0,0,0,42,29,13,0,0,0,27,18,9,11,11,0,0,0,0
2024_01_BAL_KC,2024,1,kc,bal,0,0,0,22,16,6,0,0,0,0,0,0,22,12,10,9,5,4
2024_01_CAR_NO,2024,1,car,no,25,17,8,1,1,0,0,0,0,33,24,9,0,0,0,0,0,0
2024_01_CAR_NO,2024,1,no,car,0,0,0,9,5,4,27,13,14,0,0,0,0,0,0,30,10,20
2024_01_DAL_CLE,2024,1,cle,dal,9,6,3,15,12,3,0,0,0,52,42,10,0,0,0,0,0,0
2024_01_DAL_CLE,2024,1,dal,cle,0,0,0,34,19,15,9,6,3,0,0,0,0,0,0,19,11,8
2024_01_DEN_SEA,2024,1,den,sea,0,0,0,40,27,13,0,0,0,18,16,2,11,6,5,0,0,0
2024_01_DEN_SEA,2024,1,sea,den,0,0,0,27,18,9,0,0,0,0,0,0,26,11,15,10,5,5
2024_01_GB_PHI,2024,1,gb,phi,0,0,0,29,18,11,0,0,0,0,0,0,37,24,13,0,0,0
2024_01_GB_PHI,2024,1,phi,gb,0,0,0,39,22,17,0,0,0,0,0,0,36,18,18,0,0,0
2024_01_HOU_IND,2024,1,hou,ind,0,0,0,31,20,11,0,0,0,0,0,0,45,20,25,0,0,0
2024_01_HOU_IND,2024,1,ind,hou,0,0,0,27,14,13,0,0,0,13,10,3,4,1,3,0,0,0
2024_01_JAX_MIA,2024,1,jax,mia,0,0,0,28,17,11,0,0,0,0,0,0,12,4,8,13,6,7
2024_01_JAX_MIA,2024,1,mia,jax,12,8,4,24,18,6,0,0,0,12,10,2,23,9,14,0,0,0
2024_01_LA_DET,2024,1,det,lar,0,0,0,27,12,15,0,0,0,0,0,0,34,19,15,0,0,0
2024_01_LA_DET,2024,1,lar,det,0,0,0,37,27,10,0,0,0,12,6,6,29,20,9,0,0,0
2024_01_LV_LAC,2024,1,lac,lv,0,0,0,25,15,10,0,0,0,0,0,0,28,14,14,0,0,0
2024_01_LV_LAC,2024,1,lv,lac,0,0,0,29,19,10,0,0,0,14,13,1,17,9,8,0,0,0
2024_01_MIN_NYG,2024,1,min,nyg,0,0,0,21,13,8,7,4,3,0,0,0,0,0,0,26,11,15
2024_01_MIN_NYG,2024,1,nyg,min,12,8,4,19,13,6,0,0,0,39,30,9,0,0,0,0,0,0
2024_01_NE_CIN,2024,1,cin,ne,0,0,0,24,18,6,0,0,0,24,17,7,3,3,0,0,0,0
2024_01_NE_CIN,2024,1,ne,cin,0,0,0,33,17,16,0,0,0,0,0,0,19,7,12,9,5,4
2024_01_NYJ_SF,2024,1,nyj,sf,0,0,0,22,12,10,0,0,0,26,19,7,0,0,0,0,0,0
2024_01_NYJ_SF,2024,1,sf,nyj,0,0,0,37,19,18,0,0,0,0,0,0,0,0,0,34,16,18
2024_01_PIT_ATL,2024,1,atl,pit,0,0,0,31,20,11,0,0,0,0,0,0,24,12,12,0,0,0
2024_01_PIT_ATL,2024,1,pit,atl,0,0,0,30,17,13,0,0,0,0,0,0,38,15,23,0,0,0
2024_01_TEN_CHI,2024,1,chi,ten,12,8,4,12,8,4,0,0,0,6,5,1,23,13,10,0,0,0
2024_01_TEN_CHI,2024,1,ten,chi,0,0,0,17,8,9,17,10,7,0,0,0,24,17,7,6,4,2
2024_01_WAS_TB,2024,1,tb,wsh,0,0,0,35,22,13,0,0,0,0,0,0,0,0,0,26,14,12
2024_01_WAS_TB,2024,1,wsh,tb,8,5,3,12,8,4,0,0,0,37,22,15,0,0,0,0,0,0
2024_02_ATL_PHI,2024,2,atl,phi,0,0,0,33,16,17,0,0,0,0,0,0,25,17,8,0,0,0
2024_02_ATL_PHI,2024,2,phi,atl,0,0,0,30,18,12,0,0,0,0,0,0,40,20,20,0,0,0
2024_02_BUF_MIA,2024,2,buf,mia,0,0,0,23,14,9,1,0,1,0,0,0,0,0,0,18,6,12
2024_02_BUF_MIA,2024,2,mia,buf,17,9,8,23,11,12,0,0,0,36,24,12,0,0,0,0,0,0
2024_02_CHI_HOU,2024,2,chi,hou,16,10,6,13,9,4,0,0,0,17,14,3,24,19,5,0,0,0
2024_02_CHI_HOU,2024,2,hou,chi,0,0,0,26,18,8,3,2,1,0,0,0,23,17,6,9,3,6
2024_02_CIN_KC,2024,2,cin,kc,0,0,0,35,25,10,0,0,0,0,0,0,29,19,10,0,0,0
2024_02_CIN_KC,2024,2,kc,cin,0,0,0,31,17,14,0,0,0,0,0,0,33,19,14,0,0,0
2024_02_CLE_JAX,2024,2,cle,jax,0,0,0,36,19,17,0,0,0,0,0,0,21,12,9,15,11,4
2024_02_CLE_JAX,2024,2,jax,cle,11,7,4,8,5,3,0,0,0,16,8,8,24,20,4,0,0,0
2024_02_IND_GB,2024,2,gb,ind,0,0,0,20,3,17,21,5,16,0,0,0,3,0,3,26,11,15
2024_02_IND_GB,2024,2,ind,gb,15,9,6,3,2,1,0,0,0,32,22,10,5,5,0,0,0,0
2024_02_LA_ARI,2024,2,ari,lar,0,0,0,7,5,2,24,12,12,0,0,0,0,0,0,35,10,25
2024_02_LA_ARI,2024,2,lar,ari,23,17,6,7,4,3,0,0,0,22,11,11,0,0,0,0,0,0
2024_02_LAC_CAR,2024,2,car,lac,8,5,3,12,7,5,0,0,0,28,19,9,0,0,0,0,0,0
2024_02_LAC_CAR,2024,2,lac,car,0,0,0,32,13,19,4,1,3,0,0,0,0,0,0,30,10,20
2024_02_LV_BAL,2024,2,bal,lv,0,0,0,33,23,10,0,0,0,0,0,0,27,14,13,3,2,1
2024_02_LV_BAL,2024,2,lv,bal,0,0,0,26,20,6,0,0,0,21,15,6,15,11,4,0,0,0
2024_02_NO_DAL,2024,2,dal,no,29,18,11,14,9,5,0,0,0,26,22,4,0,0,0,0,0,0
2024_02_NO_DAL,2024,2,no,dal,0,0,0,23,9,14,3,2,1,0,0,0,0,0,0,30,8,22
2024_02_NYG_WAS,2024,2,nyg,wsh,0,0,0,22,13,9,0,0,0,0,0,0,32,18,14,0,0,0
2024_02_NYG_WAS,2024,2,wsh,nyg,0,0,0,38,21,17,0,0,0,0,0,0,32,20,12,0,0,0
2024_02_NYJ_TEN,2024,2,nyj,ten,0,0,0,24,17,7,0,0,0,0,0,0,32,17,15,0,0,0
2024_02_NYJ_TEN,2024,2,ten,nyj,0,0,0,35,18,17,0,0,0,0,0,0,31,20,11,0,0,0
2024_02_PIT_DEN,2024,2,den,pit,0,0,0,20,13,7,0,0,0,39,29,10,2,2,0,0,0,0
2024_02_PIT_DEN,2024,2,pit,den,0,0,0,37,21,16,0,0,0,0,0,0,3,0,3,26,12,14
2024_02_SEA_NE,2024,2,ne,sea,0,0,0,37,22,15,0,0,0,0,0,0,31,11,20,0,0,0
2024_02_SEA_NE,2024,2,sea,ne,0,0,0,30,22,8,0,0,0,0,0,0,38,29,9,0,0,0
2024_02_SF_MIN,2024,2,min,sf,0,0,0,21,16,5,4,1,3,0,0,0,21,13,8,5,1,4
2024_02_SF_MIN,2024,2,sf,min,11,6,5,25,14,11,0,0,0,27,20,7,7,4,3,0,0,0
2024_02_TB_DET,2024,2,det,tb,0,0,0,38,28,10,0,0,0,0,0,0,46,30,16,0,0,0
2024_02_TB_DET,2024,2,tb,det,0,0,0,27,18,9,0,0,0,0,0,0,20,10,10,0,0,0
2024_03_BAL_DAL,2024,3,bal,dal,0,0,0,12,3,9,19,9,10,0,0,0,5,1,4,25,5,20
2024_03_BAL_DAL,2024,3,dal,bal,20,16,4,14,9,5,0,0,0,44,37,7,0,0,0,0,0,0
2024_03_CAR_LV,2024,3,car,lv,0,0,0,37,24,13,0,0,0,0,0,0,0,0,0,34,18,16
2024_03_CAR_LV,2024,3,lv,car,4,4,0,27,15,12,0,0,0,32,29,3,0,0,0,0,0,0
2024_03_CHI_IND,2024,3,chi,ind,0,0,0,50,31,19,0,0,0,26,20,6,12,8,4,0,0,0
2024_03_CHI_IND,2024,3,ind,chi,0,0,0,25,13,12,0,0,0,0,0,0,28,10,18,0,0,0
2024_03_DEN_TB,2024,3,den,tb,0,0,0,14,7,7,25,20,5,0,0,0,0,0,0,28,16,12
2024_03_DEN_TB,2024,3,tb,den,16,9,7,8,5,3,0,0,0,33,27,6,0,0,0,0,0,0
2024_03_DET_ARI,2024,3,ari,det,5,4,1,19,12,7,0,0,0,35,26,9,0,0,0,0,0,0
2024_03_DET_ARI,2024,3,det,ari,0,0,0,34,13,21,0,0,0,0,0,0,5,2,3,27,11,16
2024_03_GB_TEN,2024,3,gb,ten,0,0,0,16,8,8,20,10,10,0,0,0,0,0,0,27,8,19
2024_03_GB_TEN,2024,3,ten,gb,7,4,3,12,9,3,0,0,0,35,32,3,0,0,0,0,0,0
2024_03_HOU_MIN,2024,3,hou,min,20,14,6,14,11,3,0,0,0,32,30,2,0,0,0,0,0,0
2024_03_HOU_MIN,2024,3,min,hou,0,0,0,12,8,4,16,11,5,0,0,0,0,0,0,34,16,18
2024_03_JAX_BUF,2024,3,buf,jax,0,0,0,23,16,7,20,17,3,0,0,0,0,0,0,20,6,14
