game_id,season,week,team,opponent,fh_trailing_plays,fh_trailing_pass,fh_trailing_rush,fh_close_plays,fh_close_pass,fh_close_rush,fh_leading_plays,fh_leading_pass,fh_leading_rush,sh_trailing_plays,sh_trailing_pass,sh_trailing_rush,sh_close_plays,sh_close_pass,sh_close_rush,sh_leading_plays,sh_leading_pass,sh_leading_rush
2025_01_ARI_NO,2025,1,ari,no,0,0,0,36,23,13,0,0,0,0,0,0,8,5,3,22,13,9
2025_01_ARI_NO,2025,1,no,ari,0,0,0,28,14,14,0,0,0,29,22,7,16,15,1,0,0,0
2025_01_BAL_BUF,2025,1,bal,buf,0,0,0,29,12,17,0,0,0,0,0,0,15,7,8,7,4,3
2025_01_BAL_BUF,2025,1,buf,bal,14,9,5,13,7,6,0,0,0,35,27,8,16,11,5,0,0,0
2025_01_CAR_JAX,2025,1,car,jax,6,5,1,23,14,9,0,0,0,34,24,10,0,0,0,0,0,0
2025_01_CAR_JAX,2025,1,jax,car,0,0,0,29,15,14,4,4,0,0,0,0,0,0,0,30,14,16
2025_01_CIN_CLE,2025,1,cin,cle,0,0,0,31,17,14,0,0,0,0,0,0,21,12,9,0,0,0
2025_01_CIN_CLE,2025,1,cle,cin,0,0,0,33,19,14,0,0,0,0,0,0,43,34,9,0,0,0
2025_01_DAL_PHI,2025,1,dal,phi,0,0,0,33,21,12,0,0,0,0,0,0,27,18,9,0,0,0
2025_01_DAL_PHI,2025,1,phi,dal,0,0,0,30,17,13,0,0,0,0,0,0,29,16,13,0,0,0
2025_01_DET_GB,2025,1,det,gb,29,14,15,3,2,1,0,0,0,34,28,6,0,0,0,0,0,0
2025_01_DET_GB,2025,1,gb,det,0,0,0,20,14,6,3,2,1,0,0,0,0,0,0,24,8,16
2025_01_HOU_LA,2025,1,hou,lar,0,0,0,33,20,13,0,0,0,0,0,0,30,18,12,0,0,0
2025_01_HOU_LA,2025,1,lar,hou,0,0,0,28,15,13,0,0,0,0,0,0,30,19,11,0,0,0
2025_01_KC_LAC,2025,1,kc,lac,19,16,3,12,8,4,0,0,0,9,9,0,19,14,5,0,0,0
2025_01_KC_LAC,2025,1,lac,kc,0,0,0,32,23,9,0,0,0,0,0,0,30,20,10,0,0,0
2025_01_LV_NE,2025,1,lv,ne,0,0,0,29,22,7,0,0,0,0,0,0,26,15,11,6,1,5
2025_01_LV_NE,2025,1,ne,lv,0,0,0,39,24,15,0,0,0,14,14,0,18,16,2,0,0,0
2025_01_MIA_IND,2025,1,ind,mia,0,0,0,22,13,9,21,12,9,0,0,0,0,0,0,30,9,21
2025_01_MIA_IND,2025,1,mia,ind,10,7,3,5,3,2,0,0,0,31,26,5,0,0,0,0,0,0
2025_01_MIN_CHI,2025,1,chi,min,0,0,0,31,20,11,0,0,0,7,7,0,13,10,3,16,9,7
2025_01_MIN_CHI,2025,1,min,chi,0,0,0,21,12,9,0,0,0,12,7,5,21,9,12,0,0,0
2025_01_NYG_WAS,2025,1,nyg,wsh,7,4,3,22,15,7,0,0,0,34,27,7,5,5,0,0,0,0
2025_01_NYG_WAS,2025,1,wsh,nyg,0,0,0,27,16,11,10,8,2,0,0,0,15,10,5,15,7,8
2025_01_PIT_NYJ,2025,1,nyj,pit,0,0,0,32,12,20,0,0,0,0,0,0,30,13,17,0,0,0
2025_01_PIT_NYJ,2025,1,pit,nyj,9,5,4,17,11,6,0,0,0,9,4,5,20,16,4,0,0,0
2025_01_SF_SEA,2025,1,sea,sf,0,0,0,27,11,16,0,0,0,0,0,0,24,15,9,0,0,0
2025_01_SF_SEA,2025,1,sf,sea,0,0,0,34,21,13,0,0,0,0,0,0,40,21,19,0,0,0
2025_01_TB_ATL,2025,1,atl,tb,0,0,0,33,21,12,0,0,0,0,0,0,42,30,12,0,0,0
2025_01_TB_ATL,2025,1,tb,atl,0,0,0,30,18,12,0,0,0,0,0,0,27,20,7,0,0,0
2025_01_TEN_DEN,2025,1,den,ten,0,0,0,35,27,8,0,0,0,0,0,0,39,21,18,0,0,0
2025_01_TEN_DEN,2025,1,ten,den,0,0,0,29,15,14,0,0,0,0,0,0,28,21,7,0,0,0
2025_02_ATL_MIN,2025,2,atl,min,0,0,0,29,16,13,0,0,0,0,0,0,20,8,12,16,2,14
2025_02_ATL_MIN,2025,2,min,atl,0,0,0,28,18,10,0,0,0,7,5,2,12,7,5,0,0,0
2025_02_BUF_NYJ,2025,2,buf,nyj,0,0,0,18,8,10,23,15,8,0,0,0,0,0,0,30,11,19
2025_02_BUF_NYJ,2025,2,nyj,buf,19,9,10,4,2,2,0,0,0,24,20,4,0,0,0,0,0,0
2025_02_CAR_ARI,2025,2,ari,car,0,0,0,25,16,9,6,6,0,0,0,0,0,0,0,23,12,11
2025_02_CAR_ARI,2025,2,car,ari,11,7,4,18,13,5,0,0,0,41,34,7,12,11,1,0,0,0
2025_02_CHI_DET,2025,2,chi,det,7,5,2,27,16,11,0,0,0,34,23,11,0,0,0,0,0,0
2025_02_CHI_DET,2025,2,det,chi,0,0,0,36,22,14,0,0,0,0,0,0,0,0,0,23,8,15
2025_02_CLE_BAL,2025,2,bal,cle,0,0,0,21,13,8,6,5,1,0,0,0,6,5,1,20,13,7
2025_02_CLE_BAL,2025,2,cle,bal,17,13,4,17,11,6,0,0,0,39,28,11,0,0,0,0,0,0
2025_02_DEN_IND,2025,2,den,ind,0,0,0,32,21,11,0,0,0,0,0,0,27,15,12,0,0,0
2025_02_DEN_IND,2025,2,ind,den,0,0,0,38,22,16,0,0,0,0,0,0,33,18,15,0,0,0
